Data entry by,Source,Year,Sheet,Marchandises,Quantité,,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; acier",23 900 et 1 507 550,,536 400,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; arbres et arbrisseaux",value,,12 000,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; ardoises",545 960,,19 000,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; divers",value,,454 600,9 263 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; de construction ; divers",value,,4 317 100,5 580 500,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; de construction ; en planches",value,,1 263 400,5 580 500,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; feuillard et cercles",6 304 200,,322 800,9 263 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; Merein",4 092 300,,1 069 300,9 263 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; divers",value,6 934 800 ET 191 900,191 900,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de bresil",119 200,6 934 800 ET 191 900,29 200,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de campeche",4 262 000,6 934 800 ET 191 900,812 900,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de coco",629 000,6 934 800 ET 191 900,10 900,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de fornambourg",479 700,6 934 800 ET 191 900,376 800,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de fustel",215 500,6 934 800 ET 191 900,38 600,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; jaune",225 100,6 934 800 ET 191 900,40 200,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; de Palissandre",490 900,6 934 800 ET 191 900,141 100,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; rouge",151 300,6 934 800 ET 191 900,58 400,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bois ; des Indes ; des S marthe",362 100,6 934 800 ET 191 900,136 300,1 836 300,9 263 500,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Bray Goudron",5 981 000,,601 400,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; divers",value,24 818 400 ET 1 875 800,1 875 800,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; barille",10 731 800,24 818 400 ET 1 875 800,1 311 900,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; Bourde",2 988 900,24 818 400 ET 1 875 800,298 800,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; de bois",168 000,24 818 400 ET 1 875 800,12 400,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; gravelée",296 100,24 818 400 ET 1 875 800,44 300,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; de ABER",2 027 900,24 818 400 ET 1 875 800,26 300,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; Potasse et soude",6 440 600,24 818 400 ET 1 875 800,1 678 400,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cendres ; à savon",2 165 100,24 818 400 ET 1 875 800,216 500,5 464 400,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; charbon ; de bois",4 730 200,489 915 100,130 000,6 845 300,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; charbon ; de terre",485 184 900,489 915 100,6 715 300,6 845 300,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; chaux",value,,75 400,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cuivre ; divers",7 469 900,7 779 300,9 066 400,9 255 300,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Cuivre ; Potin",309 400,7 779 300,188 900,9 255 300,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Ecorce de bois",value,,29 600,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Etain",1 267 300,,1 251 800,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; divers",39 000 ET 36 674 600,37 293 700 et 214 800,6 892 700,8 028 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; ouvré",value,38 293 700 et 214 800,175 800,8 028 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fers ; blanc",1 619 100,39 293 700 et 214 800,960 000,8 028 500,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; fleur d'orange",35 600,,35 600,,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; diverses",value,3 851 900 ET 222 700,222 700,1 115 000,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; de pres treffle et luzerne",31 500,3 851 900 ET 222 700,40 500,1 115 000,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; de lin ",3 683 500,3 851 900 ET 222 700,831 300,1 115 000,,,51 810 700,
Fatima Zahra,,1788,10,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graines ; longue",136 900,3 851 900 ET 222 700,20 500,1 115 000,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Graisse",52 100,,16 400,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; houblon",1 085 300,,725 800,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; laiton",228 600,,314 200,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; marbre brut",value,,353 000,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; meules à moulins",value,,34 300,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Moeules à taillandier",value,,55 700,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à batir",value,124 840 ET 30 600,30 600,137 300,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à éguiser",61 040,124 840 ET 30 600,56 100,137 300,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Pierres ; à fourx",63 800,124 840 ET 30 600,50 600,137 300,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Plomb",8 443 600,,2 361 300,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; salpetre",51 400,,30 800,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; souffre",7 873 700,,539 100,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Suif en pain",8 951 700,,4 612 200,,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Terre ; divers",value,10 580 400 ET 13 000,13 000,97 400,,,51 810 700,
Fatima Zahra,,1788,12,"Bois,métaux,combustibles et autres produc.bruttes de la terre ; Terre ; pozolane",10 580 400,10 580 400 ET 13 000,84 400,97 400,,,51 810 700,
Fatima Zahra,,1788,12,Matières premieres ; Baleine,151 830,,456 600,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; Bourre de Soye ,39 950,,175 400,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; Chanvre ; brut,18 671 200,18 807 100,7 147 200,7 246 000,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; Chanvre ; peigné,135 900,18 807 100,98 800,7 246 000,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; cire ; jaune,766 850,,1 472 800,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; cornes diverses,value,,131 600,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; coton ; en laine,9 818 100,11 112 000,13 663 700,17 803 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; coton ; filé,1 293 900,11 112 000,4 139 700,17 803 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; crin ,175 250,,148 300,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; cuirs en poil ; divers,value,118 128 et 2 666 560 et 13 700,13 700,4 563 800,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; cuirs en poil ; de beuf,117 198 ET 2 666 560,118 128 et 2 666 560 et 13 700,4 539 200,4 563 800,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; cuirs en poil ; de vache,930,118 128 et 2 666 560 et 13 700,10 900,4 563 800,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; Engrais,574 400,,45 900,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; ecaille,2 700,,26 400,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; Etoupe,106 000,,25 000,,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; fils ; divers,1 240 780,1 248 398 E T14,3 397 200,3 617 900,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; fils ; à dentelle,692,1 248 398 E T14,72 900,3 617 900,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; fils ; de mulquinerie,6 926,1 248 398 E T14,147 800,3 617 900,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de grains,1 233 450,3 717 450 ET 232 900,532 400,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de lin,57 000,3 717 450 ET 232 900,25 100,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de poisson ,2 390 200,3 717 450 ET 232 900,998 800,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de loareng,36 800,3 717 450 ET 232 900,12 200,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de balerine,value,3 717 450 ET 232 900,199 200,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de morue,value,3 717 450 ET 232 900,22 800,1 801 400,,,81 388 700,
Fatima Zahra,,1788,12,Matières premieres ; huile ; de spermacelé,value,3 717 450 ET 232 900,10 900,1 801 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Ivoire,22 060,,48 800,,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Jayet brut,73 900,,27 000,,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Jonc,value,,23 200,,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Laine ; diverse,2 462 ET 10 730 800,13 646 680 ET 2 462,9 387 100,17 399 300,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Laine ; filée,705 870,13 646 680 ET 2 462,2 388 200,17 399 300,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Laine ; fine,2 210 010,13 646 680 ET 2 462,5 624 000,17 399 300,,,81 388 700,
