numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Beurre,"Colonies francaises en Amérique,Asie et afrique",1198800,,,,,,99200500,,,1198800,,,,,,,,
1,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Royaume d'Espagne,93300,,,,,,8462200,,,,,,,,,,,
2,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Royaume d'Espagne,869600,,,,,,99200500,,,18900000,,,,,,,,
2,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Hollande,200900,,,,,,8462200,,,,,,,,,,,
3,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Hollande,389500,,,,,,99200500,,,18900000,,,,,,,,
3,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Etats-Unis d'Amérique,117400,,,,,,8462200,,,,,,,,,,,
4,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Royaume de Prusse,221200,,,,,,99200500,,,18900000,,,,,,,,
4,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Villes anséatiques,25000,,,,,,8462200,,,,,,,,,,,
5,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Etats d'Allemagne,324600,,,,,,99200500,,,18900000,,,,,,,,
5,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Royaume de Danemarck,1200,,,,,,8462200,,,,,,,,,,,
6,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,République de suisse,426800,,,,,,99200500,,,18900000,,,,,,,,
6,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Milanes et toscane,142900,,,,,,8462200,,,,,,,,,,,
7,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Etats-Unis d'Amérique,529500,,,,,,99200500,,,18900000,,,,,,,,
7,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,République de Gènes,249600,,,,,,8462200,,,,,,,,,,,
8,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Villes anséatiques,2150000,,,,,,99200500,,,18900000,,,,,,,,
8,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Blé et autres grains comestibles,Empire ottoman et babbarie,2535400,,,,,,8462200,,,,,,,,,,,
9,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Royaume de Danemarck,1523000,,,,,,99200500,,,18900000,,,,,,,,
9,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Royaume de naples,2421800,,,,,,8462200,,,,,,,,,,,
10,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Royaume de Suede,875400,,,,,,99200500,,,18900000,,,,,,,,
10,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Royaume de sardaigne,264900,,,,,,8462200,,,,,,,,,,,
11,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Eaux-de-vie,Milanes et toscane,21700,,,,,,99200500,,,18900000,,,,,,,,
11,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Empire d'Autriche,483800,,,,,,8462200,,,,,,,,,,,
12,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,République de Genes,3800,,,,,,99200500,,,18900000,,,,,,,,
12,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Empire de Russie,597400,,,,,,8462200,,,,,,,,,,,
13,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Empire ottoman et Barbarie,10900,,,,,,99200500,,,18900000,,,,,,,,
13,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Etats de Rome,571400,,,,,,8462200,,,,,,,,,,,
