numrodeligne,dataentryby,Source,,,Page,Année,Import/Import,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en  Lt (décimale),Valeur / unité de compte Lt,Valeur / unité de compte Sous,Valeur/ unité de compte Deniers,"Valeur en livres, sous et deniers",Valeur en décimales de livres tournois,Différence,Remarques
1,Pascal Fontaine,Marseille,,,1,1750,Import,Beurre,Marseille,Angleterre,"16 500,00",livres,,"8,00",,"0,40000",6600,,,"6600,00","6 600,00","0,00",
2,Pascal Fontaine,Marseille,,,1,1750,Import,Bierre,Marseille,Angleterre,"6 000,00",livres,,"1,00",,"0,05000",300,,,"300,00","300,00","0,00",
3,Pascal Fontaine,Marseille,,,1,1750,Import,Bled froment,Marseille,Angleterre,"229 897,00",charges,"25,000",,,"25,00000",5747425,,,"5747425,00","5 747 425,00","0,00",
4,Pascal Fontaine,Marseille,,,1,1750,Import,Bois de construction,Marseille,Angleterre,"140,00",pièces,"30,000",,,"30,00000",4200,,,"4200,00","4 200,00","0,00",
5,Pascal Fontaine,Marseille,,,1,1750,Import,Canons de fer,Marseille,Angleterre,"24,00",pièces,"150,000",,,"150,00000",3600,,,"3600,00","3 600,00","0,00",
6,Pascal Fontaine,Marseille,,,1,1750,Import,Charbon de terre,Marseille,Angleterre,"200 000,00",livres,,"2,00",10,"0,14167",5000,,,"5000,00","28 333,33","-23 333,33",erreur de calcul
7,Pascal Fontaine,Marseille,,,1,1750,Import,Cornes de mouton,Marseille,Angleterre,"11 700,00",paires,,"1,00",,"0,05000",585,,,"585,00","585,00","0,00",
8,Pascal Fontaine,Marseille,,,1,1750,Import,Couperose,Marseille,Angleterre,"48 000,00",livres,"0,110",,,"0,11000",5280,,,"5280,00","5 280,00","0,00",
9,Pascal Fontaine,Marseille,,,1,1750,Import,Couvertures,Marseille,Angleterre,"250,00",livres,,"40,00",,"2,00000",500,,,"500,00","500,00","0,00",
10,Pascal Fontaine,Marseille,,,1,1750,Import,Etain en bloc,Marseille,Angleterre,"57 000,00",livres,,"20,00",,"1,00000",57000,,,"57000,00","57 000,00","0,00",
11,Pascal Fontaine,Marseille,,,1,1750,Import,Farine,Marseille,Angleterre,"25 500,00",livres,,"2,00",,"0,10000",2550,,,"2550,00","2 550,00","0,00",
12,Pascal Fontaine,Marseille,,,1,1750,Import,Gaudron,Marseille,Angleterre,"5 000,00",livres,,"3,00",,"0,15000",750,,,"750,00","750,00","0,00",
13,Pascal Fontaine,Marseille,,,1,1750,Import,Harens fumés,Marseille,Angleterre,"1 258,00",barils,"24,000",,,"24,00000",30192,,,"30192,00","30 192,00","0,00",
14,Pascal Fontaine,Marseille,,,1,1750,Import,Laine surge,Marseille,Angleterre,"12 745,00",livres,,"8,00",,"0,40000",5098,,,"5098,00","5 098,00","0,00",
15,Pascal Fontaine,Marseille,,,1,1750,Import,Langues salées,Marseille,Angleterre,"800,00",livres,,"8,00",,"0,40000",320,,,"320,00","320,00","0,00",
16,Pascal Fontaine,Marseille,,,1,1750,Import,Lard,Marseille,Angleterre,"20 000,00",livres,,"6,00",,"0,30000",6000,,,"6000,00","6 000,00","0,00",
17,Pascal Fontaine,Marseille,,,2,1750,Import,Legumes,Marseille,Angleterre,"12 000,00",livres,,"3,00",,"0,15000",1800,,,"1800,00","1 800,00","0,00",
18,Pascal Fontaine,Marseille,,,2,1750,Import,Peaux de lapin,Marseille,Angleterre,"150,00",livres,,"50,00",,"2,50000",375,,,"375,00","375,00","0,00",
19,Pascal Fontaine,Marseille,,,2,1750,Import,Planches de sapin,Marseille,Angleterre,"100,00",douzaines,"9,000",,,"9,00000",900,,,"900,00","900,00","0,00",
20,Pascal Fontaine,Marseille,,,2,1750,Import,Plomb en saumon,Marseille,Angleterre,"1 317 300,00",livres,,"4,00",,"0,20000",263460,,,"263460,00","263 460,00","0,00",
21,Pascal Fontaine,Marseille,,,2,1750,Import,Saumon salé,Marseille,Angleterre,"300,00",barils,"80,000",,,"80,00000",24000,,,"24000,00","24 000,00","0,00",
22,Pascal Fontaine,Marseille,,,2,1750,Import,Acier,Marseille,Espagne,"20 400,00",livres,,"7,00",,"0,35000",7140,,,"7140,00","7 140,00","0,00",
23,Pascal Fontaine,Marseille,,,2,1750,Import,Agaric,Marseille,Espagne,"39 200,00",livres,,"20,00",,"1,00000",39200,,,"39200,00","39 200,00","0,00",
24,Pascal Fontaine,Marseille,,,2,1750,Import,Amandes cassées,Marseille,Espagne,"137 373,00",livres,,"4,00",,"0,20000",27474,,,"27474,00","27 474,60","-0,60",
25,Pascal Fontaine,Marseille,,,2,1750,Import,Ameçons,Marseille,Espagne,"1 110,00",milliers,,"40,00",,"2,00000",2220,,,"2220,00","2 220,00","0,00",
26,Pascal Fontaine,Marseille,,,2,1750,Import,Anchois,Marseille,Espagne,"975,00",barils,"11,000",,,"11,00000",10725,,,"10725,00","10 725,00","0,00",
27,Pascal Fontaine,Marseille,,,2,1750,Import,Anchois,Marseille,Espagne,"149 940,00",livres,,"10,00",,"0,50000",74970,,,"74970,00","74 970,00","0,00",
28,Pascal Fontaine,Marseille,,,2,1750,Import,Ancres de fer,Marseille,Espagne,"38 050,00",livres,,"4,00",,"0,20000",7610,,,"7610,00","7 610,00","0,00",
29,Pascal Fontaine,Marseille,,,2,1750,Import,Anis,Marseille,Espagne,"137 178,00",livres,,"4,00",,"0,20000",27435,,,"27435,00","27 435,60","-0,60",
30,Pascal Fontaine,Marseille,,,2,1750,Import,Avoine,Marseille,Espagne,"6 642,00",charges,"15,000",,,"15,00000",99630,,,"99630,00","99 630,00","0,00",
31,Pascal Fontaine,Marseille,,,2,1750,Import,Balays de palme,Marseille,Espagne,"24 419,00",douzaines,,"18,00",,"0,90000",21977,,,"21977,00","21 977,10","-0,10",
32,Pascal Fontaine,Marseille,,,2,1750,Import,Bas de fil,Marseille,Espagne,"2 800,00",livres,"5,000",,,"5,00000",14000,,,"14000,00","14 000,00","0,00",
33,Pascal Fontaine,Marseille,,,2,1750,Import,Baume de copahu,Marseille,Espagne,"50,00",livres,"4,000",,,"4,00000",200,,,"200,00","200,00","0,00",
34,Pascal Fontaine,Marseille,,,2,1750,Import,Bled froment,Marseille,Espagne,"1 017,00",charges,"25,000",,,"25,00000",25425,,,"25425,00","25 425,00","0,00",
35,Pascal Fontaine,Marseille,,,2,1750,Import,Bois de Brezil,Marseille,Espagne,"78 580,00",livres,,"5,00",,"0,25000",19645,,,"19645,00","19 645,00","0,00",
