numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks,Unverified
1,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre brut,Genève,945,livres tournois,,,,,1
2,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Genève,31196,livres tournois,,,,,1
3,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1776,Exports,Rouen,104,Sucre terré,Genève,8169,livres tournois,,,,,1
4,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre brut,Suisse,705,livres tournois,,,,,1
5,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre terré,Suisse,45344,livres tournois,,,,,1
6,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,Sucre terré,Suisse,11775,livres tournois,,,,,1
7,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre brut,Suisse,83611,livres tournois,,,,,1
8,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Suisse,2074,livres tournois,,,,,1
9,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre teste,Suisse,"77679,5",livres tournois,,,,,1
10,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1774,Exports,Rouen,104,Sucre terré,Suisse,69676,livres tournois,,,,,1
11,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1776,Exports,Rouen,104,Sucre terré,Suisse,19870,livres tournois,,,,,1
12,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Russie,455580,livres tournois,,,,,1
13,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1774,Exports,Rouen,104,Sucre terré,Russie,715136,livres tournois,,,,,1
14,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1776,Exports,Rouen,104,Sucre terré,Russie,259196,livres tournois,,,,,1
15,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre brut,Suède,51018,livres tournois,,,,,1
16,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,Sucre brut,Suède,21054,livres tournois,,,,,1
17,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,Sucre terré,Suède,30004,livres tournois,,,,,1
18,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Suède,28826,livres tournois,,,,,1
19,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1774,Exports,Rouen,104,Sucre brut,Suède,36374,livres tournois,,,,,1
20,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1774,Exports,Rouen,104,Sucre terré,Suède,52193,livres tournois,,,,,1
21,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1776,Exports,Rouen,104,Sucre brut,Suède,10828,livres tournois,,,,,1
22,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1776,Exports,Rouen,104,Sucre terré,Suède,45318,livres tournois,,,,,1
23,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre terré,Allemagne,243,livres tournois,,,,,1
24,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre brut,Allemagne,168252,livres tournois,,,,,1
25,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Allemagne,527237,livres tournois,,,,,1
26,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,sucre de tête,Allemagne,73767,livres tournois,,,,,1
27,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre brut,Nord,574814,livres tournois,,,,,1
28,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,Sucre terré,Nord,2365957,livres tournois,,,,,1
29,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1767,Exports,Rouen,104,sucre de tête,Nord,127242,livres tournois,,,,,1
30,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,Sucre brut,Nord,832769,livres tournois,,,,,1
31,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,Sucre terré,Nord,1696804,livres tournois,,,,,1
32,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1769,Exports,Rouen,104,sucre de tête,Nord,234044,livres tournois,,,,,1
33,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre brut,Nord,340837,livres tournois,,,,,1
34,PaulMH,AD76 7F97 – via Dardel,Local/Rouen/Rouen - exportations - via Dardel.csv,Local,1771,Exports,Rouen,104,Sucre terré,Nord,1528079,livres tournois,,,,,1
