"numerodeligne","dataentryby","source","sourcepath","sourcetype","sheet","year","exportsimports","marchandises","direction","pays","quantity","quantity_unit","value","prix_unitaire","Remarques"
1,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",110,1728,"Exports","Avoines","Rouen","Angleterre",94080,"livres",,150,"28 muids"
2,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1728,"Imports","Bœuf salé","Rouen","Angleterre",689500,"livres",,22,"3448 barils"
3,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1733,"Imports","Bœuf salé","Rouen","Angleterre",1039000,"livres",,22,"5195 barils"
4,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1735,"Imports","Bœuf salé","Rouen","Angleterre",1580800,"livres",,22,"7904 barils"
5,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1731,"Imports","Bœuf salé","Rouen","Angleterre",1846000,"livres",,22,"9230 barils"
6,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1736,"Imports","Bœuf salé","Rouen","Angleterre",1871200,"livres",,22,"9356 barils"
7,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1734,"Imports","Bœuf salé","Rouen","Angleterre",1907500,"livres",,22,"9538 barils"
8,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1737,"Imports","Bœuf salé","Rouen","Angleterre",2617800,"livres",,22,"13064 barils"
9,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1739,"Imports","Bœuf salé","Rouen","Angleterre",2960000,"livres",,22,"14800 barils"
10,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",54,1766,"Imports","Bœuf salé","Rouen","Angleterre",3072600,"livres",,40,"15363 barils"
11,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1733,"Imports","Charbon de terre","Rouen","Angleterre",11253250,"livres",,5,"45013 barils"
12,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1728,"Imports","Charbon de terre","Rouen","Angleterre",11881500,"livres",,5,"47526 barils"
13,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1736,"Imports","Charbon de terre","Rouen","Angleterre",12877500,"livres",,5,"51510 barils"
14,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1731,"Imports","Charbon de terre","Rouen","Angleterre",14303000,"livres",,5,"57212 barils"
15,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1735,"Imports","Charbon de terre","Rouen","Angleterre",17585500,"livres",,5,"70342 barils"
16,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1734,"Imports","Charbon de terre","Rouen","Angleterre",18488500,"livres",,5,"73954 barils"
17,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1739,"Imports","Charbon de terre","Rouen","Angleterre",18634750,"livres",,5,"74539 barils"
18,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",52,1737,"Imports","Charbon de terre","Rouen","Angleterre",25640250,"livres",,5,"102561 barils"
19,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",83,1732,"Imports","Blé froment","Rouen","angleterre",37,"muids",,190,
20,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1734,"Imports","Acier","Rouen","hollande",20,"bottes",,,
21,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1763,"Exports","Beurre","Rouen","Isles Françaises",22,"pots",,,
22,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",100,1733,"Imports","bœuf passée en buffe ( nombre)","Rouen","hollande",850,"livres",,,
23,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",159,1728,"Exports","Boucarnine","Rouen","Isles Françaises",100,"livres",,,
24,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1735,"Imports","Cacao","Rouen","hollande",,,400,,
25,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",158,1773,"Exports","Cauris","Rouen","Guinée",400,"sacs",,,
26,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",145,1768,"Exports","Vin Champagne","Rouen","Suède",600,"bouteilles",,,
27,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",170,1755,"Exports","Chapeaux","Rouen","Guinée",,,3400,,
28,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",170,1775,"Exports","Chapeaux","Rouen","Isles",,,400,,
29,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",118,1728,"Exports","Chemise de toile de lin garni","Rouen","Espagne",,,360,,
