numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts
1,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Bestiaux,Royaume d'Espagne,2586800,0
2,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Beurre,Royaume d'Espagne,400,0
3,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Blés,Royaume d'Espagne,103100,0
4,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Chairs salées et fraîches,Royaume d'Espagne,327600,0
5,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Eau-de-vie,Royaume d'Espagne,5256700,0
6,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Farine et gruau,Royaume d'Espagne,325800,0
7,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Fromage,Royaume d'Espagne,399000,0
8,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Fruits divers,Royaume d'Espagne,17100,0
9,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Fruits secs,Royaume d'Espagne,13600,0
10,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Fruits amandes,Royaume d'Espagne,5900,0
11,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Fruits châtaignes,Royaume d'Espagne,6400,0
12,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Huile d'olive,Royaume d'Espagne,74400,0
13,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Légumes,Royaume d'Espagne,284200,0
14,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Œufs,Royaume d'Espagne,79500,0
15,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Poissons,Royaume d'Espagne,29900,0
16,Isabelle Souchaire,AN F12 251,National/Résumé/AN/F_12_251/1811.csv,Résumé,1811,Exports,Provisions de bouche,Royaume d'Espagne,38900,0
