line_number,source_type,year,customs_region,customs_office,partner,exports_imports,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,customs_office,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1733,Nantes,,Angleterre,Exports,Bled froment,,,7150,,65,tonneaux,110,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
2,Local,1733,Nantes,,Angleterre,Exports,Bafetas bleu,,,378,,21,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
3,Local,1733,Nantes,,Angleterre,Exports,Caffé,,,5033,,3872,livres,1.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
4,Local,1733,Nantes,,Angleterre,Exports,Confitures,,,85,,170,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
5,Local,1733,Nantes,,Angleterre,Exports,Chataignes,,,17,,44,boisseaux,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
6,Local,1733,Nantes,,Angleterre,Exports,Cotonnades,,,1264,,632,aunes,2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
7,Local,1733,Nantes,,Angleterre,Exports,Cartes a jouer,,,80,,80,livres,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
8,Local,1733,Nantes,,Angleterre,Exports,Damas des Indes,,,190,,2,pièces,95,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
9,Local,1733,Nantes,,Angleterre,Exports,Eau de vie,,,115520,,1444,bariques,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,1444,barique,3.25,,,
10,Local,1733,Nantes,,Angleterre,Exports,Farine,,,5696,,71200,livres,0.08,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
11,Local,1733,Nantes,,Angleterre,Exports,Fayance en vaisselle,,,184,,41,douzaines,4.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
12,Local,1733,Nantes,,Angleterre,Exports,Fer en barres,,,450,,3000,livres,0.15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
13,Local,1733,Nantes,,Angleterre,Exports,Gingembre,,,10,,50,livres,0.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
14,Local,1733,Nantes,,Angleterre,Exports,Guinées bleues,,,54,,3,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
15,Local,1733,Nantes,,Angleterre,Exports,Jaman,,,156,,3,pièces,52,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
16,Local,1733,Nantes,,Angleterre,Exports,Indigo,,,7950,,3000,livres,2.65,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
17,Local,1733,Nantes,,Angleterre,Exports,Librairie,,,800,,400,livres,2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
18,Local,1733,Nantes,,Angleterre,Exports,Mouchoirs de soye,,,4740,,79,pièces,60,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
19,Local,1733,Nantes,,Angleterre,Exports,Mouchoirs de coton,,,288,,12,douzaines,24,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
20,Local,1733,Nantes,,Angleterre,Exports,Mousseline des Indes,,,240,,80,aunes,3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
21,Local,1733,Nantes,,Angleterre,Exports,Mercerie,,,120,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
22,Local,1733,Nantes,,Angleterre,Exports,Noix,,,176,,176,milliers,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
23,Local,1733,Nantes,,Angleterre,Exports,Pekin,,,960,,12,pièces,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
24,Local,1733,Nantes,,Angleterre,Exports,Papier à écrire,,,1390,,2780,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,1,,,,,Thasectra,,,,,,,,,,,,
25,Local,1733,Nantes,,Angleterre,Exports,Porcelaine des Indes,,,250,,50,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
26,Local,1733,Nantes,,Angleterre,Exports,Raisin sec,,,10,,60,livres,0.17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
27,Local,1733,Nantes,,Angleterre,Exports,Sel du Croisic,,,7080,,118,muids,60,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
28,Local,1733,Nantes,,Angleterre,Exports,Sel du Croisic,,,23500,,470,muids,50,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
29,Local,1733,Nantes,,Angleterre,Exports,Sel du Croisic,,,18900,,756,muids,25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
30,Local,1733,Nantes,,Angleterre,Exports,Sucre en pain,,,1615,,3230,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
31,Local,1733,Nantes,,Angleterre,Exports,Sirop de sucre,,,1370,,27400,livres,0.05,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
32,Local,1733,Nantes,,Angleterre,Exports,Satin des Indes,,,320,,4,pièces,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
33,Local,1733,Nantes,,Angleterre,Exports,Soucis,,,3400,,100,pièces,34,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
34,Local,1733,Nantes,,Angleterre,Exports,Salampouris bleu,,,270,,15,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
35,Local,1733,Nantes,,Angleterre,Exports,Soyerie,,,2180,,54.5,livres,40,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
36,Local,1733,Nantes,,Angleterre,Exports,Thé impérial,,,3627,,914,livres,3.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
37,Local,1733,Nantes,,Angleterre,Exports,Thé vert soule,,,19140,,5800,livres,3.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
38,Local,1733,Nantes,,Angleterre,Exports,Thé bou,,,18368,,5734,livres,3.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
39,Local,1733,Nantes,,Angleterre,Exports,Thé divers,,,177626,,53023,livres,3.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
40,Local,1733,Nantes,,Angleterre,Exports,Toile de coton,,,1116,,62,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
41,Local,1733,Nantes,,Angleterre,Exports,Toile de Bretagne,,,13608,,3402,livres,4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
42,Local,1733,Nantes,,Angleterre,Exports,Vin d'amont,,,3600,,18,tonneaux,200,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,18,tonneaux,2.45,,,
43,Local,1733,Nantes,,Angleterre,Exports,Vin nantois,,,1300,,13.5,tonneaux,100,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,13.5,tonneaux,2.45,,,
44,Local,1733,Nantes,,Angleterre,Exports,Vinaigre,,,4440,,37,tonneaux ,120,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,droits sur vin et vinaigre à 49 sols par tonneaux,,,,,37,tonneaux,2.45,,,
45,Local,1733,Nantes,,Flandre Impériale,Exports,Arbres fruitiers,,,36,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
46,Local,1733,Nantes,,Flandre Impériale,Exports,Bafetas ,,,1350,,100,pièces,13.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
47,Local,1733,Nantes,,Flandre Impériale,Exports,Confitures,,,35,,70,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
48,Local,1733,Nantes,,Flandre Impériale,Exports,Caffé,,,6464,,4973,livres,1.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
49,Local,1733,Nantes,,Flandre Impériale,Exports,Chataignes,,,528,,1320,boisseaux,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
50,Local,1733,Nantes,,Flandre Impériale,Exports,Crème de tartre,,,7200,,160,livres,0.45,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,"Le prix est bon, les quantités plausibles. Il doit y avoir une erreur de calcal",,,,,,,,,,
51,Local,1733,Nantes,,Flandre Impériale,Exports,Cotton en laine,,,14343,,19125,livres,0.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
52,Local,1733,Nantes,,Flandre Impériale,Exports,Chaquelo,,,990,,30,pièces,33,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
53,Local,1733,Nantes,,Flandre Impériale,Exports,Cartes a jouer,,,100,,100,livres,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
54,Local,1733,Nantes,,Flandre Impériale,Exports,Cabarets vernis,,,36,,6,pièces,6,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
55,Local,1733,Nantes,,Flandre Impériale,Exports,Droguerie,,,315,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
56,Local,1733,Nantes,,Flandre Impériale,Exports,Eau de vie,,,243760,,3047.5,bariques,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,droits à 3 livres et 5 sols par barique,,,,,3047.5,barique,3.25,,,
57,Local,1733,Nantes,,Flandre Impériale,Exports,Feves ???,,,37,,150,livres,0.25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
58,Local,1733,Nantes,,Flandre Impériale,Exports,Fottes,,,6240,,480,livres,13,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
59,Local,1733,Nantes,,Flandre Impériale,Exports,Guinées bleues,,,1080,,60,livres,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
60,Local,1733,Nantes,,Flandre Impériale,Exports,Huile d'olive,,,213,,610,livres,0.35,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
61,Local,1733,Nantes,,Flandre Impériale,Exports,Huile de noix,,,40,,100,livres,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
62,Local,1733,Nantes,,Flandre Impériale,Exports,Indiannerie diverses,,,47664,,2648,livres,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
63,Local,1733,Nantes,,Flandre Impériale,Exports,Indigo,,,137,,52,livres,2.65,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
64,Local,1733,Nantes,,Flandre Impériale,Exports,Mousseline des Indes,,,5600,,80,livres,70,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
65,Local,1733,Nantes,,Flandre Impériale,Exports,Mouchoirs de soye,,,5400,,90,livres,60,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
66,Local,1733,Nantes,,Flandre Impériale,Exports,Miel,,,1000,,100,livres,10,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
67,Local,1733,Nantes,,Flandre Impériale,Exports,Pruneaux de Sainte Catherine,,,517,,1725,livres,0.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
68,Local,1733,Nantes,,Flandre Impériale,Exports,Pruneaux d'amons,,,556,,7950,livres,0.07,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,2,,,,,Thasectra,,,,,,,,,,,,
69,Local,1733,Nantes,,Flandre Impériale,Exports,Pinasse,,,900,,45,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
70,Local,1733,Nantes,,Flandre Impériale,Exports,Papier  ,,,75,,150,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
71,Local,1733,Nantes,,Flandre Impériale,Exports,Peaux de veau en poil,,,1500,,1500,en nombre,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
72,Local,1733,Nantes,,Flandre Impériale,Exports,Plumes à lit,,,105,,150,livres,0.7,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
73,Local,1733,Nantes,,Flandre Impériale,Exports,Porcelaine des Indes,,,2380,,476,livres,5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
74,Local,1733,Nantes,,Flandre Impériale,Exports,Pierres à fusils,,,1,,1000,en nombre,0.001,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
75,Local,1733,Nantes,,Flandre Impériale,Exports,Raisin sec,,,850,,5000,livres,0.17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
76,Local,1733,Nantes,,Flandre Impériale,Exports,Rocou,,,63,,180,livres,0.354,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
77,Local,1733,Nantes,,Flandre Impériale,Exports,Sel du Croisic,,,8305,,151,muids,55,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
78,Local,1733,Nantes,,Flandre Impériale,Exports,Sucre blanc,,,4340,,12400,livres,0.35,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
79,Local,1733,Nantes,,Flandre Impériale,Exports,Sucre terré,,,49553,,170875,livres,0.29,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
80,Local,1733,Nantes,,Flandre Impériale,Exports,Sucre teste de forme,,,1900,,10000,livres,0.19,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
81,Local,1733,Nantes,,Flandre Impériale,Exports,Sucre brun,,,78921,,631375,livres,0.125,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
82,Local,1733,Nantes,,Flandre Impériale,Exports,Sirop de sucre,,,54056,,1081125,livres,0.05,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
83,Local,1733,Nantes,,Flandre Impériale,Exports,Sirop de lemon,,,18,,12,bouteilles,1.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
84,Local,1733,Nantes,,Flandre Impériale,Exports,Safran,,,3552,,111,livres,32,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
85,Local,1733,Nantes,,Flandre Impériale,Exports,Soucis,,,8500,,250,pièces,34,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
86,Local,1733,Nantes,,Flandre Impériale,Exports,Salempouris blanc,,,6480,,360,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
87,Local,1733,Nantes,,Flandre Impériale,Exports,Soye tanis,,,13170,,1317,livres,10,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
88,Local,1733,Nantes,,Flandre Impériale,Exports,Savon,,,1143,,3165,livres,0.33,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
89,Local,1733,Nantes,,Flandre Impériale,Exports,Thé impérial,,,2652,,710,livres,3.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
90,Local,1733,Nantes,,Flandre Impériale,Exports,Thé vert saouls,,,2250,,700,livres,3.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
91,Local,1733,Nantes,,Flandre Impériale,Exports,Thé bu,,,11852,,3704,livres,3.2,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
92,Local,1733,Nantes,,Flandre Impériale,Exports,Thé divers,,,54480,,16000,livres,3.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
93,Local,1733,Nantes,,Flandre Impériale,Exports,Toile de coton,,,22168,,1231,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
94,Local,1733,Nantes,,Flandre Impériale,Exports,Toile de Bretagne,,,1404,,351,livres,4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
95,Local,1733,Nantes,,Flandre Impériale,Exports,Testes à coiffer,,,5,,2,pièces,2.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
96,Local,1733,Nantes,,Flandre Impériale,Exports,Vin de Frontignan,,,12,,24,bouteilles,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
97,Local,1733,Nantes,,Flandre Impériale,Exports,Vin de Bordeaux,,,600,,2,tonneaux,300,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,droits sur le vin et le vinaigre à 49 sols par tonneau,,,,,2,tonneaux,2.45,,,
98,Local,1733,Nantes,,Flandre Impériale,Exports,Vin d'amont,,,442100,,2210.5,tonneaux,200,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,droits sur le vin et le vinaigre à 49 sols par tonneau,,,,,2210.5,tonneaux,2.45,,,
99,Local,1733,Nantes,,Flandre Impériale,Exports,Vin nantois,,,99000,,990,tonneaux,100,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,droits sur le vin et le vinaigre à 49 sols par tonneau,,,,,990,tonneaux,2.45,,,
100,Local,1733,Nantes,,Flandre Impériale,Exports,Vinaigre,,,2040,,17,tonneaux,120,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,droits sur le vin et le vinaigre à 49 sols par tonneau,,,,,17,tonneaux,2.45,,,
101,Local,1733,Nantes,,Hollande,Exports,Alibanis,,,75295,,4070,pièces,18.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
102,Local,1733,Nantes,,Hollande,Exports,Armoisin,,,10440,,348,pièces,30,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
103,Local,1733,Nantes,,Hollande,Exports,Assiettes de porcelaine,,,1764,,147,douzaines,12,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
104,Local,1733,Nantes,,Hollande,Exports,Baffetas,,,45108,,2506,pièces,18,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
105,Local,1733,Nantes,,Hollande,Exports,Bajutapeau,,,4800,,400,pièces,12,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
106,Local,1733,Nantes,,Hollande,Exports,Bazin des Indes,,,36000,,1800,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
107,Local,1733,Nantes,,Hollande,Exports,Betilles,,,1400,,50,pièces,28,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
108,Local,1733,Nantes,,Hollande,Exports,Bois rouge des Indes,,,30047,,176750,livres,0.17,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
109,Local,1733,Nantes,,Hollande,Exports,Citrons confits,,,702,,1405,livres,0.5,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
110,Local,1733,Nantes,,Hollande,Exports,Caffé,,,178586,,137375,livres,1.3,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
111,Local,1733,Nantes,,Hollande,Exports,Chataignes,,,1148,,2874,boisseaux,0.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,3,,,,,Thasectra,,,,,,,,,,,,
112,Local,1733,Nantes,,Hollande,Exports,Cardumum,,,7946,,2445,livres,3.25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
113,Local,1733,Nantes,,Hollande,Exports,Cinabre,,,1115,,235,livres,4.75,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
114,Local,1733,Nantes,,Hollande,Exports,Cacao,,,630,,450,livres,1.4,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
115,Local,1733,Nantes,,Hollande,Exports,Caladeris,,,41600,,2080,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
116,Local,1733,Nantes,,Hollande,Exports,Coupis,,,12360,,618,pièces,20,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
117,Local,1733,Nantes,,Hollande,Exports,Chaslas,,,12300,,820,pièces,15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
118,Local,1733,Nantes,,Hollande,Exports,Capes,,,0,,220,pièces,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
119,Local,1733,Nantes,,Hollande,Exports,Casses,,,448,,16,pièces,28,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
120,Local,1733,Nantes,,Hollande,Exports,Chaustes,,,2576,,92,pièces,28,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
