line_number,source_type,year,tax_department,tax_office,partner,export_import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1779,Rennes,,d'Angleterre,Imports,Charbon de terre,,,,,40,tonneaux,30,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-1200,,,,,,,,,
2,Local,1779,Rennes,,de Danemark,Imports,Bois d'Espars,,,,,58,en nombre,1,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-58,,,,,,,,,
3,Local,1779,Rennes,,de Danemark,Imports,Bray gras,,,,,1187,barils,28,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-33236,,,,,,,,,
4,Local,1779,Rennes,,de Danemark,Imports,Cabillauds,,,,,60,barils,25,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-1500,,,,,,,,,
5,Local,1779,Rennes,,de Danemark,Imports,Huille de poisson,,,,,1.5,barique,160,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-240,,,,,,,,,
6,Local,1779,Rennes,,de Danemark,Imports,Morue seche,,,,,11610,livres,.40000001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-4644,,,,,,,,,
7,Local,1779,Rennes,,de Danemark,Imports,Planches de sapin,,,,,75133,en nombre,1,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-75133,,,,,,,,,
8,Local,1779,Rennes,,de Danemark,Imports,Rogue de stocfiche,,,,,1528,barils,50,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-76400,,,,,,,,,
9,Local,1779,Rennes,,d'Espagne,Imports,Amandes,,,,,965,livres,.30000001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,1,,,,,Cyril CANET,,,-289.5,,,,,,,,,
10,Local,1779,Rennes,,d'Espagne,Imports,Avirons,,,,,1750,en nombre,2.5,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-4375,,,,,,,,,
11,Local,1779,Rennes,,d'Espagne,Imports,Citrons et oranges,,,,,63000,en nombre,.050000001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-3150,,,,,,,,,
12,Local,1779,Rennes,,d'Espagne,Imports,Fer en barres,,,,,292210,livres,.2,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-58442,,,,,,,,,
13,Local,1779,Rennes,,d'Espagne,Imports,Figues,,,,,62900,livres,.15000001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-9435,,,,,,,,,
14,Local,1779,Rennes,,d'Espagne,Imports,Grenades,,,,,30,livres,.30000001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-9,,,,,,,,,
15,Local,1779,Rennes,,d'Espagne,Imports,Jalap,,,,,4243,livres,2,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-8486,,,,,,,,,
16,Local,1779,Rennes,,d'Espagne,Imports,Marchandises meslées,,,10,,,,0,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,valeur de 10 L,10,,,,,,,,,
17,Local,1779,Rennes,,d'Espagne,Imports,Patates,,,,,140,en nombre,.0041700001,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-.57999998,,,,,,,,,
18,Local,1779,Rennes,,d'Espagne,Imports,Quinquina,,,,,2143,livres,4,sources/Local/AD44_C717_Rennes_Imports_1779.csv,AD44 C717,2,,,,,Cyril CANET,,,-8572,,,,,,,,,
