line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_lines,value,value_part_of_bundle,quantity,quantity_unit,Prix unitaire en décimale de Lt,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
1,Local,1770,Rennes,,Angleterre,Exports,Amandes,,,"2,000.00",,50.00,balles,40.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
2,Local,1770,Rennes,,Angleterre,Exports,Amidon,,,228.00,,912.00,livres,0.2500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
3,Local,1770,Rennes,,Angleterre,Exports,Beurre,,,"11,040.00",,"22,080.00",livres,0.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
4,Local,1770,Rennes,,Angleterre,Exports,Caffé des isles,,,"10,272.60",,"11,414.00",livres,0.9000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
5,Local,1770,Rennes,,Angleterre,Exports,Chaises de paille,,,690.00,,690.00,en nombre,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
6,Local,1770,Rennes,,Angleterre,Exports,Chandelle,,,"3,307.50",,"6,013.00",livres,0.5500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,"GD : Le prix est comme 1771. Je suppose une erreur dans la quantité, qui est la même que la ligne suivante : je remplace 3150 par 6013",0.35,,,,,,,,,
7,Local,1770,Rennes,,Angleterre,Exports,Cuirs de bœuf tannés,,,"1,417.50",,"3,150.00",livres,0.4500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
8,Local,1770,Rennes,,Angleterre,Exports,Eau de vie,,,426.67,,2.66,barriques ,160.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,1.07,,,,,,,,,
9,Local,1770,Rennes,,Angleterre,Exports,Eau de vie,,,"9,200.23",,"1,752.50",Veltes,5.2500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,-0.40,,,,,,,,,
10,Local,1770,Rennes,,Angleterre,Exports,Filain,,,"3,270.00",,"10,900.00",livres,0.3000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
