quantity_unit,quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ortho
,,1,163088,163258
livres,livres,1,159622,234152
Livres,livres,1,68077,234152
en nombre,en nombre,1,15053,18136
quintaux,quintaux,1,14308,14434
pièces,pièces,1,11765,22175
douzaines,douzaine,1,6600,10510
aunes,aunes,1,6147,9784
kilogrammes,kilogrammes,1,5422,9937
Livre,livres,1,5277,234152
kg,kilogrammes,1,4504,9937
nombre,nombre,1,4402,9417
Nombre,nombre,1,4253,9417
Pièces,pièces,1,4235,22175
barils,barils,1,4079,6949
muids,muids,1,3070,4540
Douzaines,douzaine,1,3058,10510
En nombre,en nombre,1,2839,18136
Tonneaux,tonneaux,1,2758,5564
Aunes,aunes,1,2653,9784
tonneaux,tonneaux,1,2173,5564
charges,charges,1,2071,2768
Barils,barils,1,2015,6949
Pieces,pièces,1,2004,22175
pieces,pièces,1,1972,22175
quintal,quintal,1,1970,2787
paires,paires,1,1769,2838
Pièce,pièces,1,1717,22175
bariques,barriques,1,1391,5046
rames,rames,1,1348,2000
milleroles,milleroles,1,1318,2186
milliers,milliers,1,1306,2293
bouteilles,bouteilles,1,1280,1994
Bariques,barriques,1,1248,5046
livre,livres,1,1117,234152
Muids,muids,1,1113,4540
Barriques,barriques,1,1061,5046
Boisseaux,boisseau,1,973,1453
pots,pots,1,919,1518
Paires,paires,1,871,2838
grosses,grosses,1,821,1313
Quintal,quintal,1,816,2787
barriques,barriques,1,813,5046
hectolitres,hectolitres,1,804,909
Milliers,milliers,1,744,2293
Nombres,nombre,1,727,9417
caisses,caisses,1,656,944
Pots,pots,1,567,1518
Tonneau,tonneaux,1,566,5564
Charges,charges,1,560,2768
Bouteilles,bouteilles,1,558,1994
Douzaine,douzaine,1,540,10510
Rames,rames,1,531,2000
marcs,marcs,1,474,680
balles,balle,1,469,557
veltes,veltes,1,431,888
douelles,douelles,1,425,712
Grosses,grosses,1,395,1313
pintes,pintes,1,367,731
Aune,aunes,1,365,9784
boisseaux,boisseau,1,365,1453
Barique,barriques,1,361,5046
Veltes,veltes,1,337,888
millerolles,milleroles,1,318,2186
valeur,valeur,1,316,552
Barrils,barils,1,307,6949
pipes,pipe,1,302,371
Milleroles,milleroles,1,292,2186
paquets,paquets,1,281,420
douzaine,douzaine,1,280,10510
aulnes,aunes,1,266,9784
barrils,barils,1,264,6949
bottes,bottes,1,256,320
Millerolles,milleroles,1,251,2186
Quarts,quarts,1,246,432
en nombres,en nombre,1,239,18136
Muid,muids,1,227,4540
paniers,paniers,1,219,318
conques,conques,1,216,216
litres,litres,1,216,328
Pintes,pintes,1,209,731
