numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bray sec,Angleterre,2000,Livre,"0,045",,,Prix unitaire en millier
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Eau de vie,Angleterre,3562,Velte,2,,,
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Indigo,Angleterre,96000,Livre,"4,25",,,
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin de Bordeaux,Angleterre,"3,75",Tonneau,250,,,
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cotton en laine,Flandre autrichienne,1318,Livre,"1,68",,,Prix unitaire en pourcentage
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Eau de vie,Flandre autrichienne,39895,Velte,2,,,
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Fruit cuit,Flandre autrichienne,112,Livre,"0,25",,,
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Indigo,Flandre autrichienne,2207,Livre,"4,25",,,
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Miel,Flandre autrichienne,15818,Livre,"0,15",,,
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Rocou,Flandre autrichienne,514,Livre,1,,,
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Savon,Flandre autrichienne,675,Livre,"0,44",,,Prix unitaire en pourcentage
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sel du Croisic,Flandre autrichienne,13,Muid,20,,,
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sirop de sucre,Flandre autrichienne,201650,Livre,"0,09",,,Prix unitaire en pourcentage
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre blanc,Flandre autrichienne,850,Livre,"0,52",,,Prix unitaire en pourcentage
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre brut,Flandre autrichienne,101900,Livre,"0,34",,,Prix unitaire en pourcentage
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Sucre terré,Flandre autrichienne,9000,Livre,"0,48",,,Prix unitaire en pourcentage
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Thé,Flandre autrichienne,17091,Livre,"3,4",,,
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin d'Amont,Flandre autrichienne,"2279,25",Tonneau,150,,,
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Vin nantois,Flandre autrichienne,367,Tonneau,70,,,
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Alibanis,Hollande,25,Pièce,,253,,
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Anis vert,Hollande,5920,Livre,"0,25",,,Prix unitaire en pourcentage
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Armoisin,Hollande,16,Pièce,,"439,45",,
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Baffetas bleu,Hollande,1580,Pièce,,18486,,
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bajutapau,Hollande,876,Pièce,,"13392,8",,
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bazin blanc,Hollande,400,Pièce,,8280,,
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bled froment,Hollande,115,Tonneau,80,,,
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bled seigle,Hollande,435,Tonneau,45,,,
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bois rouge,Hollande,286000,Livre,,85975,,
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Bois a teindre,Hollande,35600,Livre,"0,15",,,Prix unitaire en pourcentage
30,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Borax,Hollande,3306,Livre,"2,75",,,
31,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Caffé Bourbon,Hollande,456626,Livre,"1,05",,,
32,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Caffé des Isles,Hollande,39699,Livre,"0,85",,,
33,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Caffé de Moka,Hollande,774,Livre,"3,25",,,
34,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cauris,Hollande,41786,Livre,,"22564,45",,
35,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Calbaf,Hollande,67,Pièce,,"156,75",,
36,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Chataignes,Hollande,3569,Boisseau,"0,6",,,
37,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Chazelas,Hollande,1918,Pièce,,29893,,
38,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Chazelas,Hollande,360,Pièce,24,,,
39,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Chuquelas,Hollande,123,Pièce,,"2616,8",,
40,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cotonis,Hollande,14,Pièce,,"346,5",,
41,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cotton en laine,Hollande,3000,Livre,"1,68",,,Prix unitaire en pourcentage
42,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Cuirs secs en poil,Hollande,125,Pièce,7,,,
43,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Doutis,Hollande,80,Pièce,,2016,,
44,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Eau de vie,Hollande,229433,Velte,2,458866,0,
45,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Ecorce d'arbre,Hollande,60,Pièce,,972,,
46,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Fichus de mousseline,Hollande,2,Pièce,,20,,
47,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,1,Fruit cuit,Hollande,400,Livre,"0,25",,,
48,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1744.csv,Local,1744,Exports,Nantes,2,Garas bleu,Hollande,930,Pièce,,12204,,
