numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Avoine,Angleterre,"25,50",Tonneau,"30,000","765,00","0,00",,
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Bled froment,Angleterre,"151,00",Tonneau,"115,000","17 365,00","0,00",,
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Confitures,Angleterre,"24,00",Livre,"1,250","31,00","-1,00",erreur de calcul,
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Caffé des Isles,Angleterre,"8770,00",Livre,"0,750","6 577,00","0,50",,
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Chataignes,Angleterre,"300,00",Boisseau,"0,350","105,00","0,00",,
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Cotonade,Angleterre,"20,00",Aune,"2,000","40,00","0,00",,
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Cartes a jouer,Angleterre,"130,00",Livre,"1,500","204,00","-9,00",erreur de calcul,
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Cordage,Angleterre,"900,00",Livre,"0,190","171,00","0,00",Prix unitaire en pourcentage,
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Eau de vie,Angleterre,"814,00",Barique,"65,000","52 910,00","0,00",Droits à 3 livres et 5 sous par bariques,
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Fayence,Angleterre,"20,00",Douzaine,"3,500","70,00","0,00",,
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Mouchoirs de Bengale,Angleterre,"65,00",Pièce,"31,500","1 990,00","57,50",erreur de calcul,
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Merain ganivelle,Angleterre,"4700,00",Douelle,"0,070","330,00","-1,00",erreur de calcul,
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Noix,Angleterre,"250,00",Millier,"1,250","312,00","0,50",Erreur prix total,
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Pruneaux d'amont,Angleterre,"125,00",Livre,"0,050","6,00","0,25",,
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Papier a ecrire,Angleterre,"4570,00",Livre,"0,550","2 513,00","0,50",Prix unitaire en pourcentage,
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Porcelaine,Angleterre,"292,00",Livre,"5,000","1 460,00","0,00",,
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Sel du Croisic,Angleterre,"488,00",Muid,"35,000","23 600,00","-6 520,00",erreur de calcul,1
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Sel du Croisic,Angleterre,"472,00",Muid,"30,000","23 600,00","-9 440,00",erreur de calcul,2
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Sucre en pain,Angleterre,"600,00",Livre,"0,500","300,00","0,00",Prix unitaire en pourcentage,
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Sirop de sucre,Angleterre,"45400,00",Livre,"0,050","2 270,00","0,00",Prix unitaire en pourcentage,
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Soyerie,Angleterre,"21,00",Livre,"40,000","840,00","0,00",,
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Thé divers,Angleterre,"50642,00",Livre,"3,000","151 926,00","0,00",,
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Toile de Bretagne,Angleterre,"1165,00",Livre,"4,000","4 660,00","0,00",,
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Toile Baptiste,Angleterre,"8,00",Livre,"32,000","256,00","0,00",,
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Terrerie,Angleterre,"12,00",Douzaine,"1,800","20,00","1,60",erreur de calcul,
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Vin d'amont,Angleterre,"6,00",Tonneau,"200,000","1 200,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Vin nantois,Angleterre,"5,00",Tonneau,"80,000","400,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
