numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Avoine,Angleterre,5,Tonneau,40,200,0,
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bled froment,Angleterre,294,Tonneau,105,30870,0,
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bled seigle,Angleterre,31,Tonneau,65,2015,0,
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Beuf salé du païs,Angleterre,800,Livre,"0,2",160,0,Prix unitaire en pourcentage
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Bazin,Angleterre,20,Pièce,30,600,0,
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Boutons de crin,Angleterre,,,0,40,-40,
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Confitures,Angleterre,50,Livre,"0,5",25,0,Prix unitaire en pourcentage
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Caffé de moka,Angleterre,1272,Livre,"1,8",2290,"-0,4",
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Caffé des Isles,Angleterre,3420,Livre,1,3420,0,
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Cotonade,Angleterre,65,Aune,2,130,0,
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Cartes a jouer,Angleterre,475,Livre,"1,5",712,"0,5",
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Chandelle,Angleterre,50,Livre,"0,45",22,"0,5",
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Eau de vie,Angleterre,2632,Barique,75,197400,0,Droits à 3 livres et 5 sous par barique
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Farine,Angleterre,"10,5",Tonneau,180,1890,0,
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Feves,Angleterre,2,Septiers,6,12,0,
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fil a voile,Angleterre,20,Livre,"0,75",15,0,
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fayence,Angleterre,10,Douzaine,3,30,0,
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Fer en verge,Angleterre,1500,Livre,"0,16",240,0,Prix unitaire en pourcentage
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Guinée blanche,Angleterre,20,Pièce,45,900,0,
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Indigo,Angleterre,1650,Livre,"3,25",5362,"0,5",
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,1,Lard du pais,Angleterre,800,Livre,"0,2",160,0,Prix unitaire en pourcentage
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs de fil organdy,Angleterre,49,Pièce,32,1568,0,
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs des Indes,Angleterre,2,Douzaine,36,72,0,
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Mouchoirs de Rouen,Angleterre,3,Douzaine,12,36,0,
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Marmites de fer,Angleterre,144,Nombre,"1,75",252,0,
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Merain ganivelle,Angleterre,3000,Douelle,"0,12",31,329,150 livres les 1240 douelles / erreur de calcul
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Noix,Angleterre,70,Millier,"0,6",42,0,
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Pruneaux de Ste Caterine,Angleterre,200,Livre,"0,3",60,0,Prix unitaire en pourcentage
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Papier a écrire,Angleterre,4160,Livre,"0,5",2030,50,erreur de calcul
30,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Porcelaine des Indes,Angleterre,106,Livre,5,530,0,
31,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,513,Muid,40,20520,0,
32,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,276,Muid,30,8280,0,
33,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sels du Croisic,Angleterre,150,Muid,25,3750,0,
34,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sucre en pain,Angleterre,750,Livre,"0,5",375,0,Prix unitaire en pourcentage
35,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sucre terré,Angleterre,1150,Livre,"0,25","287,5",0,Erreur prix total
36,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sirop de sucre,Angleterre,30200,Livre,"0,05",1510,0,Prix unitaire en pourcentage
37,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Soyerie,Angleterre,38,Livre,40,1520,0,
38,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Soucy,Angleterre,111,Pièce,30,3330,0,
39,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Sanas,Angleterre,20,Pièce,41,820,0,
40,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Siamoise,Angleterre,86,Aune,2,172,0,
41,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Thé bou,Angleterre,16403,Livre,"3,5",57410,"0,5",
42,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Thé divers,Angleterre,48860,Livre,3,146580,0,
43,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Toile de Bretagne,Angleterre,3088,Livre,4,12352,0,
44,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin de champagne,Angleterre,3,Barique,300,900,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
45,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin de Bordeaux,Angleterre,3,Barique,50,150,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
46,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin d'amont,Angleterre,4,Tonneau,200,800,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
47,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vin nantois,Angleterre,"16,5",Tonneau,80,1320,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
48,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Vinaigre,Angleterre,4,Tonneau,60,240,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
49,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Alibanis,Flandre Imperialle,14,Pièce,"12,5",175,0,
50,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Bled froment,Flandre Imperialle,4,Tonneau,105,420,0,
51,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Bazin,Flandre Imperialle,70,Pièce,30,2100,0,
52,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Calbas,Flandre Imperialle,43,Pièce,"23,5",1003,"7,5",erreur de calcul
53,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Coupis,Flandre Imperialle,14,Pièce,13,181,1,erreur de calcul
54,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,2,Confitures,Flandre Imperialle,360,Livre,"0,5",180,0,Prix unitaire en pourcentage
55,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé de moka,Flandre Imperialle,4000,Livre,"1,8",7200,0,
56,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé de Bourbon,Flandre Imperialle,27000,Livre,"1,113",30037,"0,5",
57,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Caffé des Isles,Flandre Imperialle,14180,Livre,1,14180,0,
58,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Chataignes,Flandre Imperialle,1710,Boisseau,"0,4",684,0,
59,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Cabarets vernis,Flandre Imperialle,,,0,495,-495,
60,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Cuirs secs en poil des Isles,Flandre Imperialle,2556,Nombre,5,12780,0,
61,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Coton en laine,Flandre Imperialle,21970,Livre,"0,86",18894,"0,2",Prix unitaire en pourcentage
62,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1735.csv,Local,1735,Exports,Nantes,3,Cartes a jouer,Flandre Imperialle,1225,Livre,"1,5",1837,"0,5",
