numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Cercles de bois,Angleterre,292325,Nombre,"0,019",,,Prix unitaire en Millierss
2,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Chatagnes,Angleterre,2530,Boisseau,1,,,
3,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Eau de vie,Angleterre,3534,Veltes,"4,5",,,
4,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Indigo,Angleterre,75083,Livres,5,,,
5,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Marchandises melées,Angleterre,,,,196,,
6,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Noix,Angleterre,731000,Pièces,"0,002",,,
7,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Peaux de veau corroyées,Angleterre,20,Douzaines,31,,,
8,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Poix,Angleterre,134000,Livres,"0,05",,,
9,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Pruneaux,Angleterre,14650,Livres,"0,1",,,
10,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Salsepareille,Angleterre,160,Livres,"2,25",,,
11,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Sel,Angleterre,251,Muids,90,,,
12,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Thé,Angleterre,9000,Livres,"1,6",,,
13,Anthony Rebours,AD44 C717 n°14,Local/Nantes/Nantes - Exports – 1768.csv,Local,1768,Exports,Nantes,1,Vinaigre,Angleterre,"3,75",Tonneaux,90,,,
