numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Assiettes de porcelaine des Indes,Angleterre,7,Douzaine,"9,5","66,5",0,
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bougie de cire blanche,Angleterre,190,Livre,"1,95","370,5",0,
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bray sec,Angleterre,150,Livre,"0,07",105,"-94,5",erreur de calcul
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Bray gras,Angleterre,1,Baril,20,20,0,
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Confiture,Angleterre,32,Livre,"0,7","22,4",0,
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Caffé,Angleterre,15,Livre,3,45,0,
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Chataignes,Angleterre,25,Boisseau,"0,5","12,5",0,
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Citron,Angleterre,1,Centaine,7,7,0,
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Coutil,Angleterre,25,Pièce,25,125,500,erreur de calcul
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Cottonades,Angleterre,8,Aune,"2,75",22,0,
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Eau de vie,Angleterre,1932,Barrique,55,112539,-6279,Plus droits à 65 sous la barrique = 6279 livres
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Eau de citronelle,Angleterre,8,Bouteille,4,32,0,
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Etoffes diverses des Indes,Angleterre,54,Pièce,60,3240,0,
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fer en barres,Angleterre,39850,Livre,"0,14",5579,0,Prix unitaire en pourcentage
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fer en verge,Angleterre,2000,Livre,"0,145",290,0,Prix unitaire en pourcentage
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fayance,Angleterre,4,Panier,20,80,0,
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Fayance,Angleterre,44,Douzaine,4,176,0,
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Galon d'argens,Angleterre,10,Onces,8,80,0,
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Garnitures de lit de Soye des Indes,Angleterre,1,Nombre,300,300,0,
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Mousseline des Indes,Angleterre,20,Aune,3,60,0,
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Mouchoirs de Rouen,Angleterre,1,Douzaine,12,12,0,
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Marmites de fer,Angleterre,2,Nombre,5,5,5,erreur de calcul
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Noix,Angleterre,56,Millier,1,320,-264,erreur de calcul
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Nates de jonc,Angleterre,561,Pièce,2,1122,0,
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Ozier,Angleterre,2000,Nombre,"0,15",300,0,Prix unitaire en pourcentage/ Quantité en milliers
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Papier a écrire,Angleterre,8275,Livre,"0,5","4137,5",0,
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Porcelaine des Indes,Angleterre,1133,Livre,4,4532,0,
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Reglisse,Angleterre,2400,Livre,"0,15",360,0,Prix unitaire en pourcentage
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sel,Angleterre,1062,Muid,25,26550,0,
30,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sucre en pain,Angleterre,275,Livre,"0,6",165,0,Prix unitaire en pourcentage
31,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sucre terré,Angleterre,350,Livre,"0,335","117,25",0,Prix unitaire en pourcentage
32,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sirop de sucre,Angleterre,109250,Livre,"0,05","5462,5",0,Prix unitaire en pourcentage
33,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Soyerie,Angleterre,82,Livre,40,3280,0,
34,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Satin soye et fil,Angleterre,44,Aune,3,132,0,
35,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Savon,Angleterre,980,Livre,"0,33","312,4",11,erreur de calcul
36,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé imperial,Angleterre,130,Livre,6,780,0,
37,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé saoul,Angleterre,670,Livre,3,2010,0,
38,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé vert,Angleterre,4564,Livre,"2,3","9812,6","684,6",erreur de calcul
39,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé bou,Angleterre,19940,Livre,"2,5",49850,0,
40,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Tapis,Angleterre,1,Nombre,40,40,0,
41,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile Batiste,Angleterre,3,Livre,30,90,0,
42,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de Bretagne,Angleterre,1850,Livre,4,7400,0,
43,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de cotton des Indes,Angleterre,14,Pièce,30,420,0,
44,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de cotton des Indes,Angleterre,1175,Aune,"1,25","1468,75",0,
45,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin de Bordeaux,Angleterre,3,Tonneau,300,900,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
46,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin d'amont,Angleterre,66,Tonneau,150,9900,0,Droits sur le vin et le vinaigre à 49 sous par tonneau
47,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin nantois,Angleterre,20,Tonneau,60,1249,-49,Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul
48,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vinaigre,Angleterre,"20,5",Tonneau,60,"1280,2","-50,2",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul
49,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vernis,Angleterre,200,Livre,2,8000,-7600,"erreur dans la source, confusion entre livres et sous"
50,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Armoire vieille,Flandre Impériale,1,Nombre,30,30,0,
51,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Arbres fruitiers,Flandre Impériale,,,0,22,-22,
52,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Beurre,Flandre Impériale,4000,Livre,"0,25",1000,0,Prix unitaire en pourcentage
53,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Bougie de cire blanche,Flandre Impériale,20,Livre,"1,65",33,0,
54,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Confiture,Flandre Impériale,290,Livre,"0,7",203,0,
55,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Chataignes,Flandre Impériale,916,Boisseau,"0,5",458,0,
