numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Amandes cassées,Angleterre,30,Livre,"0,3",9,0,
2,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Bouteilles de verre,Angleterre,550,Nombre,"0,2",110,0,Prix unitaire en pourcentage
3,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Bariques vuides,Angleterre,80,Nombre,"1,767",140,"1,33",arrondi
4,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Chataignes,Angleterre,830,Boisseaux,"0,6",498,0,
5,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Confitures,Angleterre,75,Livre,"0,538",410,"-369,69",erreur de calcul
6,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Caffé des Isles,Angleterre,4450,Livre,"0,55",2431,"16,5",arrondi
7,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Cottonnade,Angleterre,239,Aune,2,478,0,
8,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Cartes a jouer,Angleterre,5,livres,1,5,0,Unité de compte d'origine = 1 quart de grosse
9,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Eau de vie,Angleterre,1352,Barique,112,151424,0,Droits à 3 livres et 5 sous la barique
10,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Eau de la Reine de Hongrie,Angleterre,24,Douzaine,6,144,0,
11,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Fayance,Angleterre,53,Douzaine,4,212,0,
12,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Fer en barres,Angleterre,46500,Livre,"0,14",6510,0,Prix unitaire en millier
13,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Gingembre,Angleterre,125,Livre,"0,145",18,"0,13",arrondi
14,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Jambon,Angleterre,150,Livre,"0,5",75,0,Prix unitaire en pourcentage
15,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Indigo,Angleterre,21864,Livre,"3,85",74176,"10000,4",erreur de calcul
16,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Mouchoirs de Bengale,Angleterre,16,Pièce,25,400,0,
17,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Merrain Ganivelle,Angleterre,66900,Douelle,"0,07",4683,0,Prix unitaire en millier
18,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Noix,Angleterre,80,Millier,"1,75",140,0,
19,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Pruneaux,Angleterre,800,Livre,"0,15",120,0,Prix unitaire en pourcentage
20,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Poivre,Angleterre,500,Livre,"1,325",620,"42,5",erreur de calcul
21,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Papier à écrire,Angleterre,14500,Livre,"0,6",8700,0,Prix unitaire en pourcentage
22,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Porcelaine,Angleterre,287,Livre,5,1435,0,
23,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Pierres a fusils,Angleterre,8,Millier,"3,3",27,"-0,6",arrondi
24,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Raisins secs,Angleterre,25,Livre,"0,25",6,"0,25",arrondi
25,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sucre en pain,Angleterre,1725,Livre,"0,6",1035,0,Prix unitaire en pourcentage
26,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sucre terré,Angleterre,1975,Livre,"0,269",500,"30,78",erreur de calcul
27,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sucre brut,Angleterre,3125,Livre,"0,188",0,"585,94",pas de prix total indiqué
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sirop de sucre,Angleterre,41550,Livre,"0,066",9732,"-6996,63",erreur de calcul
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sel du Croisic,Angleterre,12,Muid,70,840,0,
30,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sel du Croisic,Angleterre,25,Muid,65,1625,0,
31,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports – 1739.csv,Local,1739,Exports,Nantes,1,Sel du Croisic,Angleterre,35,Muid,57,1995,0,
