numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,doubleaccounts
1,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Espagne,5093,20372,39859,livres,,,,"Le rouge correspond aux erreurs. Comme je vous l'avez dit au départ, le manuscrit n'est pas de super qualité du coup il y a parfois des erreurs car on ne voit pas le dernier chiffre. Le rouge est donc le plus souvent des erreurs que j'ai détect",0
1,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Espagne,81979,161656,140475879,livres,665794,,,le total des qtités devrait être888271,0
2,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Sardaigne,1503,6012,39859,livres,,,,,0
2,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Sardaigne,20905,38009,140475879,livres,665794,,,0,0
3,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Toscane,1291,5167,39859,livres,,,,,0
3,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Genes,39780,72328,140475879,livres,665794,,,0,0
4,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Barbarie,10291,41166,39859,livres,,,,,0
4,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Toscane,142605,259281,140475879,livres,665794,,,0,0
5,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Levant,1064,4256,39859,livres,,,,,0
5,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Etat eclesiatique,37284,67789,140475879,livres,665794,,,0,0
6,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Suisse,18777,56900,39859,livres,,,,,0
6,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Naples,7102,12913,140475879,livres,665794,,,0,0
7,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Acier,Suède,1840,4600,39859,livres,,,,,0
7,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Venise,2882,5240,140475879,livres,665794,,,0,0
8,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Sardaigne,30402,61247,914721,livres,,,,,0
8,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Barbarie,380,692,140475879,livres,665794,,,0,0
9,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Gènes,128358,281319,914721,livres,,,,,0
9,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Levant,11218,30397,140475879,livres,665794,,,0,0
10,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Toscane,292621,645747,914721,livres,,,,,0
10,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Angleterre,402,805,140475879,livres,665794,,,0,0
11,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Etats ecclésiastiques,31195,72350,914721,livres,,,,,0
