numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Espagne,5093,"Le rouge correspond aux erreurs. Comme je vous l'avez dit au départ, le manuscrit n'est pas de super qualité du coup il y a parfois des erreurs car on ne voit pas le dernier chiffre. Le rouge est donc le plus souvent des erreurs que j'ai détect",20372,,,,39859,livres,,,,,,,,,,
1,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Espagne,480,,1200,,,,873425,livres,,,,,,,,,,
1,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Espagne,81979,le total des qtités devrait être888271,161656,,,,140475879,livres,665794,,,,,,,,,
2,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Sardaigne,1503,,6012,,,,39859,livres,,,,,,,,,,
2,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Gènes,4452,,18545,,,,873425,livres,,,,,,,,,,
2,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Sardaigne,20905,0,38009,,,,140475879,livres,665794,,,,,,,,,
3,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Toscane,1291,,5167,,,,39859,livres,,,,,,,,,,
3,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Toscane,25233,,105138,,,,873425,livres,,,,,,,,,,
3,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Genes,39780,0,72328,,,,140475879,livres,665794,,,,,,,,,
4,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Barbarie,10291,,41166,,,,39859,livres,,,,,,,,,,
4,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Angleterre,34929,,,,,,873425,,,,,,,,,,,
4,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Toscane,142605,0,259281,,,,140475879,livres,665794,,,,,,,,,
5,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Levant,1064,,4256,,,,39859,livres,,,,,,,,,,
5,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Hollande,541698,,1400000,,,,873425,livres,,,,,,,,,,
5,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Etat eclesiatique,37284,0,67789,,,,140475879,livres,665794,,,,,,,,,
6,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Suisse,18777,,56900,,,,39859,livres,,,,,,,,,,
6,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Villes hanséatiques,13281,,38699,,,,873425,livres,,,,,,,,,,
6,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Naples,7102,0,12913,,,,140475879,livres,665794,,,,,,,,,
7,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Acier,Suède,1840,,4600,,,,39859,livres,,,,,,,,,,
7,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Empereur,28720,,79342,,,,873425,livres,,,,,,,,,,
7,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Venise,2882,0,5240,,,,140475879,livres,665794,,,,,,,,,
8,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Sardaigne,30402,,61247,,,,914721,livres,,,,,,,,,,
8,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Pologne,59660,,121778,,,,873425,livres,,,,,,,,,,
8,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Barbarie,380,0,692,,,,140475879,livres,665794,,,,,,,,,
9,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Gènes,128358,,281319,,,,914721,livres,,,,,,,,,,
9,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Suisse,6528,,19870,,,,873425,livres,,,,,,,,,,
9,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Levant,11218,0,30397,,,,140475879,livres,665794,,,,,,,,,
10,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Toscane,292621,,645747,,,,914721,livres,,,,,,,,,,
10,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Acier,Suède,158444,,476318,,,,873425,livres,,,,,,,,,,
10,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Angleterre,402,0,805,,,,140475879,livres,665794,,,,,,,,,
11,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Etats ecclésiastiques,31195,,72350,,,,914721,livres,,,,,,,,,,
11,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Alembics,Angleterre,32000,,,,,,,,,,,,,,,,,
11,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Hollande,35365,0,70207,,,,140475879,livres,665794,,,,,,,,,
12,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Naples,17442,,36179,,,,914721,livres,,,,,,,,,,
12,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Alumettes operées et souffrées,Hollande,6711,,15749,,,,,livres,,,,,,,,,,
12,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Ville d'anslatique,22020,0,44006,,,,140475879,livres,665794,,,,,,,,,
13,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Venise,17214,,39814,,,,914721,livres,,,,,,,,,,
13,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amadou,Gènes,1160,,995,,,,9626,livres,,,,,,,,,,
13,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,emperend,28398,0,54908,,,,140475879,livres,665794,,,,,,,,,
14,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Barbarie,2826,,6403,,,,914721,livres,,,,,,,,,,
14,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amadou,Naples,8466,,8466,,,,9626,livres,,,,,,,,,,
14,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Pologne,206,0,413,,,,140475879,livres,665794,,,,,,,,,
15,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Levant,26304,,57087,,,,914721,livres,,,,,,,,,,
15,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Espagne,275067,,533029,,,,536000,livres,,,,,,,,,,
15,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Suisse,224185,0,47609,,,,140475879,livres,665794,,,,,,,,,
16,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Angleterre,9817,,17525,,,,914721,livres,,,,,,,,,,
16,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Portugal,283,,590,,,,536000,livres,,,,,,,,,,
16,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Danemark,3346,0,6624,,,,140475879,livres,665794,,,,,,,,,
17,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Hollande,84085,,211708,,,,914721,livres,,,,,,,,,,
17,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Sardaigne,21553,,43752,,,,536000,livres,,,,,,,,,,
17,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Suede,2045,0,4010,,,,140475879,livres,665794,,,,,,,,,
18,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Villes hanséatiques,99657,,224626,,,,914721,livres,,,,,,,,,,
18,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Gènes,5390,,15400,,,,536000,livres,,,,,,,,,,
18,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Prusse,4482,0,8964,,,,140475879,livres,665794,,,,,,,,,
19,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Empreur,45350,,136353,,,,914721,livres,,,,,,,,,,
19,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Toscane,5117,,41125,,,,536000,livres,,,,,,,,,,
19,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Russie,1210,0,2420,,,,140475879,livres,665794,,,,,,,,,
20,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Suisse,46756,,88722,,,,914721,livres,,,,,,,,,,
20,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Naples,80846,,147047,,,,536000,livres,,,,,,,,,,
20,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Espagne,54243,le total des qtités devrait être7.28e+07,57212,,,,140475879,livres,68400000,,,,,,,,,
21,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Danemark,40831,,88281,,,,914721,livres,,,,,,,,,,
21,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Barbarie,114784,,236594,,,,536000,livres,,,,,,,,,,
21,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Portugal,166,0,166,,,,140475879,livres,68400000,,,,,,,,,
22,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Suède,24614,,55108,,,,914721,livres,,,,,,,,,,
22,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Levant,2470,,5370,,,,536000,livres,,,,,,,,,,
22,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Sardaigne,308044,0,308111,,,,140475879,livres,68400000,,,,,,,,,
23,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Prusse,2185,,5601,,,,914721,livres,,,,,,,,,,
23,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Amandes,Hollande,30490,,60457,,,,536000,livres,,,,,,,,,,
23,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Genes,469200,0,469200,,,,140475879,livres,68400000,,,,,,,,,
24,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Russie,11378,,25414,,,,914721,livres,,,,,,,,,,
24,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Arbres et arbrisseaux,Sardaigne,1037,,,,,,2093,,,,,,,,,,,
24,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Toscane,3946444,0,3946444,,,,140475879,livres,68400000,,,,,,,,,
25,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amandes,Amérique,3686,,11454,,,,914721,livres,,,,,,,,,,
25,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Arbres et arbrisseaux,Angleterre,1056,,,,,,2093,,,,,,,,,,,
25,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Etat elésiastique,708439,0,708439,,,,140475879,livres,68400000,,,,,,,,,
26,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amidon,Espagne,5149,,19789,,,,45903,livres,,,,,,,,,,
26,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Ardoises,Angleterre,16536,,551090,,,,36530,en nombre,,,,,,,,,,
26,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Naples,419358,0,419358,,,,140475879,livres,68400000,,,,,,,,,
27,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amidon,Gènes,37276,,124254,,,,45903,livres,,,,,,,,,,
27,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Ardoises,Hollande,12300,,615000,,,,36530,en nombre,,,,,,,,,,
27,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Venise,8428,0,8428,,,,140475879,livres,68400000,,,,,,,,,
28,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amidon,Angleterre,2275,,5901,,,,45903,livres,,,,,,,,,,
28,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,5,Ardoises,Empereur,7694,,,,,,36530,,,,,,,,,,,
28,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Barbarie,141983,0,141983,,,,140475879,livres,68400000,,,,,,,,,
29,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Amidon,Danemark,1203,,4010,,,,45903,livres,,,,,,,,,,
29,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,7,Argent ; divers,Toscane,6500,,,,,,2392821,,1956078,,,,,,,,,
29,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Levant,5705053,0,5705053,,,,140475879,livres,68400000,,,,,,,,,
30,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Agrès de navires,Amérique,12000,,,,,,,,,,,,,,,,,
30,Fatima Zahra,AN F12 250,Objet Général,1787,Imports,,,7,Argent ; divers,Hollande,2000,,,,,,2392821,,1956078,,,,,,,,,
30,Fatima zahra,AN F12 250,Objet Général,1787,Exports,,,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Angleterre,55215,0,59065,,,,140475879,livres,68400000,,,,,,,,,
31,Fatima Zahra,AN F12 250,Objet Général,1787,Exports,,,6,Arbres et arbrisseaux,Angleterre,1500,,,,,,2500,,,,,,,,,,,
