numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Amandes en coques,,1246,1246,Marseille,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Ambre ouvré,,1665,,Étranger,,en nombre,,,,,,Pas de quantité indiquée,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu (fusils de traite),,89280,11160,Ostende,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu fusils,,2560,256,Charleville,,en nombre,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu fusils,,980,140,Givel,,en nombre,,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu,,12140,1214,Danemark,,en nombre,,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,29,Armes à feu,,72,6,St Etienne,,en nombre,,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu,,2400,200,St Etienne,,en nombre,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu,,2000,200,Hambourg,,en nombre,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu,,17380,1738,Hollande,,en nombre,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu fusils de chasse,,1820,70,Angleterre,,en nombre,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu fusils de chasse,,6500,260,Ostende,,en nombre,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,29,Armes à feu,,420,12,St Etienne,,en nombre,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu,,840,24,St Etienne,,en nombre,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,29,Armes à feu pistolets de traite,,270,15,Nantes,,paires,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu pistolets de traite,,650,52,Nantes,,paires,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,29,Armes à feu pistolets de traite,,1580,142,Ostende,,paires,,,,,,,0
