numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Agrès de navire,,2434,,,,,,,,,,Pas de quantité indiquée,0
2,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Amandes en coques,,294,420,Provence,,livres,,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Arbres fruitiers,,774,1548,Touraine,,en nombre,,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Argent en piastres,,315000,40000,Étranger,,en nombre,,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Ardoises,,49527,2751500,Anjou,,en nombre,53385,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Ardoises,,654,38000,Anjou,,en nombre,53385,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Ardoises,,3204,178000,Anjou,,en nombre,53385,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Ardoises en carreau,,2466,5166,Anjou,,en nombre,,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Armes blanches (sabres),,330,22,,,en nombre,,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Sabres et poignards de traitte,,16304,8152,Étranger,,en nombre,,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Sabres montés en cuivre doré,,135,9,Isle de France,,en nombre,,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu (fusils de traitte),,149727,23035,Étranger,,en nombre,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu (fusils de traitte),,19383,2769,Hainaut,,en nombre,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu (fusils de traitte),,3000,400,Flandres,,en nombre,,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu de munition,,480,40,Foret,,en nombre,,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu de munition,,9580,790,Hainaut,,en nombre,,,,,,,0
17,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Armes à feu de munition fine,,2448,34,Isle de France,,en nombre,,,,,,,0
18,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Armes à feu de munition fine,,3030,101,Foret,,en nombre,4200,,,,,,0
19,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Armes à feu de munition fine,,1170,39,Foret,,en nombre,4200,,,,,,0
20,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Armes à feu de munition fine,,4650,155,Foret,,en nombre,,,,,,,0
21,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Pistolets de traitte,,636,53,Hainaut,,en nombre,,,,,,,0
22,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Pistolets de traitte,,512,64,Étranger,,paires,,,,,,,0
23,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Pistolets de maitre,,252,7,,,paires,,,,,,,0
24,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Beurre salé,,14347,28694,Bretagne,,livres,16142,,,,,,0
25,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Beurre salé,,250,500,Bretagne,,livres,16142,,,,,,0
26,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Beurre salé,,710,1420,Bretagne,,livres,16142,,,,,,0
27,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,18,Beurre salé,,835,1670,Bretagne,,livres,16142,,,,,,0
28,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Beurre salé,,3004,6009,Bretagne,,livres,,,,,,,0
29,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Beurre salé,,10552,21104,Étranger,,livres,15248,,,,,,0
30,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Beurre salé,,3850,7701,Étranger,,livres,15248,,,,,,0
31,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Beurre salé,,846,1692,Étranger,,livres,15248,,,,,,0
32,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Beurre salé,,6769,13538,Étranger,,livres,,,,,,,0
33,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,9584,154,Étranger,,muids,19689,,,,,,1
34,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,9584,148,Étranger,,pintes,19689,,,,,,2
35,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,9584,17941,Étranger,,bouteilles,19689,,,,,,2
36,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Bierre,,9932,100,Étranger,,muids,19689,,,,,,1
37,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Bierre,,9932,266,Étranger,,pintes,19689,,,,,,2
38,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Bierre,,9932,12505,Étranger,,bouteilles,19689,,,,,,2
39,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Cayenne et Guyanne,,18,Bierre,,173,432,Étranger,,bouteilles,19689,,,,,,0
40,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Bierre,,1892,33,Étranger,,muids,,,,,,,1
41,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,18,Bierre,,1892,246,Étranger,,pintes,,,,,,,2
42,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,Sénégal et Guinée,,19,Bierre,,1892,1220,Étranger,,bouteilles,,,,,,,2
43,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,13880,208,Bretagne,,muids,,,,,,,1
44,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,13880,96,Bretagne,,pintes,,,,,,,2
45,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bierre,,13880,13099,Bretagne,,bouteilles,,,,,,,2
46,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Bijouterie,,6364,,Isle de France,,,6684,,,,,,0
47,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Bijouterie,,320,,Isle de France,,,6684,,,,,,0
48,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,St Domingue,,18,Biscuit,,31324,136194,Bretagne,,livres,38971,,,,,,0
49,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Martinique,,18,Biscuit,,4278,18600,Bretagne,,livres,38971,,,,,,0
50,Cyril Mouton,ANOM Col F 2B 14,,,1789,Exports,La Guadeloupe,,18,Biscuit,,3254,14150,Bretagne,,livres,38971,,,,,,0
