numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
1,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Acier,Marseille,Espagne,20380,Livres,"0,35",7133,0,
2,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Ajamis,Marseille,Espagne,22919,Livres,9,206271,0,
3,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Alaya,Marseille,Espagne,104,Livres,4,416,0,
4,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Alun,Marseille,Espagne,55050,Livres,"0,1",5505,0,
5,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Amadou,Marseille,Espagne,300,Livres,"0,5",150,0,
6,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Amandes cassées,Marseille,Espagne,6804,Livres,"0,2",1360,"0,8",
7,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Amidon,Marseille,Espagne,1925,Livres,"0,2",385,0,
8,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Anchois,Marseille,Espagne,6565,Livres,"0,5",3282,"0,5",
9,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Argent vif,Marseille,Espagne,50,Livres,5,250,0,
10,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Argenterie,Marseille,Espagne,100,Marcs,57,5700,0,
11,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Bas de coton,Marseille,Espagne,435,Livres,5,2175,0,
12,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Bas de fil,Marseille,Espagne,461,Livres,5,2305,0,
