record_id;source_portic_fr;commodity_standardized_fr;commodity_standardized_en;nb_occurences_source;category_portic_fr;nb_commodity_id
00000335;Pour faire du cabotage;Cabotage;Cabotage;1;Action (hors pêche);1
00000335;pour faire du cabotage;Cabotage;Cabotage;3;Action (hors pêche);1
00000335;Cabotage;Cabotage;Cabotage;5;Action (hors pêche);1
00000335;Pour faire du commerce [cabotage];Cabotage;Cabotage;5;Action (hors pêche);1
00000424;Croisière de la Ferme;Croisière des douanes;Custom cruising;1;Action (hors pêche);1
00000424;Croisière de la Ferme générale;Croisière des douanes;Custom cruising;1;Action (hors pêche);1
00000424;Crosière de douane;Croisière des douanes;Custom cruising;1;Action (hors pêche);1
00000424;Croisière des fermes;Croisière des douanes;Custom cruising;2;Action (hors pêche);1
00000466;Trafiquer;Trafiquer;Traffic;123;Action (hors pêche);1
00000470;A l' aventure dans la province;A l' aventure;Coastal tramping;1;Action (hors pêche);1
00000470;à l' aventure;A l' aventure;Coastal tramping;10;Action (hors pêche);1
00000470;A l' aventure;A l' aventure;Coastal tramping;36;Action (hors pêche);1
00000482;Amarinage;Amarinage;Training;10;Action (hors pêche);1
00001287;gréments;Gréement de navire;Vessel rigging;1;Action (hors pêche);1
00001287;Vieux gréement de navire;Gréement de navire;Vessel rigging;1;Action (hors pêche);1
00001287;graiment de navire;Gréement de navire;Vessel rigging;3;Action (hors pêche);1
00001325;Achevé sa cargaison en bourdes;Achever sa cargaison en bourdes;To load rods;1;Action (hors pêche);1
00001343;Aux sables et aux goemons;Collecter sable et algues marines;Collecting sand and seaweed;2;Action (hors pêche);1
00001343;Aux sables et goemons;Collecter sable et algues marines;Collecting sand and seaweed;4;Action (hors pêche);1
00001344;Aux travaux [du Roi];Au service du Roi;King' s service;1;Action (hors pêche);1
00001344;Aux travaux du Roi;Au service du Roi;King' s service;5;Action (hors pêche);1
00001409;complète son chargement;Pour compléter son chargement;To complete his cargo;1;Action (hors pêche);1
00001409;Finir sa cargaison;Pour compléter son chargement;To complete his cargo;1;Action (hors pêche);1
00001409;Pour finir son chargement;Pour compléter son chargement;To complete his cargo;1;Action (hors pêche);1
00001409;Finir sa cargaison [Marchandises];Pour compléter son chargement;To complete his cargo;2;Action (hors pêche);1
00001409;Finir son chargement;Pour compléter son chargement;To complete his cargo;2;Action (hors pêche);1
00001446;Faire la course aux fraudeurs;Course aux fraudeurs;To arrest smugglers;1;Action (hors pêche);1
00001495;Mousqueterie;Mousqueterie;Musket fire;1;Action (hors pêche);1
00001565;Travaux pour la rade;Service du port;Harbor service;1;Action (hors pêche);1
