nom_source,nbr_occurrences_datasprint,key_id,en,fr
passagers,2,2,Passenger,Passagers
marchandises,24,13,Sundries,Diverses marchandises
avec son reste [reste de marchandises],9,13,Sundries,Diverses marchandises
Reste de marchandise,16,13,Sundries,Diverses marchandises
diverses marchandises,6,13,Sundries,Diverses marchandises
restant de sa cargaison,2,13,Sundries,Diverses marchandises
Marchandises,3,13,Sundries,Diverses marchandises
son reste [de marchandises],9,13,Sundries,Diverses marchandises
son reste de Marchandises,2,13,Sundries,Diverses marchandises
marchandises de foire,2,13,Sundries,Diverses marchandises
Marchandises de foire,2,13,Sundries,Diverses marchandises
reste de marchandise,2,13,Sundries,Diverses marchandises
pacotille,2,13,Sundries,Diverses marchandises
son reste [de cargaison],6,13,Sundries,Diverses marchandises
Diverses marchandises,3,13,Sundries,Diverses marchandises
autres marchandises,3,13,Sundries,Diverses marchandises
petit reste de marchandise,2,13,Sundries,Diverses marchandises
restant de marchandise,2,13,Sundries,Diverses marchandises
marchandises de Marseille,3,13,Sundries,Diverses marchandises
reste de marchandises des isles,2,13,Sundries,Diverses marchandises
Etc.,2,13,Sundries,Diverses marchandises
marchandises provenant d' avarie de navire,3,13,Sundries,Diverses marchandises
bled,25,27,Wheat,Blé
bleds,10,27,Wheat,Blé
Bled,24,27,Wheat,Blé
bleds froment,28,27,Wheat,Blé
reste de blés,2,27,Wheat,Blé
bled froment,3,27,Wheat,Blé
pommes,6,38,Apple,Pommes
marchandise,10,40,Goods,Marchandises
vin,566,43,Wine,Vin
vin pour son lest,3,43,Wine,Vin
vingt [vin],2,43,Wine,Vin
Vin,2,43,Wine,Vin
Bois,301,51,Wood,Bois
bois,70,51,Wood,Bois
Lard salé,2,53,Bacon,Lard salé
Lenne [Laine],3,55,Wool,Laine
leenes [laines],2,55,Wool,Laine
soudes,42,66,Soda,Soude
planche,134,68,Plank,Planches
planches,89,68,Plank,Planches
charbon,58,70,Coal,Charbon
Charbon,4,70,Coal,Charbon
Charbon de bois,22,71,Charcoal,Charbon de bois
charbon de bois,11,71,Charcoal,Charbon de bois
huile,4,74,Oil,Huile
Poisson,2,75,Fish,Poisson
Lin,2,78,Flax,Lin
biscuits,11,84,Biscuit,Biscuits
Biscuits,2,84,Biscuit,Biscuits
vinaigre,75,90,Vinegar,Vinaigre
Vinaigre,2,90,Vinegar,Vinaigre
orge,8,93,Barley,Orge
baillarge,3,93,Barley,Orge
Orge,4,93,Barley,Orge
son restant de baillarge,2,93,Barley,Orge
Baillarge,4,93,Barley,Orge
blé baillarge,3,93,Barley,Orge
Lest,306,94,Ballast,Lest
lest,1072,94,Ballast,Lest
en lest,37,94,Ballast,Lest
son lest,21,94,Ballast,Lest
les [lest],2,94,Ballast,Lest
Avoine,8,95,Oats,Avoine
avoine,6,95,Oats,Avoine
Fruits,2,97,Fruit,Fruits
Chanvre,12,98,Hemp,Chanvre
chanvre,4,98,Hemp,Chanvre
chanvres,3,98,Hemp,Chanvre
Coton,2,101,Cotton,Coton
moutarde,6,106,Mustard,Moutarde
Fromage,4,110,Cheese,Fromage
bleds seigle,6,122,Rye,Seigle
farine,20,124,Flour,Farine
Farine,62,124,Flour,Farine
farines,4,124,Flour,Farine
Minot,10,124,Flour,Farine
minots,6,124,Flour,Farine
mojette,4,125,Beans,Haricots blancs
morue,2,126,Cod,Morue
sel,4089,129,Salt,Sel
Sel,180,129,Salt,Sel
Sel pour la pêche,3,129,Salt,Sel
vivres,64,130,Food,Vivres
savon,3,135,Soap,Savon
café,4,138,Coffee,Café
Caffé avarrié,2,138,Coffee,Café
suif,2,145,Tallow,Suif
sucre,4,147,Sugar,Sucre
Sucre,4,147,Sugar,Sucre
meubles,11,151,Furniture,Meubles
huitres,6,167,Oysters,Huitres
cuivre,2,171,Copper,Cuivre
pois,2,183,Peas,Pois
vaches,6,186,Cow,Vaches
vache,3,186,Cow,Vaches
eau de vie,211,201,Brandy,Eau-de-vie
audevie [eau de vie],6,201,Brandy,Eau-de-vie
Eau-de-vie,84,201,Brandy,Eau-de-vie
eau-de-vie,6,201,Brandy,Eau-de-vie
eaux de vie,2,201,Brandy,Eau-de-vie
Eau de vie,2,201,Brandy,Eau-de-vie
buches,189,203,Firewood,Bois à brûler
bois à brûler,116,203,Firewood,Bois à brûler
Buches,10,203,Firewood,Bois à brûler
Buches à bruler,2,203,Firewood,Bois à brûler
Bois à bruler,4,203,Firewood,Bois à brûler
buche,16,203,Firewood,Bois à brûler
bois à bruler,14,203,Firewood,Bois à brûler
Buche,2,203,Firewood,Bois à brûler
ail,34,205,Garlic,Ail
voile,2,208,Sail,Voiles
Graines de lin,6,213,Linseed,Graines de lin
grains de lin,2,213,Linseed,Graines de lin
bois de construction,92,234,Timber,Bois de construction
bois de charpente,14,234,Timber,Bois de construction
Bois de construction,10,234,Timber,Bois de construction
bois de navires,3,234,Timber,Bois de construction
charbon de terre,4,235,Earth coal,Charbon de terre
Charbon de terre,4,235,Earth coal,Charbon de terre
pêche de la morue verte,64,240,Fishing (cod),Pêche à la morue
Pêche de la morue,6,240,Fishing (cod),Pêche à la morue
Pêche à la morue,8,240,Fishing (cod),Pêche à la morue
pêche de la morue,3,240,Fishing (cod),Pêche à la morue
Terre,4,241,Earth,Terre
futailles vides,7,242,Cask (empty),Futailles vides
futs vides,15,242,Cask (empty),Futailles vides
Futailles,5,242,Cask (empty),Futailles vides
futailles,68,242,Cask (empty),Futailles vides
futailles vuide,8,242,Cask (empty),Futailles vides
reste de futailles,4,242,Cask (empty),Futailles vides
futailles vuides,8,242,Cask (empty),Futailles vides
futaille vuide,4,242,Cask (empty),Futailles vides
son reste de futailles,3,242,Cask (empty),Futailles vides
sardines,19,254,Pilchard,Sardines
serdine [sardines],2,254,Pilchard,Sardines
serdines [sardines],6,254,Pilchard,Sardines
bois merrain,40,257,Stave wood,Bois merrain
merrains,3,257,Stave wood,Bois merrain
merrein,4,257,Stave wood,Bois merrain
bois de merrain,2,257,Stave wood,Bois merrain
merrain,2,257,Stave wood,Bois merrain
merein,2,257,Stave wood,Bois merrain
Mérin [Merrain],6,257,Stave wood,Bois merrain
Merrain,4,257,Stave wood,Bois merrain
Merein,6,257,Stave wood,Bois merrain
mairain [merrain],2,257,Stave wood,Bois merrain
Merein [merrain],2,257,Stave wood,Bois merrain
merin,3,257,Stave wood,Bois merrain
mairain,2,257,Stave wood,Bois merrain
Bois merrain,2,257,Stave wood,Bois merrain
merains,3,257,Stave wood,Bois merrain
huile de poisson,2,258,Fish oil,Huile de poisson
Pêche,2,259,Coastal fishing,Pêche au poisson frais
faire la pêche [au poisson frais],4,259,Coastal fishing,Pêche au poisson frais
Pêche au poisson frais,32,259,Coastal fishing,Pêche au poisson frais
pêche su poisson frais,3,259,Coastal fishing,Pêche au poisson frais
Pêche du poisson frais,45,259,Coastal fishing,Pêche au poisson frais
pèche du poisson [frais],49,259,Coastal fishing,Pêche au poisson frais
pèche du poisson frais,6,259,Coastal fishing,Pêche au poisson frais
pêche du poisson frais,13,259,Coastal fishing,Pêche au poisson frais
pour faire la pêche,5,259,Coastal fishing,Pêche au poisson frais
pêche [au possion frais],1,259,Coastal fishing,Pêche au poisson frais
Pêche du poisson frais le long des côtes,2,259,Coastal fishing,Pêche au poisson frais
peche du poisson [frais],1,259,Coastal fishing,Pêche au poisson frais
pêche au poisson frais,1,259,Coastal fishing,Pêche au poisson frais
Pêche de la Sardine,59,280,Fishing (pilchard),Pêche à la sardine
prendre de la sardine [pêche à la sardine],8,280,Fishing (pilchard),Pêche à la sardine
ustensiles pour la pêche à la morue verte,66,281,Fishing implements,Ustensiles de pêche
autres ustensilles provenant de la péche,4,281,Fishing implements,Ustensiles de pêche
ustensiles pour la pêche de la morue verte,2,281,Fishing implements,Ustensiles de pêche
marchandises provenant de nauffrage,2,282,Shipwreck belongings,Marchandises d'un naufrage
marchandises naufragé,2,282,Shipwreck belongings,Marchandises d'un naufrage
fer,4,295,Iron,Fer
lest en fer,3,295,Iron,Fer
Fèves,50,298,Broad bean,Fèves
fèves,64,298,Broad bean,Fèves
feaves [fèves],8,298,Broad bean,Fèves
feves,2,298,Broad bean,Fèves
feave [fèves],6,298,Broad bean,Fèves
Bray,3,303,Pitch,Brai
goudron,2,305,Tar,Goudron
Goldron [Goudron],6,305,Tar,Goudron
moules,4,327,Mussels,Moules 
Moulles,2,327,Mussels,Moules 
mouele [moules?],2,327,Mussels,Moules 
Paiche des moules [pêche des moules],2,328,Fishing (mussel),Pêche des moules
Pêche des moules,3,328,Fishing (mussel),Pêche des moules
Pêche aux moules,1,328,Fishing (mussel),Pêche des moules
Bierre,2,354,Beer,Bière
marchandises permises,23,356,Sundries (allowed),Marchandises permises
autres marchandises permises,26,356,Sundries (allowed),Marchandises permises
diverses marchandises permises,2,356,Sundries (allowed),Marchandises permises
morue verte,32,361,Green cod,Morue verte
sardines salées,10,362,Salted pilchard,Sardines salées
reste de sardines pressé de Bretagne,2,363,Pressed pilchard,Sardines pressées de Bretagne
reste de beurre,5,379,Butter,Beurre
restant de marchandises en boeure,2,379,Butter,Beurre
beurre,20,379,Butter,Beurre
Beurre,20,379,Butter,Beurre
son beurre [reste de cargaison],6,379,Butter,Beurre
restant de Boeure,4,379,Butter,Beurre
