numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Agneaux,Grenoble,Etats du Roy de Sardaigne,"82,00",Nombres,"2,500","184,10","20,90",erreur de calcul
2,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Amadou,Grenoble,Etats du Roy de Sardaigne,"60,00",Livres,"2,000","120,00","0,00",
3,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Aricots,Grenoble,Etats du Roy de Sardaigne,"35,50",Quintaux,"5,000","177,50","0,00",
4,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Asnes,Grenoble,Etats du Roy de Sardaigne,"6,00",Nombres,"20,000","120,00","0,00",
5,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Avoine,Grenoble,Etats du Roy de Sardaigne,"12,00",Quintaux,"2,500","30,00","0,00",
6,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Avoine,Grenoble,Etats du Roy de Sardaigne,"2050,00",Septiers,"5,000","10 250,00","0,00",
7,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,1,1727-1728,Beurres et fromages,Grenoble,Etats du Roy de Sardaigne,"286,00",Quintaux,"25,000","7 150,00","0,00",
8,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Beurres,Grenoble,Etats du Roy de Sardaigne,"413,75",Quintaux,"25,000","10 343,00","0,75",
9,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bœufs et vaches,Grenoble,Etats du Roy de Sardaigne,"1110,00",Pièces,"45,000","49 950,00","0,00",
10,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bois de futaye,Grenoble,Etats du Roy de Sardaigne,"50,00",Quintaux,"15,000","750,00","0,00",
11,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Boëttes de sapin,Grenoble,Etats du Roy de Sardaigne,"60,00",Balots,"10,000","600,00","0,00",
12,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bois de sapin,Grenoble,Etats du Roy de Sardaigne,,,"0,000","300,00","-300,00",
13,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bois ouvré,Grenoble,Etats du Roy de Sardaigne,"6,64",Quintaux,"12,000","78,70","0,98","64 livres convertis en 0,64 quintaux"
14,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bourre de bœuf,Grenoble,Etats du Roy de Sardaigne,"82,00",Quintaux,"6,000","492,00","0,00",
15,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bourre a bastier,Grenoble,Etats du Roy de Sardaigne,"8,25",Quintaux,"20,000","165,00","0,00","25 livres convertis en 0,25 quintaux"
16,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bourre de soye,Grenoble,Etats du Roy de Sardaigne,"379,00",Quintaux,"500,000","189 500,00","0,00",
17,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1727-1728.csv",Local,Imports,2,1727-1728,Bled,Grenoble,Etats du Roy de Sardaigne,"154,00",Septiers,"7,000","1 078,00","0,00",
