numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,doubleaccounts
1,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Baritaux,Allemagne,930,310,Livres,3,0,,0
2,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Bas ; de Filozelle,Allemagne,784,49,Livres,16,0,,0
3,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,bas ; de laine,Allemagne,16.5,275,Livres,6,0,2£12 onces,0
4,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Bas ; de soye,Allemagne,686060,17151.5,Livres,40,0,,0
5,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Bonneterie ; de laine,Allemagne,585,195,Livres,3,0,,0
6,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Bourre ; de soye,Allemagne,144,24,Livres,6,0,,0
7,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Bouteille ; de terre,Allemagne,1,5,Livres,.2,0,,0
8,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Caffé ; des Isles,Allemagne,3192,2660,Livres,1.2,0,,0
9,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Chapeaux ; castors,Allemagne,3307.5,189,pièces,175,0,,0
10,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,chapeaux ; poil et layne,Allemagne,74552.5,13555,douzaines,55,0,,0
11,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,cheveux,Allemagne,3300,165,Livres,20,0,,0
12,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,cordes et boyau,Allemagne,10,5,Livres,2,0,,0
13,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Coton ; filé,Allemagne,68144,34072,Livres,2,0,,0
14,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Cton ; en layne,Allemagne,18801.6,15668,Livres,12,0,,0
15,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",1,Cuir ; tanné,Allemagne,2150.25,2867,Livres,75,0,,0
16,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Dorure ; fausse,Allemagne,200,10,Livres,20,0,,0
17,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Dorure ; fine,Allemagne,1391730,11597.75,Livres,120,0,,0
18,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Draperie ; ecarlate,Allemagne,6192,516,Livres,12,0,,0
19,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Draperie ; ordinaire,Allemagne,658386,73154,Livres,9,0,,0
20,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Draperie ; petite,Allemagne,3840,1280,Livres,3,0,,0
21,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Droguerie,Allemagne,49302,,en valeur,0,,,0
22,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Eau de vie,Allemagne,47927.5,191710,Livres,25,0,,0
23,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Etamine avec soye,Allemagne,39200,4900,Livres,8,0,,0
