numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,Droits unitaires,value,probleme,remarks
1,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,17",Quintaux,3,0,0,Mesure d'origine livre
2,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,5",Quintaux,"1,4",0,0,Mesure d'origine livre
3,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Acier,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,17",Quintaux,"1,15",0,0,Mesure d'origine livre
4,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Acier non ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,13",Quintaux,"1,4",0,0,Mesure d'origine livre
5,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Amadoue,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,4",Quintaux,"2,5",0,0,Mesure d'origine livre
6,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Alun,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,2",Quintaux,"4,583",0,0,Mesure d'origine livre
7,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Agaric gros,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,6",Quintaux,3,0,0,Mesure d'origine livre
8,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Bruyeres etrangeres non montées,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,5",Quintaux,1,0,0,Mesure d'origine livre
9,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Bruyeres a faire des verjettes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,08",Quintaux,1,0,0,Mesure d'origine livre
10,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Beches de fer,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,8,Douzaines,"0,15",0,0,
11,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Boutons,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,75",Quintaux,"0,75",0,0,Mesure d'origine livre
12,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,2,1726 – 1725 à 1726,Bois travaillés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"13,2",Quintaux,"0,875",0,0,Mesure d'origine livre
13,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois travaillés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,5",Quintaux,"0,2",0,0,Mesure d'origine livre
14,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois a batir,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,,,0,"211,33","-211,33",
15,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois a bruler,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,51,Charrettée,"0,2",0,0,
