numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
1,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Espagne,5667,29531,33225,livres,,,,0
2,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Sardaigne,1636,7181,33225,livres,,,,0
3,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Barbarie,4325,22764,33225,livres,,,,0
4,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Levant,691,3635,33225,livres,,,,0
5,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Etat de l'empreur,58,145,33225,livres,,,,0
6,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Allemagne-Pologne,1311,3277,33225,livres,,,,0
7,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Suisse-Geneve,11587,28980,33225,livres,,,,0
8,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Acier,Etats unis d'Amerique,7950,16600,33225,livres,,,,0
9,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Espagne,3527,11079,527426,livres,,,ne correspond pas au total marqué,0
10,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Sardaigne,61818,193138,527426,livres,,,,0
11,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Genes,32890,112990,527426,livres,,,,0
12,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Milanes-Toscana,2793,10173,527426,livres,,,,0
13,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,etats ecclésiastiques,137,550,527426,livres,,,,0
14,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Barbarie,4364,15031,527426,livres,,,,0
15,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Levant,12292,49167,527426,livres,,,,0
16,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Angleterre,230,375,527426,livres,,,,0
17,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Hollande,72966,280184,527426,livres,,,,0
18,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Villes Auséatiques,155192,532548,527426,livres,,,,0
19,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Etat de l'empreur,62964,242049,527426,livres,,,,0
20,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Suisse-Geneve,22566,53770,527426,livres,,,,0
21,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Dannemark,24112,82139,527426,livres,,,,0
22,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Suede,45341,175614,527426,livres,,,,0
23,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Prusse,24578,85934,527426,livres,,,,0
24,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Russie,1349,5262,527426,livres,,,,0
25,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amandes,Etats unis d'Amerique,307,625,527426,livres,,,,0
26,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Espagne,3523,17615,17079,livres,,,,0
27,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Sardaigne,402,1816,17079,livres,,,,0
28,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Milanes-Toscana,13,50,17079,livres,,,,0
29,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Angleterre,99,330,17079,livres,,,,0
30,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Hollande,5320,14000,17079,livres,,,,0
31,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Etat de l'empreur,4720,15734,17079,livres,,,,0
32,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Suisse-Geneve,149,595,17079,livres,,,,0
33,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Dannemark,2027,4505,17079,livres,,,,0
34,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Suede,785,3925,17079,livres,,,,0
35,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Amidon,Etats unis d'Amerique,41,204,17079,livres,,,,0
36,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Portugal,100,,1815,,,,,0
37,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Sardaigne,18,,1815,,,,,0
38,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Villes Auséatiques,400,,1815,,,,,0
39,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Etat de l'empreur,1043,,1815,,,,,0
40,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Allemagne-Pologne,130,,1815,,,,,0
41,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Suisse-Geneve,9,,1815,,,,,0
42,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Dannemark,15,,1815,,,,,0
43,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Arbres et arbrisseaux,Etats unis d'Amerique,100,,1815,,,,,0
44,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Ardoises,Villes Auséatiques,1000,159,84638,milliers,,,le total devrait etre,0
45,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Ardoises,Etat de l'empreur,73476,11297.5,84638,milliers,,,,0
46,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,6,Ardoises,Allemagne-Pologne,10179,1696.5,84638,milliers,,,,0
47,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Argent monnoyé,Espagne,200,,152655,,,,,0
