numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
1,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acier,Angleterre,14355,41015,78999,livres,,0
2,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acier,Espagne,15163,43325,78999,livres,,0
3,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acier,Indes,5589,13953,78999,livres,,0
4,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acier,Isles,16242,36696,78999,livres,,0
5,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acier,Levant,27650,79000,78999,livres,,0
6,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Acons démontés,Isles,5600,14,5600,en nombre,,0
7,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Agaric,Italie,2100,1200,2100,livres,,0
8,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Agneaux,Allemagne,2082,326,4314,en nombre,,0
9,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Agneaux,Savoye,2232,1116,4314,en nombre,,0
10,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Agrements,Allemagne,6302,,13892,,". Par ailleurs, les agréments désignent des accessoires féminins tels que rubans, etc.",0
11,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Agrements,Flandre,7590,151.75,13892,livres,,0
12,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Aiguilles,Isles,1000,200,1000,livres,,0
13,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alleaux,Guinée,2616,109,2616,pièces,"Très probablement une erreur du copiste, il s'agit selon toute vraisemblance d'alloës (plante ou bois utilisé comme médicament ou comme parfum).",0
14,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Espagne,1881,9405,43562,livres,,0
15,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Gènes,7705,38525,43562,livres,,0
16,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Italie,4860,24300,43562,livres,,0
17,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Levant,15600,78000,43562,livres,,0
18,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Naples,5012,25060,43562,livres,,0
19,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Nord,2265,11325,43562,livres,,0
20,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Savoye,3120,15600,43562,livres,,0
21,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,3,Alun,Suisse,3119,10397,43562,livres,,0
22,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,4,Amadou,Allemagne,1015,,3715,,,0
23,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,4,Amadou,Espagne,2700,1800,3715,livres,,0
24,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,4,Amandes,Angleterre,3967,15868,331857,livres,,0
25,David Cassagnes,NEHA 122F,National/Objet Général/IIHS - Amsterdam/1773.csv,Objet Général,1773,Exports,4,Amandes,Espagne,4528,22640,331857,livres,,0
