Numéro des lignes,Data entry by,Source,Year,Export-Imports,Sheet,Marchandises,,Pays,,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,Remarks
1,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Allemagne,,210 012,,,,458 965,
2,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Danemark,,34 358,,,,458 965,
3,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Flandre,,1 209,,,,458 965,
4,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Hollande,,10 012,,,,458 965,
5,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Italie ,,1 884,,,,458 965,
6,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Naples,,1 750,,,,458 965,
7,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Genes,,2 940,,,,458 965,
8,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Nord,,17 851,,,,458 965,
9,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Suède,,84 942,,,,458 965,
10,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Acier,,Suisse,,3 907,,,,458 965,
11,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Aigre ; de vitriol,,Flandre,,,,,,3 250,
12,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Aiguilles,,Allemagne,,314 205,,,,342 955,
13,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Aiguilles,,Flandre,,24 410,,,,342 955,
14,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Aiguilles,,Hollande,,4 340,,,,342 955,
15,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Ails,,Espagne,,6 683,,,,8 078,
16,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Ails,,Genes,,1 395,,,,8 078,
17,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Aloës,,Hollande,,,,,,7 111,
18,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Allemagne,,22 298,,,,900 763,
19,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Angleterre,,298 021,,,,900 763,
20,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Danemark,,12 772,,,,900 763,
21,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Espagne,,136 942,,,,900 763,
22,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Flandre,,135 602,,,,900 763,
23,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,3,Alun,,Hollande,,103 301,,,,900 763,
24,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Alun,,Italie ,,37 790,,,,900 763,
25,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Alun,,Genes,,7 896,,,,900 763,
26,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Alun,,Nord,,1 576,,,,900 763,
27,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Alun,,Savoye,,32 587,,,,900 763,
28,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Alun,,Suède,,111 978,,,,900 763,
29,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amadou,,Allemagne,,12 740,,,,15 220,
30,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amadou,,Savoye,,2 480,,,,15 220,
31,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Espagne,,192 414,,,,306 321,
32,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Hollande,,54 213,,,,306 321,
33,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Naples,,16 800,,,,306 321,
34,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Genes,,3 917,,,,306 321,
