Numéro de ligne,Data entry by,Source,Year,Export-Import,Sheet,Marchandises,,,,,Pays,,Quantité,,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,Remarks,
1,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Allemagne,,153 896,,52 506,,,,490 677,,
2,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Danemark,,5 791,,2 777,,,,490 677,,
3,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Flandre,,28 790,,10 076,,,,490 677,,
4,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Hollande,,623 829,,219 501,,,,490 677,,
5,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Italie,,12 500,,4 375,,,,490 677,,
6,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Genes,,18 550,,6 492,,,,490 677,,
7,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Venise,,36 480,,12 768,,,,490 677,,
8,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Nord,,45 782,,16 021,,,,490 677,,
9,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Russie,,13 800,,4 830,,,,490 677,,
10,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Suede,,359 206,,142 711,,,,490 677,,
11,Fatima zahra,IIHS-122G,1774,Imports,3,Acier ,,,,,Suisse,,41 435,,18 620,,,,490 677,,
12,Fatima zahra,IIHS-122G,1774,Imports,3,Agaric,,,,,Hollande,,588,,1 068,,,,,,
13,Fatima zahra,IIHS-122G,1774,Imports,3,Agneaux,,,,,Savoye,,788,,3 754,,,,,,
14,Fatima zahra,IIHS-122G,1774,Imports,3,Aiguilles,,,,,Allemagne,,87 112,,200 417,,,,219 629,,
15,Fatima zahra,IIHS-122G,1774,Imports,3,Aiguilles,,,,,Flandre,,3 848,,19 212,,,,219 629,,
16,Fatima zahra,IIHS-122G,1774,Imports,3,Ails,,,,,Espagne,,2 275,,4 550,,,,6 722,,
17,Fatima zahra,IIHS-122G,1774,Imports,3,Ails,,,,,Genes,,43 450,,2 172,,,,6 722,,
18,Fatima zahra,IIHS-122G,1774,Imports,3,Aloes,,,,,Hollande,,3 036,,3 265,,,,5 085,,
19,Fatima zahra,IIHS-122G,1774,Imports,3,Aloes,,,,,Savoye,,9 100,,1 820,,,,5 085,,
20,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Allemagne,,26 014,,7 229,,,,565 858,,
21,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Angleterre,,1 121 358,,214 646,,,,565 858,,
22,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Espagne,,330 590,,66 118,,,,565 858,,
23,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Flandre,,41 088,,8 216,,,,565 858,,
24,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Hollande,,85 947,,17 001,,,,565 858,,
25,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Italie,,700 946,,140 189,,,,565 858,,
26,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Naples,,200 000,,40 000,,,,565 858,,
27,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Levant,,34 950,,6 990,,,,565 858,,
28,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Nord,,83 345,,16 325,,,,565 858,,
29,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Savoye,,1 500,,2 250,,,,565 858,,
30,Fatima zahra,IIHS-122G,1774,Imports,3,Alun,,,,,Suede,,235 255,,46 894,,,,565 858,,
31,Fatima zahra,IIHS-122G,1774,Imports,3,Amadou,,,,,Allemagne,,,,16 292,,,,20 863,,
32,Fatima zahra,IIHS-122G,1774,Imports,3,Amadou,,,,,Naples,,6 530,,4 571,,,,20 863,,
33,Fatima zahra,IIHS-122G,1774,Imports,4,Amandes,,,,,Espagne,,721 676,,200 473,,,,307 020,,
34,Fatima zahra,IIHS-122G,1774,Imports,4,Amandes,,,,,Hollande,,151 375,,90 407,,,,307 020,,
35,Fatima zahra,IIHS-122G,1774,Imports,4,Amandes,,,,,Naples,,53 150,,10 630,,,,307 020,,
36,Fatima zahra,IIHS-122G,1774,Imports,4,Amandes,,,,,Levant,,17 490,,3 498,,,,307 020,,
37,Fatima zahra,IIHS-122G,1774,Imports,4,Amandes,,,,,Portugal,,6 991,,2 012,,,,307 020,,
38,Fatima zahra,IIHS-122G,1774,Imports,4,Ambre,,,,,Hollande,,60,,5 520,,,,,,
39,Fatima zahra,IIHS-122G,1774,Imports,4,Amidon,,,,,Allemagne,,13 150,,3 945,,,,5 268,,
40,Fatima zahra,IIHS-122G,1774,Imports,4,Amidon,,,,,Hollande,,6 538,,1 323,,,,5 268,,
41,Fatima zahra,IIHS-122G,1774,Imports,4,Anchois,,,,,Espagne,,159 659,,58 058,,,,81 034,,
