Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
Milewski,122E,1771,2,Acier,Allemagne,125 928,41 973,,,743 637,
Milewski,122E,1771,2,Acier,Danemark,465 270,232 635,,,743 637,
Milewski,122E,1771,2,Acier,Flandre,12 332,5 449,,,743 637,
Milewski,122E,1771,2,Acier,Hollande,606 428,251 251,,,743 637,
Milewski,122E,1771,2,Acier,Italie,8 000,2 800,,,743 637,
Milewski,122E,1771,2,Acier,Genes,8 150,2 852,,,743 637,
Milewski,122E,1771,2,Acier,Nord,29 015,14 201,,,743 637,
Milewski,122E,1771,2,Acier,Suede,496 318,182 409,,,743 637,
Milewski,122E,1771,2,Acier,Suisse,33 498,10 067,,,743 637,
Milewski,122E,1771,2,Agaric,Hollande,1 340,3 519,,,,
Milewski,122E,1771,2,Aiguilles,Allemagne,128 784,565 997,,,604 647,
Milewski,122E,1771,2,Aiguilles,Flandre,7 730,38 650,,,604 647,
Milewski,122E,1771,2,Ails,Espagne,37 360,5 634,,,7 519,
Milewski,122E,1771,2,Ails,Genes,37 700,1 885,,,7 519,
Milewski,122E,1771,2,Aloës,Allemagne,406,1 218,,,20 761,
Milewski,122E,1771,2,Aloës,Flandre,1 762,1 762,,,20 761,
Milewski,122E,1771,2,Aloës,Hollande,1 565,6 192,,,20 761,
Milewski,122E,1771,2,Aloës,Nord,2 448,9 992,,,20 761,
Milewski,122E,1771,2,Aloës,Isles,1 597,1 597,,,20 761,
Milewski,122E,1771,2,Alumettes,Hollande,4 936,1 480,,,,
Milewski,122E,1771,2,Alun,Allemagne,61 030,13 905,,,588 155,
Milewski,122E,1771,2,Alun,Angleterre,1 305 281,261 056,,,588 155,
Milewski,122E,1771,2,Alun,Espagne,93 995,19 140,,,588 155,
Milewski,122E,1771,2,Alun,Flandre,255 332,50 130,,,588 155,
Milewski,122E,1771,2,Alun,Hollande,308 082,60 579,,,588 155,
Milewski,122E,1771,2,Alun,Italie,532 400,106 480,,,588 155,
Milewski,122E,1771,2,Alun,Naples,40 000,8 000,,,588 155,
Milewski,122E,1771,2,Alun,Genes,33 154,7 132,,,588 155,
Milewski,122E,1771,2,Alun,Levant,77 656,15 531,,,588 155,
Milewski,122E,1771,2,Alun,Savoye,231 860,46 202,,,588 155,
Milewski,122E,1771,2,Amadou,Allemagne,9 625,6 737,,,9 493,
Milewski,122E,1771,2,Amadou,Naples,2 300,1 610,,,9 493,
Milewski,122E,1771,2,Amadou,Genes,1 638,1 146,,,9 493,
Milewski,122E,1771,4,Amandes,Espagne,370 703,204 815,,,466 312,
Milewski,122E,1771,4,Amandes,Hollande,172 589,127 504,,,466 312,
Milewski,122E,1771,4,Amandes,Italie,5 900,1 180,,,466 312,
Milewski,122E,1771,4,Amandes,Naples,337 610,67 522,,,466 312,
Milewski,122E,1771,4,Amandes,Genes,109 470,21 894,,,466 312,
Milewski,122E,1771,4,Amandes,Levant,198 620,39 724,,,466 312,
Milewski,122E,1771,4,Amandes,Savoye,18 365,3 673,,,466 312,
Milewski,122E,1771,4,Amidon,Allemagne,135 260,40 578,,,381 542,
Milewski,122E,1771,4,Amidon,Hollande,1 168 876,196 392,,,381 542,
Milewski,122E,1771,4,Amidon,Genes,13 000,2 600,,,381 542,
Milewski,122E,1771,4,Amidon,Nord,934 336,141 972,,,381 542,
Milewski,122E,1771,4,Anchois,Espagne,4 919,22 226,,,23 477,
Milewski,122E,1771,4,Anchois,Italie,278,1 251,,,23 477,
Milewski,122E,1771,4,Anis,Espagne,119 570,23 934,,,29 478,
Milewski,122E,1771,4,Anis,Italie,8 200,1 640,,,29 478,
Milewski,122E,1771,4,Anis,Naples,11 530,2 306,,,29 478,
Milewski,122E,1771,4,Anis,Levant,7 990,1 598,,,29 478,
Milewski,122E,1771,4,Antimoine,Nord,4 075,1 018,,,,
Milewski,122E,1771,4,Arbres à planter,Portugal,10 000,20 000,,,,
Milewski,122E,1771,4,Arcenic,Hollande,7 445,1 904,,,2 939,
Milewski,122E,1771,4,Arcenic,Nord,3 450,1 035,,,2 939,
Milewski,122E,1771,4,Ardoises,Allemagne,75 000,1 875,,,5 275,
Milewski,122E,1771,4,Ardoises,Espagne,17,3 400,,,5 275,
Milewski,122E,1771,4,Argent vif,Allemagne,4 250,17 000,,,138 315,
Milewski,122E,1771,4,Argent vif,Venise,24 120,120 600,,,138 315,
Milewski,122E,1771,4,Argent vif,Nord,143,715,,,138 315,
Milewski,122E,1771,6,Argenterie,Allemagne,302,13 600,,,48 336,
Milewski,122E,1771,6,Argenterie,Angleterre,140,7 031,,,48 336,
Milewski,122E,1771,6,Argenterie,Danemark,97,4 395,,,48 336,
Milewski,122E,1771,6,Argenterie,Espagne,356,17 560,,,48 336,
Milewski,122E,1771,6,Argenterie,Savoye,115,5 750,,,48 336,
Milewski,122E,1771,6,Armes ; blanches,Allemagne,24 531,62 339,68 434,,638 259,
Milewski,122E,1771,6,Armes ; blanches,Flandre,615,1 230,68 434,,638 259,
Milewski,122E,1771,6,Armes ; blanches,Hollande,2 936,4 865,68 434,,638 259,
Milewski,122E,1771,6,Armes ; à feu,Allemagne,158 740,476 220,569 825,,638 259,
Milewski,122E,1771,6,Armes ; à feu,Flandre,9 105,9 105,569 825,,638 259,
Milewski,122E,1771,6,Armes ; à feu,Hollande,82 900,82 900,569 825,,638 259,
Milewski,122E,1771,6,Armes ; à feu,Nord,1 600,1 600,569 825,,638 259,
Milewski,122E,1771,6,Arquifou,Angleterre,169 350,25 402,,,82 063,
Milewski,122E,1771,6,Arquifou,Espagne,77 320,11 598,,,82 063,
Milewski,122E,1771,6,Arquifou,Savoye,300 420,45 063,,,82 063,
Milewski,122E,1771,6,Assafetida,Hollande,1 495,3 040,,,7 633,
Milewski,122E,1771,6,Assafetida,Levant,3 062,4 593,,,7 633,
Milewski,122E,1771,6,Avirons,Danemark,1 070,3 600,,,52 842,
Milewski,122E,1771,6,Avirons,Espagne,2 406,29 400,,,52 842,
Milewski,122E,1771,6,Avirons,Naples,3 307,19 842,,,52 842,
Milewski,122E,1771,6,Avoine,Espagne,732,11 716,,,183 220,
