numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccount
1,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Beure de Bretagne,Rennes,Angleterre,400,Livres,0,0,0,,
2,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Barils vides,Rennes,Angleterre,230,Barils,0,0,0,,
3,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Chataigne,Rennes,Angleterre,500,Livres,0,0,0,,
4,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Cuivre ouvré,Rennes,Angleterre,100,Livres,0,0,0,,
5,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Eau de vie,Rennes,Angleterre,2,Tonneaux,0,0,0,,
6,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Grelin ,Rennes,Angleterre,1,Nombres,0,0,0,,
7,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Huitres a la daube,Rennes,Angleterre,100,Barils,0,0,0,,
8,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Miel,Rennes,Angleterre,1900,Livres,0,0,0,,
9,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,1,Janvier 1714,Merceries,Rennes,Angleterre,30,Livres,0,0,0,,
10,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Plumes a lit,Rennes,Angleterre,100,Livres,0,0,0,,
11,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Raisin,Rennes,Angleterre,1350,Livres,0,0,0,,
12,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Sel,Rennes,Angleterre,10,Tonneaux,0,0,0,,
13,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Savon,Rennes,Angleterre,1315,Livres,0,0,0,,
14,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Tabac,Rennes,Angleterre,4920,Livres,0,0,0,,
15,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles de halle,Rennes,Angleterre,4750,Aunes,0,0,0,,
16,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles de pontivi,Rennes,Angleterre,100,Aunes,0,0,0,,
17,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles de leon,Rennes,Angleterre,11000,Aunes,0,0,0,,
18,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles a voile,Rennes,Angleterre,600,Aunes,0,0,0,,
19,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Vin d'Espagne,Rennes,Angleterre,"1,5",Bariques,0,0,0,,
20,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Vin,Rennes,Angleterre,11,Tonneaux,0,0,0,,
21,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Vinaigre,Rennes,Angleterre,1,Tonneaux,0,0,0,,
22,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Voile de vaisseaux,Rennes,Angleterre,4,Nombres,0,0,0,,
23,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Miel,Rennes,Hollande,22500,Livres,0,0,0,,
24,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Cartes a jouer,Rennes,Espagne,100,Grosses,10,1000,0,,
25,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Etamine,Rennes,Espagne,400,Aunes,0,0,0,,
26,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Merceries,Rennes,Espagne,200,Livres,0,0,0,,
27,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Soie a coudre,Rennes,Espagne,748,Livres,0,0,0,,
28,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles bretagne,Rennes,Espagne,125000,Aunes,0,0,0,,
29,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles bretagne,Rennes,Espagne,5765,Pièces,21,121065,0,,
30,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles navales,Rennes,Espagne,5300,Aunes,0,0,0,,
31,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles roscoune,Rennes,Espagne,182500,Aunes,0,0,0,,
32,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles écruës,Rennes,Espagne,800,Aunes,0,0,0,,
33,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles de Rouën,Rennes,Espagne,11320,Aunes,0,0,0,,
34,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles crées large,Rennes,Espagne,176100,Aunes,0,0,0,,
35,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles fougeres,Rennes,Espagne,2400,Aunes,0,0,0,,
36,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles morlaix,Rennes,Espagne,4200,Aunes,0,0,0,,
