numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,probleme,remarks,droitsunitaires
1,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Acier,Etats du Roy de Sardaigne,,1.17,Quintaux,0,Mesure d'origine livre,3
2,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Acier,Etats du Roy de Sardaigne,,.5,Quintaux,0,Mesure d'origine livre,"1,4"
3,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Acier,Etats du Roy de Sardaigne,,.17,Quintaux,0,Mesure d'origine livre,"1,15"
4,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Acier non ouvré,Etats du Roy de Sardaigne,,.13,Quintaux,0,Mesure d'origine livre,"1,4"
5,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Amadoue,Etats du Roy de Sardaigne,,1.4,Quintaux,0,Mesure d'origine livre,"2,5"
6,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Alun,Etats du Roy de Sardaigne,,.2,Quintaux,0,Mesure d'origine livre,"4,583"
7,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Agaric gros,Etats du Roy de Sardaigne,,2.6,Quintaux,0,Mesure d'origine livre,3
8,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Bruyeres etrangeres non montées,Etats du Roy de Sardaigne,,1.5,Quintaux,0,Mesure d'origine livre,1
9,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Bruyeres a faire des verjettes,Etats du Roy de Sardaigne,,.08,Quintaux,0,Mesure d'origine livre,1
10,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Beches de fer,Etats du Roy de Sardaigne,,8,Douzaines,0,,"0,15"
11,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Boutons,Etats du Roy de Sardaigne,,1.75,Quintaux,0,Mesure d'origine livre,"0,75"
12,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",2,Bois travaillés,Etats du Roy de Sardaigne,,13.2,Quintaux,0,Mesure d'origine livre,"0,875"
13,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois travaillés,Etats du Roy de Sardaigne,,.5,Quintaux,0,Mesure d'origine livre,"0,2"
14,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois a batir,Etats du Roy de Sardaigne,211.33,,,-211.33,,0
15,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois a bruler,Etats du Roy de Sardaigne,,51,Charrettée,0,,"0,2"
16,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois a bruler,Etats du Roy de Sardaigne,,1,Charrettée,0,,"0,2"
17,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois de futaye,Etats du Roy de Sardaigne,,19.7,Quintaux,0,Mesure d'origine livre,"0,4"
18,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bois a teinturies,Etats du Roy de Sardaigne,,1.5,Quintaux,0,Mesure d'origine livre,"0,6"
19,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Beurre et fromage,Etats du Roy de Sardaigne,,15.6,Quintaux,0,Mesure d'origine livre,"0,75"
20,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Beurre et fromage,Etats du Roy de Sardaigne,,10.32,Quintaux,0,Mesure d'origine livre,4
21,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Beurre,Etats du Roy de Sardaigne,,.8,Quintaux,0,Mesure d'origine livre,"0,4"
22,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Beurre,Etats du Roy de Sardaigne,,74.55,Quintaux,0,Mesure d'origine livre,"0,4"
23,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Beurre pour geneve par transit,Etats du Roy de Sardaigne,,206.33,Quintaux,0,Mesure d'origine livre,"0,8"
24,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bestiaux,Etats du Roy de Sardaigne,,14,Mulets,0,Droits 5% de la valeur + 2 sous pièce,0
25,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bestiaux,Etats du Roy de Sardaigne,,4,Mulets,0,Droits 5% de la valeur,0
26,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bestiaux,Etats du Roy de Sardaigne,,8,Poulains,0,Droits 5% de la valeur,0
27,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bœufs,Etats du Roy de Sardaigne,,2,Pièces,0,,3
28,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Batterie de fer coulé,Etats du Roy de Sardaigne,,1195,Nombres,0,Droits 2 livres et 3 sous provinces réputées de l'étranger et 1 livre tournois de l'étranger,0
29,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Batterie de fer coulé,Etats du Roy de Sardaigne,,.3,Quintaux,0,Mesure d'origine livre,1
30,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Batterie en plaque,Etats du Roy de Sardaigne,,4.36,Quintaux,0,Mesure d'origine livre,1
31,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bourre,Etats du Roy de Sardaigne,,2,Quintaux,0,Mesure d'origine livre,"0,5"
32,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bourre,Etats du Roy de Sardaigne,,6.8,Quintaux,0,Mesure d'origine livre,"0,5"
33,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Barril à vuider,Etats du Roy de Sardaigne,,10,Barrils,0,16 sous la douzaine,0
34,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Boettes de sapin,Etats du Roy de Sardaigne,,20,Ballots,0,,"0,1"
35,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bouteilles de bois,Etats du Roy de Sardaigne,,11,Douzaines,0,,"0,1"
36,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",3,Bijouterie,Etats du Roy de Sardaigne,592.5,,,-592.5,Droits 5 % de la valeur,0
37,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Chandelles,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"0,5"
38,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cheveux,Etats du Roy de Sardaigne,,20,Livres,0,,"0,25"
39,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cheveux,Etats du Roy de Sardaigne,,10,Livres,0,,"0,25"
40,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Chocolat,Etats du Roy de Sardaigne,,70,Livres,0,,"0,05"
41,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Chocolat et sorbet,Etats du Roy de Sardaigne,,190,Livres,0,,"0,05"
42,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cornes de bœufs,Etats du Roy de Sardaigne,,2.2,Milliers,0,,"0,5"
43,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cornes,Etats du Roy de Sardaigne,,1.2,Milliers,0,,"0,5"
44,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cornes de cerf,Etats du Roy de Sardaigne,,.6,Quintaux,0,Mesure d'origine livre,"0,25"
45,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cornes de betail,Etats du Roy de Sardaigne,,1.61,Quintaux,0,Mesure d'origine livre,"0,1"
46,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre,Etats du Roy de Sardaigne,,.3,Quintaux,0,Mesure d'origine livre,"0,75"
47,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre,Etats du Roy de Sardaigne,,.35,Quintaux,0,Mesure d'origine livre,"1,5"
48,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre,Etats du Roy de Sardaigne,,1.35,Quintaux,0,Mesure d'origine livre,"1,5"
49,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre ouvré,Etats du Roy de Sardaigne,,4.2,Quintaux,0,Mesure d'origine livre,5
