numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
42,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Bois ; divers,Espagne et les Etats en dépendants,17400,,1059600,,,0
43,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Bois ; planches ; de sapin,Espagne et les Etats en dépendants,68200,155500,1059600,Nombres,,0
44,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Bois ; de teinture et Marqueterie,Espagne et les Etats en dépendants,21500,,1059600,,,0
45,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Bois ; feuillard,Espagne et les Etats en dépendants,14000,290900,1059600,Nombres,,0
46,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Bray goudron etc.,Espagne et les Etats en dépendants,284100,5760600,1059600,Livres,,0
47,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Cendre ; potasse,Espagne et les Etats en dépendants,14100,86600,1059600,Livres,,0
48,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Cuivre,Espagne et les Etats en dépendants,32700,29100,1059600,Livres,,0
49,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Etain,Espagne et les Etats en dépendants,43100,36100,1059600,Livres,,0
50,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Fer ; divers,Espagne et les Etats en dépendants,393800,3121000,1059600,Livres,,0
51,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Fer ; ouvré en ancre,Espagne et les Etats en dépendants,69200,,1059600,,,0
52,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Fer ; ouvré en son et vesse,Espagne et les Etats en dépendants,52000,,1059600,,,0
53,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Graines ; diverses,Espagne et les Etats en dépendants,20500,,1059600,,,0
54,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Graisse,Espagne et les Etats en dépendants,15200,20300,1059600,Livres,,0
55,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Pierre ; à fusil,Espagne et les Etats en dépendants,13800,63500,1059600,Livres,,0
56,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Chanvre ; brut,Espagne et les Etats en dépendants,137700,305900,4225100,Livres,Total incorrect fait 4165100,0
57,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Cire ; diverse,Espagne et les Etats en dépendants,13200,16000,4225100,Livres,Total incorrect fait 4165100,0
58,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Cire ; jaune,Espagne et les Etats en dépendants,117800,144900,4225100,Livres,Total incorrect fait 4165100,0
59,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Coton ; filé ; étranger,Espagne et les Etats en dépendants,1942700,161400,4225100,Livres,Total incorrect fait 4165100,0
60,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Coton ; en laine,Espagne et les Etats en dépendants,134300,103600,4225100,Livres,Total incorrect fait 4165100,0
61,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Fil ; de chanvre et lin,Espagne et les Etats en dépendants,71500,29000,4225100,Livres,Total incorrect fait 4165100,0
62,David CASSAGNES,AN_F12_1835,National/Objet Général/AN Paris/F_12_1835_1788/1788.csv,Objet Général,1788,Exports,,,1,Laine ; diverse,Espagne et les Etats en dépendants,14600,7500,4225100,Livres,Total incorrect fait 4165100,0
