numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Alun,Marseille,Angleterre,"13 440,00",livres,"0,2000000","2 688,00","0,00",
2,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Arquifou,Marseille,Angleterre,"24 000,00",livres,"0,1500000","3 600,00","0,00",
3,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Beurre,Marseille,Angleterre,"11 025,00",livres,"0,3500000","3 859,00","0,25",
4,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bled froment,Marseille,Angleterre,"950,00",charges,"30,0000000","28 500,00","0,00",
5,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bois de campech,Marseille,Angleterre,"595 900,00",livres,"0,1500000","89 385,00","0,00",
6,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bois de chene,Marseille,Angleterre,"400,00",pièces,"60,0000000","24 000,00","0,00",
7,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bois de fayard,Marseille,Angleterre,"933,00",pièces,"50,0000000","46 650,00","0,00",
8,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bois merrain,Marseille,Angleterre,"190,00",tonneaux,"5,0000000","950,00","0,00",
9,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Bouteilles de verre,Marseille,Angleterre,"28 000,00",livres,"0,2000000","5 600,00","0,00",
10,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Canons de fer,Marseille,Angleterre,"14,00",en nombre,"200,0000000","2 800,00","0,00",
11,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Charbon de terre,Marseille,Angleterre,"2 555,00",chapeaux,"5,0000000","12 775,00","0,00",
12,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Cire jaune,Marseille,Angleterre,"5 890,00",livres,"1,5000000","8 835,00","0,00",
13,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Cochon salé,Marseille,Angleterre,"60,00",barils,"60,0000000","3 600,00","0,00",
14,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Couperose,Marseille,Angleterre,"243 085,00",livres,"0,0800000","19 446,00","-0,80",
15,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Cuivre vieux,Marseille,Angleterre,"100,00",livres,"0,8500000","85,00","0,00",
16,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Etain en bloc,Marseille,Angleterre,"115 960,00",livres,"0,7500000","86 970,00","0,00",
17,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Gaudron,Marseille,Angleterre,"12 500,00",livres,"0,1500000","1 875,00","0,00",
18,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Grabeau d'indigo,Marseille,Angleterre,"2 845,00",livres,"3,0000000","8 535,00","0,00",
19,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Huille de vitriol,Marseille,Angleterre,"1 064,00",livres,"3,0000000","3 192,00","0,00",
20,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Langues salées,Marseille,Angleterre,"1 500,00",livres,"0,5000000","750,00","0,00",
21,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,1,1768,Imports,Meules a taillandier,Marseille,Angleterre,"348,00",en nombre,"2,0000000","696,00","0,00",
22,Pascal Fontaine,Archives de la CCI de Marseille - I 31,Local/Marseille/Archives_de_la_CCI_de_Marseille-I31/Marseille – Imports – 1765.csv,Local,2,1768,Imports,Millet gros,Marseille,Angleterre,"350,00",charges,"18,0000000","6 300,00","0,00",
