numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Armes sabres de traite,,5865,1380,,,en nombre,,,,,,,0
2,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,27,Armes fusils de traite,,36,6,,,en nombre,,,,,,,0
3,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Armes fusils de traite,,37056,6176,,,en nombre,,,,,,,0
4,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bois en bordage,,2500,1115,,,en nombre,,,,,,,0
5,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bois de sapin en planches,,8467,7056,,,en nombre,,,,,,,0
6,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,27,Bonneteries de fil en bas,,420,"17,5",,,douzaines,,,,,,,0
7,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bonneteries de fil en bas,,864,36,,,douzaines,,,,,,,1
8,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bonneteries de fil en bas,,864,9,,,pièces,,,,,,Doute sur la quantité,2
9,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bonneteries de soye en bas,,1290,129,,,pièces,,,,,,,0
10,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bonneteries de laine en bas,,2744,392,,,douzaines,,,,,,,0
11,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Bray et goudron,,37772,314769,,,livres,,,,,,,0
12,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Cauris,,270225,225188,,,livres,,,,,,,0
13,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Chapeaux à nègres,,5730,2292,,,en nombre,,,,,,,0
14,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,27,Comestibles beurre salé,,1453,2422,,,livres,,,,,,,0
15,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles beurre salé,,5627,9377,,,livres,,,,,,,0
16,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles beurre,,572,"13,25",,,???,,,,,,Doute sur l'unité de mesure,0
17,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles café,,948,948,,,livres,,,,,,,0
18,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,27,Comestibles farine,,6000,40000,,,livres,,,,,,,0
19,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles farine,,2670,17800,,,livres,,,,,,,0
20,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles fromage,,1156,1927,,,livres,,,,,,,0
21,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,Sénégal et Guinée,,27,Comestibles riz,,16592,41481,,,livres,,,,,,,0
22,Cyril Mouton,AN Marine B 7 514 et ANOM Col F 2B 14,,,1787,Exports,St Domingue,,27,Chairs salées bœuf salé,,3405,11350,,,livres,,,,,,,0
