numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,Double compte
1,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,25,Amidon,,60,200,Dunkerque,,livres,,,,,,,0
2,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,25,Beurre salé,,503,670,Flandres,,livres,3228,,,,,,0
3,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,25,Beurre salé,,1608,2145,Flandres,,livres,3228,,,,,,0
4,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,25,Beurre salé,,1117,1490,Flandres,,livres,3228,,,,,,0
5,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,25,Beurre salé,,10050,13400,Irlande,,livres,107760,,,,,,0
6,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,25,Beurre salé,,86250,115000,Irlande,,livres,107760,,,,,,0
7,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Guadeloupe,,25,Beurre salé,,2700,3600,Irlande,,livres,107760,,,,,,0
8,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,25,Beurre salé,,8760,11680,Irlande,,livres,107760,,,,,,0
9,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,25,Bière,,3447,"202,75",Dunkerque,,tonneaux,9610,,,,,,0
10,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,25,Bière,,3732,"219,5",Dunkerque,,tonneaux,9610,,,,,,0
11,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,25,Bière,,2431,143,Dunkerque,,tonneaux,9610,,,,,,0
12,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,Tabago,,25,Bière,,7230,181,Angleterre,,barils,,,,,,,0
13,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,25,Bière,,204,12,Flandres,,tonneaux,,,,,,,0
14,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,25,Bois feuillard,,250,2500,Rouen,,cercles,2000,,,,,,0
15,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,La Martinique,,25,Bois feuillard,,1750,5500,Rouen,,cercles,2000,,,,,,0
16,Cyril Mouton,ANOM Col F 2B 13,,,1788,Exports,St Domingue,,25,Bois feuillard,,1187,11875,Dunkerque,,en nombre,2143,,,,,,0
