numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Marseille,Amidon,Marseille,957,Livres,"0,3",287,"-0,1",,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Beurre,Marseille,1892,Livres,"0,75",1419,0,,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Bourgogne,Beurre,Marseille,2777,Livres,"0,75",2083,"0,25",,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bestiaux agneaux,Marseille,1220,Nombre,3,3660,0,,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Auvergne,Bestiaux bœufs,Marseille,3499,Nombre,220,769780,0,,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bestiaux boucs,Marseille,67,Nombre,15,1005,0,,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Auvergne,Bestiaux chevres,Marseille,25,Nombre,15,375,0,,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bestiaux chevres,Marseille,325,Nombre,15,4878,3,,arrondi
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bestiaux cochons,Marseille,27,Nombre,100,2700,0,,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Auvergne,Bestiaux moutons,Marseille,68634,Nombre,12,823608,0,,
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Auvergne,Bestiaux vaches,Marseille,394,Nombre,150,59100,0,,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bois d'ozier,Marseille,3650,Livres,"0,045",164,"-0,25",,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bonnetterie de soye,Marseille,"7,5",Livres,50,375,0,,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Montpellier.csv,National par direction,Exports,2,1789,Montpellier,beaucaire,Languedoc,Bourre,Marseille,1685,Livres,"0,075",126,"-0,38",,
