numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Amandes,Marseille,1800,Livres,"0,4",720,0,,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Amandes,Gènes,369,Livres,"0,4",148,"0,4",,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Artillerie boulets et bombes,Gènes,30000,Livres,"0,1",3000,0,,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Beurre,Corse,250,Livres,"0,65",162,"-0,5",,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Bois divers,Marseille,1,Valeur,548,548,0,,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Bois à bruler,Marseille,5119600,Livres,"0,0075",38397,0,,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Bray et poix,Gènes,5000,Livres,"0,075",375,0,,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Chair jambon,Corse,1200,Livres,"0,6",720,0,,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cendres d'orphevres,Marseille,1800,Livres,"0,15",270,0,,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Chapeaux communs,Marseille,60,Pièces,"3,25",160,-35,,5 douzaines à 3£ 5 sous la pièce; erreur de calcul
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Chapeaux communs,Marseille,480,Pièces,3,1440,0,,40 douzaines à 3£ la pièce
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Charbon de pierre,Etats du roi de sardaigne,8000,Livres,"0,015",120,0,,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Chaux,Marseille,435000,Livres,"0,0075",3398,"135,5",,erreur de calcul
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire en bougie,Marseille,3970,Livres,"2,4",9528,0,,
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire en bougie,Corse,65,Livres,"2,4",156,0,,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire jaune,Corse,2000,Livres,"1,8",3600,0,,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire jaune,Marseille,259,Livres,"1,8",466,"-0,2",,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire en crasse,Marseille,2640,Livres,"0,4",1056,0,,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cire en grains,Marseille,1494,Livres,2,2988,0,,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cordages,Marseille,2600,Livres,"0,46",1196,0,,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuirs de bœufs tannés,Marseille,6,Nombre,17,102,0,,
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuirs de bœufs tannés,Le Levant,46,Nombre,17,782,0,,
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuirs de vaches tannés,Corse,640,Nombre,"1,2",768,0,,
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuirs de vaches tannés,Le Levant,1280,Nombre,"1,2",1536,0,,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuirs de vaches tannés,Marseille,11,Nombre,12,132,0,,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Cuivre en pain,Marseille,165900,Livres,1,165900,0,,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Drogues médicinales tartre,Marseille,55094,Livres,"0,15",8264,"-0,1",,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Marseille,"1144,91",Muids,144,164867,"-0,5",,1144 muids et 263 pintes à 144£ le muid
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Etats du roi de sardaigne,"106,44",Muids,144,15327,"-0,5",,106 muids et 127 pintes à 144£ le muid
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Gènes,"16,76",Muids,144,2413,0,,16 muids et 218 pintes à 144£ le muid
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Milanès,"70,54",Muids,144,10157,"-0,5",,70 muids et 155 pintes à 144£ la muid
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Le Levant,"18,97",Muids,144,2875,144,,18 muids et 278 pintes à 144£ le muid; erreur de calcul
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Angleterre,"736,63",Muids,144,106075,0,,736 muids et 182 pintes à 144£ le muid
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Toulon.csv,National par direction,Exports,3,1789,Toulon,Toulon,Provence,Eau de vie simple,Hollande,"34,72",Muids,144,5000,0,,34 muids et 208 pintes à 144£ le muid
