numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,problème,remarks,unit_price
1,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers;,Etats du roi de Sardaigne,1935,,Valeur,,,0
2,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Bœufs,Etats du roi de Sardaigne,6200,62,Nombre,0,,100
3,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Chevaux,Etats du roi de Sardaigne,31800,106,Nombre,31800,,0
4,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Moutons et brebis,Etats du roi de Sardaigne,17360,2170,Nombre,0,,8
5,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Mules et mulets,Etats du roi de Sardaigne,2100,14,Nombre,0,,150
6,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Porcs,Etats du roi de Sardaigne,10260,285,Nombre,0,,36
7,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Poulains,Etats du roi de Sardaigne,1650,11,Nombre,0,,150
8,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Vaches,Etats du roi de Sardaigne,25650,513,Nombre,0,,50
9,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Veaux,Etats du roi de Sardaigne,1080,72,Nombre,0,,15
10,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bestiaux divers; Taureaux,Etats du roi de Sardaigne,1140,19,Nombre,0,,60
11,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Beurre fondu,Etats du roi de Sardaigne,786,1310,Livre,0,,"0,6"
12,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Beurre fondu,Suisse,100,167,Livre,"-0,2",,"0,6"
13,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bijouterie fine;,Suisse,1500,,Valeur,,,0
14,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bijouterie fine; Fausse en pierres fait métal,Etats du roi de Sardaigne,700,,Valeur,,,0
15,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bijouterie fine; Fausse en pierres fait métal,Suisse,228,,Valeur,,,0
16,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bois divers;,Etats du roi de Sardaigne,105,,Valeur,,,0
17,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bois divers; De Bruyere,Etats du roi de Sardaigne,4814,"87,53",Quintal,"-0,15",Unité d'origine livre,55
18,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bois divers; De sapin divers,Etats du roi de Sardaigne,1419,,Valeur,,,0
19,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,"Bois divers, Planches",Etats du roi de Sardaigne,1004,,Valeur,,,0
20,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bonnetterie Diverse;,Etats du roi de Sardaigne,470,,Valeur,,,0
21,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bonnetterie Diverse; De coton,Etats du roi de Sardaigne,216,6,Douzaine,198,Conversion 6 douzaines 13,3
22,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bonnetterie; De fil,Etats du roi de Sardaigne,101712,4238,Douzaine,93236,Conversion 4 238 douzaines 22 134,2
23,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Bonnetterie; De soye,Etats du roi de Sardaigne,120,14,Nombre,120,,0
24,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chanvre ouvré;,Etats du roi de Sardaigne,837,1400,Livre,837,,0
25,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chanvre ouvré; En masse,Etats du roi de Sardaigne,4800,12000,Livre,4800,,0
26,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chanvre ouvré; En rames,Etats du roi de Sardaigne,5840,16300,Livre,5840,,0
27,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chairs salées diverses,Etats du roi de Sardaigne,466,,Valeur,,,0
28,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chairs salées diverses,Suisse,267,,Valeur,,,0
29,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chaux pour batir,Etats du roi de Sardaigne,501,50100,Livre,501,,0
30,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chapeaux de paille,Etats du roi de Sardaigne,540,30,Douzaine,0,Conversion 30 douzaines 110,18
31,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chapeaux de bois,Etats du roi de Sardaigne,10818,601,Douzaine,0,Conversion 601 douzaines 1442,18
