dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Acier,Marseille,"100,00","3,32",Quintal,Unité d'origine Livre,"0,40","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Acier,Marseille,"701,00","23,37",Quintal,Unité d'origine Livre,"-0,10","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Amidon,Marseille,"106,00","3,55",Quintal,Unité d'origine Livre,"-0,50","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Amidon,Marseille,"940,00","31,31",Quintal,Unité d'origine Livre,"0,70","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Ardoises,Sardaigne,"102,00","68,00",Nombre,,"51,00","0,7500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Ardoises pour fenêtre,Gênes,"435,00","580,00",Nombre,,"0,00","0,7500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Ardoises pour fenêtre,Sardaigne,"105,00","137,00",Nombre,,"2,25","0,7500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Balais,Marseille,"161,00","642,00",Nombre,,"0,50","0,2500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Agneaux,Etats du roi de Sardaigne,"8 364,00","1 394,00",Nombre,,"0,00","6,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Agneaux,Etats du roi de Sardaigne,"865,00","173,00",Nombre,,"0,00","5,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Brebis,Etats du roi de Sardaigne,"47 496,00","3 958,00",Nombre,,"0,00","12,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Brebis,Etats du roi de Sardaigne,"13 959,00","1 551,00",Nombre,,"0,00","9,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Bœufs,Etats du roi de Sardaigne,"12 000,00","120,00",Nombre,,"0,00","100,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bestiaux; Bœufs,Sardaigne,"1 430,00","13,00",Nombre,,"0,00","110,0000000"
