numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problème,unit_price
1,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Acier brut,Marseille,250,"6,25",Quintal,Unité d'origine Livre,0,40
2,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Amandes,Marseille,676,"11,28",Quintal,Unité d'origine Livre,"-0,8",60
3,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Amidon,Marseille,2557,"63,94",Quintal,Unité d'origine Livre,"-0,6",40
4,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Balais de palme,Espagne,1551,2084,Douzaine,,-12,"0,75"
5,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Bois de santal ?,Marseille,222,"7,43",Quintal,Unité d'origine Livre,"-0,9",30
6,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Bray,Marseille,806,"80,61",Quintal,Unité d'origine Livre,"-0,1",10
7,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Chanvre; Cru,Marseille,378,"10,5",Quintal,Unité d'origine Livre,0,36
8,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Chanvre; Peigné,Marseille,7919,"131,99",Quintal,Unité d'origine Livre,"-0,4",60
9,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Cordes de jonc,Marseille,4130,"275,34",Quintal,Unité d'origine Livre,"-0,1",15
10,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Coton; Filé,Marseille,284,142,Livre,,0,2
11,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Coton; En laine,Marseille,11988,9990,Livre,,0,"1,2"
12,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Cuire de bœuf,Marseille,13790,197,Quintal,Unité d'origine Livre,0,70
13,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Cuivre brut,Marseille,667,"6,67",Quintal,Unité d'origine Livre,0,100
14,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Drogues; Mêlées,Marseille,405,405,Livre,,0,1
15,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Drogues; Médicinales manne,Marseille,300,150,Livre,,0,2
16,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Drogues; Pour peinture et teinture,Marseille,903,,Valeur,,903,0
17,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Eau de fleur d'orange,Gênes,1331,"17,75",Quintal,Unité d'origine Livre,"-0,25",75
18,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Epicerie poivre,Marseille,2016,"15,72",Quintal,Unité d'origine Livre,"-27,6",130
