numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,unit_price,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée (avec prix),probleme,Remarques
1,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Acier,Suede,"13 290,00",Livres,"0,28",,,"0,2800000","3 721,00",,,"3 721,00","3 721,20","-0,20",28 livres le quintal
2,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Amandes en coques,Marseille,"1 480,00",Livres,"0,50",,,"0,5000000","740,00",,,"740,00","740,00","0,00",50 livres le quintal
3,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Amandes en coques,Espagne,"2 614,00",Livres,"0,50",,,"0,5000000","1 307,00",,,"1 307,00","1 307,00","0,00",51 livres le quintal
4,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches,Dunkerque,"320,00",Pièces,,"30,00",,"1,5000000","480,00",,,"480,00","480,00","0,00",
5,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches,Prusse,"2 197,00",Nombre,,"30,00",,"1,5000000","3 295,00",,,"3 295,00","3 295,50","-0,50",
6,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Bois de sapin en planches, Suède,"10 608,00",Nombre,,"30,00",,"1,5000000","15 912,00",,,"15 912,00","15 912,00","0,00",884  douzaines
7,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Bois en aviron,Ports et pays de France,"42,00",Nombre,"4,00",,,"4,0000000","120,00",,,"120,00","168,00","-48,00",erreur de calcul?
8,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Bois en poutre et solivaux de sapin,Prusse,,,,,,,"2 056,00",,,"2 056,00",,,pas de prix
9,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Charbon de terre,Angleterre,"510 000,00",Livres,,,,,"12 750,00",,,"12 750,00",,,pas de prix
10,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Coton filé,Marseille,"245,00",Livres,"6,00",,,"6,0000000","1 473,00",,,"1 473,00","1 470,00","3,00",
11,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Coton en laine,Marseille,"466,00",Livres,"2,00","10,00",,"2,5000000","1 165,00",,,"1 165,00","1 165,00","0,00",
12,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Eau de vie,Petites isles,"3 424,00",Velte,"6,00",,,"6,0000000","20 544,00",,,"20 544,00","20 544,00","0,00",
13,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Eau de vie d'andaye,Bayonne,"135,00",Pinte,"2,00",,,"2,0000000","270,00",,,"270,00","270,00","0,00",
14,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Fayence,Angleterre,,Livres,"2,00",,,"2,0000000","78,00",,,"78,00","0,00","78,00",
15,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Fer en barre,Suède,"291 848,00",Livres,"0,20",,,"0,2000000","58 370,00",,,"58 370,00","58 369,60","0,40",20 livres le quintal
