numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes de somme mules et mulets,Espagne,"259,00",Nombre,"120,0000000","31 080,00","0,00",,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes agneaux,Espagne,"1 067,00",Nombre,"2,5000000","2 667,00","-0,50",,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes bœufs,Espagne,"721,00",Nombre,"140,0000000","100 940,00","0,00",,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes cochons,Espagne,"289,00",Nombre,"30,0000000","8 670,00","0,00",,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes moutons,Espagne,"1 069,00",Nombre,"7,5000000","8 017,00","-0,50",,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes vaches,Espagne,"100,00",Nombre,"45,0000000","4 500,00","0,00",,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bestiaux et betes veaux,Espagne,"13,00",Nombre,"15,0000000","193,00","-2,00",,Erreur de calcul
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Bourre,Espagne,"13 995,00",Livres,"0,1500000","2 099,00","-0,25",,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Chairs salées lard,Espagne,"108 901,00",Livres,"0,3000000","32 670,00","-0,30",,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lyon,Chapeaux poil et laine,Espagne,"2 368,00",Nombre,"10,0000000","23 680,00","0,00",,
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Coques de mouche à miel,Espagne,"7 632,00",Livres,"0,1000000","763,00","-0,20",,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Couvertures de laine,Espagne,"274,00",Nombre,"8,5000000","2 329,00","0,00",,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Cuirs de bœuf tannés,Espagne,"4 931,00",Nombre,"15,0000000","73 965,00","0,00",,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Cuivre ouvré,Espagne,"110,00",Livres,"1,7000000","165,00","-22,00",,Erreur de calcul
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Drap,Espagne,"101,00",Aunes,"10,0000000","1 010,00","0,00",180,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Elbeuf,Drap,Espagne,"410,00",Aunes,"16,0000000","6 560,00","0,00",460,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Draperie petite,Espagne,"335,00",Aunes,"4,0000000","1 340,00","0,00",358,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Etoffes de laine ,Espagne,"1 709,00",Aunes,"1,5000000","2 563,00","-0,50",1646,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes de laine ,Espagne,"2 009,00",Livres,"3,0000000","6 027,00","0,00",,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes burat,Espagne,"1 855,00",Aunes,"1,4000000","2 595,00","-2,00",1201,Erreur de calcul
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Lanquedoc,Etoffes cadis,Espagne,"1 488,00",Aunes,"1,4000000","2 083,00","-0,20",1000,
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Bayonne.csv,National par direction,Exports,3,1789,Bayonne,Saint Jean pied de port,Bearn,Etoffes cordeillot,Espagne,"1 050,00",Aunes,"3,0000000","3 150,00","0,00",1035,
