numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price
1,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Amandes,Marseille,"49 466,00","761,02",Quintal,Unité d'origine Livre,"-0,30","65,0000000"
2,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Amidon,Marseille,"2 910,00","72,76",Quintal,Unité d'origine Livre,"-0,40","40,0000000"
3,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Balais de palme,Espagne,"4 044,00","3 370,00",Douzaine,,"0,00","1,2000000"
4,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bois; Pour peinture et teinture,Marseille,"256,00","17,07",Quintal,Unité d'origine Livre,"-0,05","15,0000000"
5,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bois; Pour peinture et teinture,Sardaigne,"1 765,00","117,68",Quintal,Unité d'origine Livre,"-0,20","15,0000000"
6,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bois; De Ste Marthe,Marseille,"4 750,00","95,00",Quintal,Unité d'origine Livre,"0,00","50,0000000"
7,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bonnetterie diverse,Marseille,"132,00",,Valeur,,"132,00","0,0000000"
8,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bray?; Bray,Marseille,"4 643,00","316,19",Quintal,Unité d'origine Livre,"-99,85","15,0000000"
9,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Bray?; Goudron,Marseille,"576,00","38,40",Quintal,Unité d'origine Livre,"0,00","15,0000000"
10,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cacao,Marseille,"5 547,00","44,38",Quintal,Unité d'origine Livre,"-0,50","125,0000000"
