numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
1,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Acier en barres,La Suisse et alliés et Genève,665,Livres,"0,35",232,"-0,75",35 livres le quintal
2,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux bœufs,Etats du roi de Sardaigne,580,Nombre,150,87000,0,
3,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux chevres,Etats du roi de Sardaigne,328,Nombre,9,2952,0,
4,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux génisses,Etats du roi de Sardaigne,8,Nombre,,257,,Pas de prix unitaire
5,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux moutons,Etats du roi de Sardaigne,11,Nombre,10,110,0,
6,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux porcs,Etats du roi de Sardaigne,39,Nombre,,731,,Pas de prix unitaire
7,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux taureaux,Pays de Gex,5,Nombre,60,300,0,
8,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux taureaux,Etats du roi de Sardaigne,15,Nombre,60,900,0,
9,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux vaches,Pays de Gex,5,Nombre,60,300,0,
10,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux vaches,Etats du roi de Sardaigne,33,Nombre,60,1980,0,
11,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bestiaux vaches,La Suisse et alliés et Genève,4,Nombre,60,240,0,
12,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bojouterie,La Suisse et alliés et Genève,,,,720,,
13,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Beurre,La Suisse et alliés et Genève,270,Livres,,162,,Pas de prix unitaire
14,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bois de construction en planches de sapin,La Suisse et alliés et Genève,275,Nombre,,310,,Pas de prix unitaire
15,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bonneterie ; bonnets de coton,La Suisse et alliés et Genève,10,Douzaines,18,189,9,Erreur de calcul
16,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bonneterie ; bas de fil,La Suisse et alliés et Genève,29,Douzaines,42,1218,0,
17,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bonneterie ; bonnets de fil,La Suisse et alliés et Genève,393,Douzaines,15,5895,0,
18,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bonneterie ; bas de soie,La Suisse et alliés et Genève,5,Douzaines,120,600,0,
19,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Bourre rouge,La Suisse et alliés et Genève,3900,Livres,"0,15",585,0,15 livres le quintal
20,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Chair salée ; viande fumée,La Suisse et alliés et Genève,1604,Livres,"0,8",1280,"-3,2",
21,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Chapeaux de paille,Naples Sicile et Parme,"28,5",Douzaines,51,1453,"-0,5",
22,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Chapeaux de paille,La Suisse et alliés et Genève,"35,5",Douzaines,51,1810,"-0,5",
23,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Cidre,Etats du roi de Sardaigne,"2,75",Douzaines,,260,,Pas de prix unitaire
24,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Colle forte,La Suisse et alliés et Genève,2260,Livres,"0,9",2034,0,
25,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Cornes de moutons,Etats du roi de Sardaigne,4500,Livres,,135,,Pas de prix unitaire
26,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Cornes de moutons,La Suisse et alliés et Genève,11550,Livres,,346,,Pas de prix unitaire
27,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Coton filé,La Suisse et alliés et Genève,"24461,5",Livres,4,97846,0,
28,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Dentelle de fil,La Suisse et alliés et Genève,780,Livres,,"912,14",,Les onces?
29,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Dominoterie en images,La Suisse et alliés et Genève,70,Livres,,465,,Pas de prix unitaire
30,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues médicinales ; bierre vétérinaire,La Suisse et alliés et Genève,,,,856,,
31,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues médicinales ; thériaque,La Suisse et alliés et Genève,9,Livres,12,108,0,
