numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux divers,Espagne,"1,00",Valeur,"416,0000000","416,00","0,00",,En valeur
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux bœufs,Espagne,"29,00",Nombre,"120,0000000","3 480,00","0,00",,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux brebis,Espagne,"252,00",Nombre,"6,0000000","1 512,00","0,00",,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux chevres,Espagne,"466,00",Nombre,"12,0000000","5 192,00","-400,00",,Erreur de calcul
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux cochons,Espagne,"74,00",Nombre,"50,0000000","3 700,00","0,00",,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bestiaux moutons,Espagne,"1 270,00",Nombre,"12,0000000","15 240,00","0,00",,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Bois en cercles,Espagne,"1,00",Valeur,"1 256,0000000","1 256,00","0,00",,En valeur
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Cire en grain,Espagne,"52,00",Livres,"2,0000000","104,00","0,00",,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Colle commune,Espagne,"525,00",Livres,"0,3600000","189,00","0,00",,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Draperie,Espagne,"2 071,00",Aunes,"18,0000000","36 918,00","-360,00",4142,Erreur de calcul
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Draperie petite,Espagne,"243,00",Aunes,"6,0000000","1 458,00","0,00",243,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Etoffe de laine,Espagne,"70,00",Aunes,"3,0000000","210,00","0,00",10,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Fers,Espagne,"256 143,00",Livres,"0,1500000","38 421,00","-0,45",,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,,Marchandises à la valeur,Espagne,"1,00",Valeur,"228,0000000","228,00","0,00",,En valeur
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Mercerie,Espagne,"400,00",Livres,,"1 100,00",,,Pas de prix unitaire
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Quincaillerie de fer clouds,Espagne,"34 330,00",Livres,"0,3500000","12 015,00","-0,50",,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Toiles diverse de coton,Espagne,"24,00",Cannes,"6,0000000","144,00","0,00",12,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Toiles de mousseline,Espagne,"152,00",Cannes,"12,0000000","1 824,00","0,00",38,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Toiles de lin,Espagne,"853,00",Cannes,"4,0000000","3 412,00","0,00",696,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Languedoc,Toile peinte indienne,Espagne,"28,00",Cannes,"8,0000000","224,00","0,00",28,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,3,1789,Narbonne,Arles en Roussillon,Roussillon,Vin,Espagne,,,,"2 140,00",,,89+(2/3) muids et 39 pintes ; pas de prix unitaire
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bestiaux,Espagne,"2,00",Nombre,"120,0000000","240,00","0,00",,
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bestiaux brebis,Espagne,"30,00",Nombre,"6,0000000","180,00","0,00",,
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bestiaux cochons,Espagne,"70,00",Nombre,"10,0000000","700,00","0,00",,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bestiaux moutons,Espagne,"7,00",Nombre,"28,0000000","196,00","0,00",,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bonnetterie de laine,Marseille,"2 750,00",Douzaines,"9,0000000","24 750,00","0,00",5927,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Bonnetterie de laine,Espagne,"3 219,00",Douzaines,"9,0000000","28 971,00","0,00",7289,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Fer,Espagne,"1 316,00",Livres,"0,1500000","197,00","-0,40",,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Languedoc,Mousse de bois,Espagne,"1 000,00",Livres,"0,3000000","300,00","0,00",,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Ouvrage d'horlogerie,Espagne,"1,00",Valeur,"4 000,0000000","4 000,00","0,00",,En valeur
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,5,1789,Narbonne,Prades,Roussillon,Vin,Espagne,,,,"12 024,00",,,278 muids et 66 pintes ; pas de prix unitaire
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Bonnetterie de laine,Marseille,"26,00",Douzaines,"18,0000000","468,00","0,00",,
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Cendres soudes,Marseille,"100 800,00",Livres,"0,1500000","15 120,00","0,00",,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Cendres soudes,Marseille,"106 000,00",Livres,"0,1600000","16 960,00","0,00",,
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Cire blanche,Marseille,"280,00",Livres,"1,8000000","506,00","2,00",,
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Cire blanche,Espagne,"280,00",Livres,"1,8000000","506,00","2,00",,
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Drogues chimiques sel d'epsum,Marseille,"1 872,00",Livres,"1,0000000","1 872,00","0,00",,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Engrain colombine,Marseille,"77 800,00",Livres,"0,0100000","778,00","0,00",,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Mercerie,Marseille,"3 245,00",Livres,"2,0000000","6 490,00","0,00",,
