numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
1,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Acier commun,Lorraine,"17 370,00",Livres,"0,4000000","6 948,00","0,00",
2,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Balais,Lorraine,"1,00",Valeur,"275,0000000","275,00","0,00",
3,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bestiaux en bœufs,Lorraine,"24,00",Nombre,"200,0000000","4 830,00","30,00",
4,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bestiaux en moutons,Lorraine,"36,00",Nombre,"6,0000000","216,00","0,00",
5,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bestiaux en vache,Lorraine,"10,00",Nombre,"100,0000000","1 000,00","0,00",
6,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bestiaux en veaux,Lorraine,"11,00",Nombre,"20,0000000","210,00","-10,00",
7,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bois de sapin en planches,Lorraine,"5 162,00",Nombre,"0,6000000","3 097,00","-0,20",
8,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bois de chene en planches,Lorraine,"529,00",Nombre,"0,6000000","316,00","-1,40",
9,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Bonneterie en bas de fil,Lorraine,"48,00",Paires,"2,5000000","120,00","0,00",
10,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Cartes à jouer,Lorraine,"1 084,00",?,"3,0000000","3 252,00","0,00",
11,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Cendres gravelées,Lorraine,"156 294,00",Livres,"0,3000000","46 887,00","-1,20",30 livres le quintal
12,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Chaux,Lorraine,"5 711,00",Livres,"0,0225000","128,00","-0,50",
