numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks,
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois mérein,Angleterre,32000,Douelles,,4160,,,Pas de prix unitaire,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois rouge pour teinture,Hollande,197000,Livres,,29190,,,Pas de prix unitaire,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Bois rouge pour teinture,Etat de l'empereur,7500,Livres,,900,,,Pas de prix unitaire,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Cordage vieux,Angleterre,90000,Livres,,13500,,,Pas de prix unitaire,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Drogues pour peinture ochre,Angleterre,60,Bariques,,1080,,,Pas de prix unitaire,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie,Danemarck,80096,Pintes,,50756,,,278 muids et 32 pintes ; pas de prix unitaire,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie,Etats Unis d'Amérique,2080,Pintes,,1300,,,7 muids et 64 pintes ; pas de prix unitaire,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Eau de vie de Genièvre,Danemarck,,,,390,,,En valeur,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Esprit de vin,Danemarck,,,,546,,,En valeur,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Epicerie poivre,Etat de l'empereur,3000,Livres,,5250,,,Pas de prix unitaire,
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Marchandises de l'Inde,Etat de l'empereur,220,Balles,,500000,,,Pas de prix unitaire,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Miel,Hollande,186416,Livres,,37283,,,Pas de prix unitaire,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Miel,Etat de l'empereur,107992,Livres,,20134,,,Pas de prix unitaire,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Mouchoirs de soie,Hollande,1172,Pièces,,42861,,,Pas de prix unitaire,
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Papier peint,Etat de l'empereur,1,Rame,,100,,,Pas de prix unitaire,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Parfumerie poudre à poudrer,Etats Unis d'Amérique,500,Livres,,225,,,Pas de prix unitaire,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Poisson de mer harengs,Danemarck,90000,Livres,,24600,,,Pas de prix unitaire,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Porcelaine,Etat de l'empereur,200,Livres,,400,,,Pas de prix unitaire,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Danemarck,105600,Livres,,146778,,,Pas de prix unitaire,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Suède,1056000,Livres,,8000,,,Pas de prix unitaire,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Sel,Etats Unis d'Amérique,3020160,Livres,,22664,,,Pas de prix unitaire,
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Tabac en feuilles,Danemarck,438025,Livres,,146778,,,Pas de prix unitaire,
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Tapis de chitte,Etat de l'empereur,390,Pièces,,14040,,,Pas de prix unitaire,
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Etat de l'empereur,480,Pintes,,300,,,1 muid et 192 pintes ; pas de prix unitaire,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Danemarck,192,Pintes,,192,,,Pas de prix unitaire,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,3,1789,Lorient,Port Franc de Lorient,,Vin de Madere,Etats Unis d'Amérique,480,Pintes,,720,,,1 muid et 192 pintes ; pas de prix unitaire,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Beurre,Petites isles,9500,Livres,"0,4",3800,#REF!,,,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Bois à bruler,Petites isles,12,Cordes,18,216,#REF!,,,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Cuirs de Génisses,Espagne,2255,Nombre,"1,5",19895,#REF!,,Erreur de calcul,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Aunis,Eau de vie simple,Angleterre,2099,Veltes,4,8396,#REF!,,,
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bordeaux,Eau de vie simple,Angleterre,544,Veltes,4,2176,#REF!,,,
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Provence,Eau de vie simple,Angleterre,44810,Veltes,4,179240,#REF!,,,
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Aunis,Eau de vie double,Angleterre,176,Veltes,8,1408,#REF!,,,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bordeaux,Eau de vie double,Angleterre,304,Veltes,8,2432,#REF!,,,
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Etranger,Eau de vie simple,Angleterre,4244,Veltes,4,16976,#REF!,,,
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Etranger,Eau de vie de Genièvre,Angleterre,"18890,5",Veltes,"4,5",75562,#REF!,,524 muids et 212 pintes à 4£ et 10 sous la velte,
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Etoupes noires,Bayonne,2000,Livres,"0,06",120,#REF!,,,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Fil de lin blanc,Espagne,631,Livres,4,2524,#REF!,,,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Futailles vides,Petites isles,1587,Nombre,,7838,,,Pas de prix unitaire,
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Graisse,Espagne,2171,Livres,"0,4","7882,4",#REF!,,Erreur de calcul,
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Peaux de veaux apprêtées,Espagne,23185,Livres,2,46370,#REF!,,,
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Sel blanc,Angleterre,28769,Livres,"0,015",432,#REF!,,,
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Sel gris,Angleterre,70900,Livres,"0,015",1063,#REF!,,,
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Inde,Thé Boui,Angleterre,1600,Livres,2,3200,#REF!,,,
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Toille de chanvre à voile,Espagne,33018,Aunes,1,33018,#REF!,,,
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Rouen,Toille de lin,Espagne,5870,Aunes,"1,5",8805,#REF!,,,
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Toille de lin à carreau,Espagne,77510,Aunes,"1,1",85261,#REF!,,,
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,Bretagne,Toille de lin blanche,Espagne,3850,Aunes,"1,25",4812,#REF!,,,
49,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Port Franc de Lorient,,Verrerie,Angleterre,,,,150,,,Pas d'unité de mesure ni de prix unitaire,
50,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,5,1789,Lorient,Brest,Bordeaux,Vin,Angleterre,23,Veltes,8,184,#REF!,,,
51,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Ardoises,Lorient,400000,Nombre,"0,02",8000,#REF!,,,
52,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Beurre,Petites isles,6151,Livres,"0,6",3690,#REF!,,,
53,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Beurre,Lorient,150,Livres,"0,6",90,#REF!,,,
54,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois à bruler,Petites isles,90,Cordes,15,1350,#REF!,,,
55,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois de merrain ,Lorient,21444,Nombre,"0,09",1930,#REF!,,,
56,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Bois de construction,Lorient,,,,9485,,,Pas d'unité de mesure ni de prix unitaire,
57,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Bois en gournables,Lorient,5200,Pieds,1,5200,#REF!,,,
58,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Goudron,Lorient,3200,Livres,"0,1",320,#REF!,,,
59,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cidre,Petites isles,2400,Pintes,"0,15",360,#REF!,,,
60,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cidre,Lorient,45360,Pintes,"0,15",6804,#REF!,,,
61,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Cables,Lorient,2000,Livres,"0,25",500,#REF!,,,
62,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Couvertures de laine,Lorient,400,Livres,2,800,#REF!,,,
63,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Etoffes de soye,Lorient,42,Aunes,6,252,#REF!,,,
64,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer de fonte,Lorient,9600,Livres,"0,1",960,#REF!,,,
65,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en verges,Lorient,7000,Livres,"0,15",1050,#REF!,,,
66,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en ancre,Lorient,2000,Livres,"0,3",600,#REF!,,,
67,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Fer en clous,Lorient,734,Livres,"0,4",294,#REF!,,,
68,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Légumes divers,Petites isles,210,Bouteilles,2,420,#REF!,,,
