numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,sheet,marchandises,pays,quantit,quantity_unit,value,remarks
1,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Argenterie,La Hollande,"24,00",Mard,"1 200,00",Pas de prix unitaire
2,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Batterie de cuisine,"La Suisse, les alliés et Genève","400,00",Livres,"200,00",Pas de prix unitaire
3,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Bette de somme en chevaux,Etats du roi de Sardaigne,"2,00",Nombre ,"1 600,00",Pas de prix unitaire
4,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Bette de somme en chevaux,L'Angleterre,"48,00",Nombre ,"38 400,00",Pas de prix unitaire
5,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Bijouterie,Etats du roi de Sardaigne,,Valeur,"6 200,00",Pas de prix unitaire
6,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Cacao,L'Espagne et les Etats en dépendances,"525,00",Livres,"653,00",Pas de prix unitaire
7,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Caffé,"Naples, Sicile et Parme","100,00",Livres,"150,00",Pas de prix unitaire
8,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Chocolat,L'Espagne et les Etats en dépendances,"1 898,00",Livres,"7 592,00",Pas de prix unitaire
9,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Chocolat,Etats du roi de Sardaigne,"407,00",Livres,"1 628,00",Pas de prix unitaire
10,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Chocolat,"Milanès, Toscane et Lucques","80,00",Livres,"320,00",Pas de prix unitaire
11,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Chocolat,"Naples, Sicile et Parme","200,00",Livres,"800,00",Pas de prix unitaire
12,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Chocolat,Le Levant et l'empire Ottoman,"100,00",Livres,"400,00",Pas de prix unitaire
13,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Drap de laine,L'Allemagne et la Pologne,"1,00",Valeur,"500,00",Pas de prix unitaire
14,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Drogues médicinalles en quinquina,L'Espagne et les Etats en dépendances,"130,00",Livres,"400,00",Pas de prix unitaire
15,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,2,Eau de fleur d'orange,Le Levant et l'empire Ottoman,"670,00",Livres,"1 340,00",Pas de prix unitaire
16,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Eau de vie ,L'Espagne et les Etats en dépendances,"5,42",Muids,"1 170,00",Pas de prix unitaire
17,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Etoffe de soye,Etats du roi de Sardaigne,"30,00",Livres,"1 500,00",Pas de prix unitaire
18,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Etoffe de soye,L'Angleterre,"5,00",Livres,"260,00",Pas de prix unitaire
19,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Fromage de gruyere,"La Suisse, les alliés et Genève","826,00",Livres,"496,00",Pas de prix unitaire
20,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Fruits confits en olives,L'Espagne et les Etats en dépendances,"200,00",Livres,"150,00",Pas de prix unitaire
21,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Fruits cruds en oranges,Le Levant et l'empire Ottoman,"3 600,00",Nombre ,"720,00",Pas de prix unitaire
22,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Gaze de soye,Etats du roi de Sardaigne,"574,00",Livres,"420,00",Pas de prix unitaire
23,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Instrumens de mathématique,L'Angleterre,,Valeur,"200,00",Pas de prix unitaire
24,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Liqueurs en maroquin,"Naples, Sicile et Parme","12,00",Flacons,"144,00",Pas de prix unitaire
25,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Espagne et les Etats en dépendances,,Valeur,"217,00",Pas de prix unitaire
26,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,Le Portugal,,Valeur,"75,00",Pas de prix unitaire
27,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,Etats du roi de Sardaigne,,Valeur,"431,00",Pas de prix unitaire
28,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Angleterre,,Valeur,"340,00",Pas de prix unitaire
29,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,L'Allemagne et la Pologne,,Valeur,"50,00",Pas de prix unitaire
30,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Marchandises meslés,"La Suisse, les alliés et Genève",,Valeur,"108,00",Pas de prix unitaire
31,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Meubles,La Hollande,,Valeur,"7 200,00",Pas de prix unitaire
32,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,3,Meubles,L'Allemagne et la Pologne,,Valeur,"1 800,00",Pas de prix unitaire
33,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Mouchoir de fil de lin,La Hollande,"36,00",Nombre ,"180,00",Pas de prix unitaire
34,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Ouvrages de cristal,La Hollande,"300,00",Livres,"1 500,00",Pas de prix unitaire
35,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Ouvrages de cristal,L'Allemagne et la Pologne,"100,00",Livres,"500,00",Pas de prix unitaire
36,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Ouvrages de sellerie ,L'Angleterre,,Valeur,"3 600,00",Pas de prix unitaire
37,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Patte d'Italie vermichel,"Naples, Sicile et Parme","360,00",Livres,"216,00",Pas de prix unitaire
38,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Peaux de maroquin,Etats de Barbarie,"34,00",Douzaines,"1 020,00",Pas de prix unitaire
39,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Pelterie appretée,L'Allemagne et la Pologne,"18,00",Livres,"108,00",Pas de prix unitaire
40,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Pelterie appretée,La Russie et Courlande,"25,00",Livres,"150,00",Pas de prix unitaire
41,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Quicaillerie,L'Angleterre,,Valeur,"2 000,00",Pas de prix unitaire
42,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Porcelaine,La Hollande,"350,00",Livres,"2 100,00",Pas de prix unitaire
43,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Porcelaine,"La Suisse, les alliés et Genève","250,00",Livres,"1 500,00",Pas de prix unitaire
44,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Porcelaine,Etats du roi de Prusse,"25,00",Livres,"150,00",Pas de prix unitaire
45,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Tabac d'Espagne,L'Espagne et les Etats en dépendances,"98,00",Livres,"1 470,00",Pas de prix unitaire
46,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,4,Tableaux,La Hollande,"200,00",Livres,"1 000,00",Pas de prix unitaire
47,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Toiles de coton mousseline,La Hollande,"469,00",Aunes,"2 130,00",Pas de prix unitaire
48,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Toile de coton,La Hollande,"20,00",Pièces,"180,00",Pas de prix unitaire
49,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Toile de lin,La Hollande,"372,00",Aunes,"2 170,00",Pas de prix unitaire
50,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Toile de lin,"Les Etats de l'empereur, en Allemagne et Flandre","144,00",Aunes,"576,00",Pas de prix unitaire
51,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Verre a boire en cristal,L'Allemagne et la Pologne,"54,00",Livres,"270,00",Pas de prix unitaire
52,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Vin de liqueur divers,L'Espagne et les Etats en dépendances,"144,00",Bouteilles,"432,00",Pas de prix unitaire
53,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Vin de liqueur divers,Etats du roi de Sardaigne,"288,00",Bouteilles,"864,00",Pas de prix unitaire
54,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National par direction,Imports,1789,Passeport du roy,5,Vin de liqueur divers,L'Angleterre,"95,00",Bouteilles,"285,00",Pas de prix unitaire
