numrodeligne,dataentryby,source,sourcepath,sourcetype,Exportations (Sorties)/Importations (Entrées),sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Provence,Amandes en coques,Angleterre ,"6 819,00",Livres,"0,5000000","3 409,00","-0,50",50 livres le quintal
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Provence,Amidon,Angleterre ,"3 150,00",Livres,"0,4500000","1 417,00","-0,50",45 livres le quintal
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Beurre,Angleterre ,"24 010,00",Livres,"0,9000000","21 609,00","0,00",
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Bois feuillard,Angleterre ,"103,00",Paquets,"1,2500000","129,00","0,25",
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bois en matreaux,Angleterre ,"8,00",Nombre,"20,0000000","160,00","0,00",
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bois a bruler,Isles de Rhé,,valeur,,"300,00",,Pas de quantité ni de prix unitaire
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bois de teinture moulu,Angleterre ,"750,00",Livres,"0,3500000","262,00","-0,50",35 livres le quintal
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bonneterie de conton,Petites isles,,valeur,,"144,00",,Pas de quantité ni de prix unitaire
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bonneterie de fil,Angleterre ,,valeur,,"408,00",,Pas de quantité ni de prix unitaire
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Bonneterie de soye,L'Espagne et les Etats de dépendance,"17,00",Livres,"60,0000000","1 020,00","0,00",
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bray et goudron ,Petites isles,"6 300,00",Livres,"0,0733333","462,00","0,00",Prix unitaire: 22 livres les 300 
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Bray et goudron ,Angleterre ,"18 600,00",Livres,"0,0733333","1 364,00","0,00",Prix unitaire: 22 livres les 301
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Résine,Angleterre ,"3 350,00",Livres,"0,1000000","335,00","0,00",10 livres le quintal
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Caractères d'imprimerie,Angleterre ,"245,00",Livres,"1,7500000","429,00","0,25",
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Cendres barille,Angleterre ,"2 100,00",Livres,"0,2000000","420,00","0,00",
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Lard salé,Angleterre ,"1 046,00",Livres,"0,5000000","523,00","0,00",
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Cheveux,Angleterre ,"341,00",Livres,"4,0000000","1 364,00","0,00",
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Chocolat,Angleterre ,"135,00",Livres,"2,0000000","270,00","0,00",
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Cire de bougie,Angleterre ,"80,50",Livres,"2,6000000","210,00","0,70",
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Confiture,L'Espagne et les Etats de dépendance,"1 140,00",Livres,"1,2000000","1 368,00","0,00",
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Coton en laine,Angleterre ,"216,00",Livres,"2,0000000","432,00","0,00",
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Coton filé,Angleterre ,"88,00",Livres,"6,0000000","528,00","0,00",
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Cuirs de bœuf tannés,Angleterre ,"3 408,00",Livres,"1,5000000","5 112,00","0,00",
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Cuirs de vache tannés,Angleterre ,"7 734,00",Livres,"1,5000000","11 601,00","0,00",
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Cuirs de chevaux tannés,Angleterre ,"661,00",Livres,"1,5000000","991,00","-0,50",
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Cuirs corroyés,Angleterre ,"1 434,00",Livres,"1,5000000","2 151,00","0,00",
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Bretagne,Dentelle de soye,Angleterre ,"200,00",Aunes,"3,0000000","600,00","0,00",
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Angleterre,Drap de laine,Angleterre ,"2,00",Pièces,"150,0000000","300,00","0,00",
