numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,Le Portugal,24,Marcs,,1440,,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,Etats du roi de Sardaigne,115,Marcs,,6900,,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,"Naples, Sicile et Parme","121,5",Marcs,,7290,,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,Venise,339,Marcs,,20340,,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,L'Angleterre,1000,Marcs,,60000,,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,L'Allemagne et la Pologne,65,Marcs,,3900,,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Argenterie,"La Suisse, les alliés et Genève",1200,Marcs,,72000,,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Armes blanche,"Naples, Sicile et Parme",9155,Livres,,18310,,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Armes à feu,L'Angleterre,1,Valeur,2100,2100,0,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Armes à feu,L'Allemagne et la Pologne,1,Valeur,300,300,0,
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bas de soye,"Naples, Sicile et Parme",6,Livres,,330,,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Batterie de cuisine,L'Angleterre,1000,Livres,,500,,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bijouterie,L'Espagne et les Etats en dépendances,1,Valeur,3537,3537,0,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bijouterie,Le Portugal,1,Valeur,2600,2600,0,
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bijouterie,"Naples, Sicile et Parme",1,Valeur,2100,2100,0,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bijouterie,Le Levant et l'Empire Ottoman,1,Valeur,6150,6150,0,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bijouterie,L'Allemagne et la Pologne,1,Valeur,130,130,0,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Bouton de cuivre dorés,L'Allemagne et la Pologne,74,Douzaines,,111,,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Chapeaux de castor,"Naples, Sicile et Parme",12,Nombre,,288,,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Chapeaux de castor,L'Allemagne et la Pologne,6,Nombre,,144,,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Dentelle de fil,Le Portugal,"2,5",Livres,,2500,,
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,2,1789,Passeports,Dentelle de soye,Le Portugal,7,Livres,,3500,,
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Drap de louvier,L'Angleterre,100,Livres,,1200,,
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Eau de senteur,"Naples, Sicile et Parme",330,Livres,,330,,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Eau de senteur,L'Allemagne et la Pologne,150,Livres,,150,,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Estampes,"Naples, Sicile et Parme",80,Livres,,400,,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Estampes,L'Angleterre,50,Livres,,400,,
