numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,Année,Direction,Bureau Principal,Page,Catégorie,Nom Marchandise,Pays ou Région,Noms des Ports et Pays de France,Quantité,Unité de poids ou quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en décimale de Lt,Valeur en livres tournois,valeur en sous,valeur en denier,Valeur en décimales de livress tournois,Valeur calculée (avec prix),Différence,Largeur en lignes (pour tissu),Remarques
1,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarbes,3,,Huile,Espagne,,"950,00",Livres,"0,50",,,,"475,00",,,,,,,50 livres le quintal
2,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Bestiaux bivers,Espagne,,"1,00",Valeur,"2 234,00",,,,"2 234,00",,,,,,,Erreur de calcul
3,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Bestiaux vaches,Espagne,,"12,00",Nombre,"60,00",,,,"960,00",,,,,,,
4,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Cuirs de vaches en poil,Espagne,,"115,00",Nombre,"6,00",,,,"690,00",,,,,,,
5,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Draperie de laine,Espagne,,"40,00",Livres,"5,50",,,,"220,00",,,,,,,
6,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Fromage,Espagne,,"4 305,00",Livres,"0,40",,,,"1 722,00",,,,,,,40 livres le quintal
7,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Huile d'olive,Espagne,,"149 168,00",Livres,"0,50",,,,"74 584,00",,,,,,,50 livres le quintal
8,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Laine,Espagne,,"50 170,00",Livres,,"20,00",,,"50 170,00",,,,,,,
9,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Marchandises à la valeur,Espagne,,"1,00",Valeur,"274,00",,,,"274,00",,,,,,,
10,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Béat,5,,Sel,Espagne,,,Livres,"0,07",,,,"2 485,00",,,,,,,Plusieurs quantités illisibles
11,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Bêtes de somme et bestiaux,Espagne,,"1,00",Valeur,"270,00",,,,"270,00",,,,,,,
12,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Bêtes de somme et poulin,Espagne,,"4,00",Nombre,"240,00",,,,"960,00",,,,,,,
13,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Bêtes de somme et bœufs,Espagne,,"16,00",Nombre,"100,00",,,,"1 600,00",,,,,,,
14,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Ceintures de laine,Espagne,,"240,00",Nombre,"3,00",,,,"720,00",,,,,,,
15,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Bray et résine,Espagne,,"498,00",Livres,"0,25",,,,"124,00",,,,,,,25 livres le quintal
16,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Huile d'olive,Espagne,,"6 403,00",Livres,"0,60",,,,"3 841,00",,,,,,,60 livres le quintal
17,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Laine lavée,Espagne,,"5 600,00",Livres,,"30,00",,,"8 400,00",,,,,,,
18,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Laine en suin,Espagne,,"23 400,00",Livres,,"20,00",,,"23 400,00",,,,,,,
19,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Saint Girons,7,,Marchandises à la valeur,Espagne,,"1,00",Valeur,"114,00",,,,"114,00",,,,,,,
20,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Bêtes de somme anes,Espagne,,"1,00",Nombre,"100,00",,,,"100,00",,,,,,,
21,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Drogues pour la medecine Saffran,Espagne,,"84,00",Livres,"20,00",,,,"1 680,00",,,,,,,
22,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Graine de ver à soye,Espagne,,"100,00",Livres,"15,00",,,,"1 500,00",,,,,,,
23,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Huile d'olive,Espagne,,"21 500,00",Livres,"0,50",,,,"10 750,00",,,,,,,50 livres le quintal
24,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Laine,Espagne,,"34 750,00",Livres,,"20,00",,,"34 750,00",,,,,,,
25,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Marchandises à la valeur,Espagne,,"1,00",Valeur,"313,00",,,,"313,00",,,,,,,
26,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Le suif en rame,Espagne,,"2 032,00",Livres,"0,40",,,,"812,00",,,,,,,40 livres le quintal
27,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Auch.csv,National par direction,Importations,1789,Auch,Tarascon,9,,Peaux de renard,Espagne,,"407,00",Nombre,"3,00",,,,"1 221,00",,,,,,,
