numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Amidon,Evêchés,245,Livres,"0,45",110,"-0,25",,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Ardoises,Evêchés,66500,Nombre,"0,011",731,"-0,5",,le mille
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Ardoises,Clermontois,56500,Nombre,"0,011",621,"-0,5",,le mille
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Armes diverses,Lorraine,1,Valeur,838,838,0,,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Armes diverses,Alsace,1,Valeur,120,120,0,,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Armes diverses,Clermontois,1,Valeur,735,735,0,,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Armes diverses,Evêchés,1,Valeur,239,239,0,,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Bestiaux chevaux,Evêchés,2,Nombre,100,200,0,,
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Biscuit,Etats de l'Empereur,100,Livres,"1,4",140,0,,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Beurre,Bouillon,260,Livres,"0,8",208,0,,
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Bijouterie,Bouillon,1,Valeur,380,380,0,,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Bijouterie,Evêchés,1,Valeur,1029,1029,0,,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie diverse,Bouillon,1,Valeur,447,447,0,,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie diverse,L'Allemagne,1,Valeur,402,402,0,,
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie diverse,Lorraine,1,Valeur,144,144,0,,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie diverse,Evêchés,1,Valeur,1089,1089,0,,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie diverse,Clermontois,1,Valeur,658,658,0,,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Lyonois,Bonnetterie de soye,Hollande,7,Livres,55,385,0,,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Lyonois,Bonnetterie de soye,Etats de l'Empereur,2,Livres,55,110,0,,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Lyonois,Bonnetterie de soye,L'Allemagne,77,Livres,55,4235,0,,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bonnetterie de soye,L'Allemagne,"18,5",Livres,55,1017,"-0,5",,
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Etranger,Bonnetterie de coton,Bouillon,5040,Pièces,3,15120,0,,420 douzaines
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bois d'Inde,Clermontois,1129,Livres,"0,2",227,"1,2",,petite erreur
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Bois d'Inde,Etats de l'Empereur,920,Livres,"0,2",184,0,,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Boutons,Lorraine,1,Valeur,430,430,0,,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Boutons,L'Allemagne,1,Valeur,360,360,0,,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Cendre de houille,Bouillon,2450,Livres,"0,05",122,"-0,5",,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Cannes,Evêchés,1,Valeur,306,306,0,,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,,Cannes,Clermontois,1,Valeur,107,107,0,,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Cardes,Clermontois,56,Pièces,3,168,0,,
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Cardes,Lorraine,489,Pièces,3,1467,0,,
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Chair salée,Bouillon,1428,Livres,"0,6",857,"0,2",,
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Chair salée,Etats de l'Empereur,1000,Livres,"0,6",600,0,,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Chair salée,L'Allemagne,300,Livres,"0,6",180,0,,
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Chanvre,Bouillon,2815,Livres,"0,75",2111,"-0,25",,
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Chanvre,Clermontois,455,Livres,"0,75",341,"-0,25",,
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Isle de France,Chapeaux poil laine,L'Allemagne,90,Nombre,10,900,0,,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Lyonoisois,Chapeaux poil laine,Clermontois,84,Nombre,7,588,0,,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Cire,Clermontois,716,Livres,0,1744,1744,,pas de prix unitaire
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Charleville.csv,National par direction,Exports,3,1789,Charleville,Sedan,Champagne,Cordage,Bouillon,579,Livres,0,289,289,,pas de prix unitaire
