numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Bestiaux bœufs,Lorraine,5,Nombre,,1000,1000,,estimé
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Bestiaux cochons,Lorraine,7,Nombre,,280,280,,estimé
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Bestiaux moutons,Lorraine,258,Nombre,15,3870,0,,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Bestiaux vaches,Lorraine,24,Nombre,60,1440,0,,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Bestiaux veaux,Lorraine,274,Nombre,15,4110,0,,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Fourages foin,Lorraine,16000,Livres,,240,240,,estimées
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Isle de France,Fourages foin,Lorraine,10000,Livres,,200,200,,estimées
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,,Habillements,Lorraine,1500,Livres,,600,600,,estimées
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,,Marchandises à la valeur,Lorraine,,,,255,,,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Pierres à batir,Lorraine,13,Voitures,,130,130,,estimées
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Plumes à faire lit,Lorraine,150,Livres,,150,150,,estimées
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,3,1789,Chalons,Chalons sur Marne,Champagne,Poisson d'eau douce,Lorraine,,,,1256,,,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Arbres fruitiers,Evechés,,,,146,,,
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Ardoises,Evechés,7000,Nombre,"0,015",105,0,,15 livres le mille
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Armes à feu,Evechés,,,,1816,,,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Armes à feu,L'Allemagne et la Pologne,,,,300,,,
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Armes blanches,Evechés,,,,609,,,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Balais,Evechés,3824,Bottes,"0,6",2294,"-0,4",,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Baleine coupée,Evechés,93,Livres,3,279,0,,
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bestiaux divers,Evechés,,,,1687,,,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux bœufs,Evechés,80,Nombre,250,,-20000,,"commentaire: prélever les 3/4 dont 2 seront portés à l'Allemagne et 1 à la Suisse. Nb total 319, j'ai effectué l'opération (LC)."
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux bœufs,L'Allemagne et la Pologne,159,Nombre,250,,-39750,,"Les valeurs indiquées en quantité correspondent à ce qui est écrit à la ligne précédente. La différence constatée correspond au fait que les quantité ont été arrondies, pas les valeurs."
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux bœufs,La Suisse,80,Nombre,250,,-20000,,Les valeurs indiquées en quantité correspondent à ce qui est écrit à la ligne précédente.
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux moutons,Evechés,794,Nombre,9,7146,0,,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux porcs,Evechés,736,Nombre,15,11040,0,,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux porcs,L'Allemagne et la Pologne,368,Nombre,15,5520,0,,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux porcs,La Suisse,184,Nombre,15,2760,0,,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux taureaux,Evechés,20,Nombre,85,1700,0,,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bestiaux vaches,Evechés,92,Nombre,50,4600,0,,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bestiaux veaux,Evechés,2158,Nombre,10,21580,0,,
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bestiaux veaux,L'Allemagne et la Pologne,1079,Nombre,10,10790,0,,
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bestiaux veaux,La Suisse,504,Nombre,10,5040,0,,
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Bestiaux de somme chevaux pour les haras,Evechés,11,Nombre,1000,11000,0,,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Normandie,Bestiaux de somme chevaux,Evechés,66,Nombre,450,29700,0,,
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Normandie,Bestiaux de somme chevaux,L'Allemagne et la Pologne,34,Nombre,450,15300,0,,
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Normandie,Bestiaux de somme chevaux,La Suisse,,Nombre,450,7425,7425,,valeur unitaire différente pour la suisse
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Beurre frais,Evechés,5856,Livres,"0,75",4392,0,,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Bijouterie,Evechés,,,,4913,,,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Bijouterie,L'Allemagne et la Pologne,,,,5087,,,
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Bijouterie,Danemarck et Norvege,,,,200,,,
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France,Bijouterie,Etats du roi de Prusse,,,,100,,,
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bois à bruler,Evechés,,,,13139,,,
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Champagne,Bois de chene planches,Evechés,1364,Livres,"0,75",1023,0,,%
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Ile française,Bois de marquetterie,Evechés,3859,Livres,,2237,2237,,estimées
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Ile française,Bois de teinture,Evechés,19547,Livres,"0,5",9773,"-0,5",,
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bonnetterie diverse,Evechés,,,,153,,,
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,,Bonnetterie diverse,L'Allemagne et la Pologne,,,,282,,,
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Chalons.csv,National par direction,Exports,5,1789,Chalons,Sainte Menehoult,Isle de France ,Bonnetterie de coton bas,Evechés,739,Pièces,"3,5",2586,"-0,5",130,
