numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
1,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bestiaux bœufs,Etats de l'empereur,175,Nombre,150,26250,0,
2,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bestiaux genisses,Etats de l'empereur,19,Nombre,40,760,0,
3,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bestiaux moutons,Etats de l'empereur,1391,Nombre,12,16716,24,Erreur de calcul
4,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bestiaux porcs,Etats de l'empereur,1201,Nombre,15,18015,0,
5,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bestiaux vaches,Etats de l'empereur,7,Nombre,50,350,0,
6,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Bois planches,Etats de l'empereur,1,Valeur,1000,1000,0,
7,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Chanvre,Etats de l'empereur,400,Livres,"0,35",140,0,35 livres le quintal
8,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Charbon de bois,Etats de l'empereur,20000,Livres,,400,,Pas de prix unitaire
9,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Dentelle de fil 2 lignes,Lorraine,400,Aunes,"2,5",1000,0,Unité de mesure difficile à lire
10,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Ecorces de chêne,Etats de l'empereur,1,Valeur,585,585,0,
11,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Fer en verges,Etats de l'empereur,1699,Livres,"0,13",221,"0,13",13 livres le quintal
12,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Legumes,Etats de l'empereur,6600,Livres,"0,05",330,0,5 lives le quintal
13,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Marchandises à la valeur,Etats de l'empereur,1,Valeur,236,236,0,
14,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Meubles,Etats de l'empereur,1,Valeur,108,108,0,
15,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Charleville,3,Ouvrages de cuir,Etats de l'empereur,1,Valeur,192,192,0,
16,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Acier,Allemagne et la Pologne,148606,Livres,"0,4",59442,"-0,4",40 livres le quintal
17,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Armes blanches,Allemagne et la Pologne,16800,Livres,"2,4",40320,0,
18,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Armes bayonettes,Alsace,19038,Livres,"1,5",28557,0,
19,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Armes sabres,Alsace,688,Nombre,6,4128,0,
20,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Armes epées,Alsace,1,Valeur,672,672,0,
21,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Armes epées,Allemagne et la Pologne,1,Valeur,480,480,0,
22,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux chevaux,Evechés,56,Nombre,400,22400,0,
23,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux chevaux,Allemagne et la Pologne,88,Nombre,400,26400,-8800,Erreur de calcul
24,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux moutons,Etats de l'empereur,2568,Nombre,9,23112,0,
25,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux bœufs,Etats de l'empereur,226,Nombre,150,33900,0,
26,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux porcs,Etats de l'empereur,4317,Nombre,12,51828,24,
27,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bestiaux porcs,Allemagne et la Pologne,1014,Nombre,12,12168,0,
28,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bijouterie,Evechés,1,Valeur,600,600,0,
29,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bois de sapin planches,Evechés,2481,Nombre,"0,75",1860,"-0,75",
30,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Bonnetterie de fil bas,Alsace,838,Pièces,"2,5",2095,0,
31,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Boutons d'étain,Alsace,2310,Douzaines,"0,3",693,0,
32,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Boutons argentés,Alsace,730,Douzaines,,2566,,
33,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Cartes,Evechés,100,Livres,4,400,0,
34,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Chair de porc jambon,Allemagne et la Pologne,6878,Livres,"0,5",3479,40,
35,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Colle forte,Lorraine,9150,Livres,"0,5",4575,0,
36,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Colle forte,Etats de l'empereur,18290,Livres,"0,5",9145,0,
37,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Couvertures de laine,Evechés,213,Livres,12,2556,0,
38,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Cuivre en planches,Allemagne et la Pologne,16562,Livres,"1,2",19874,"-0,4",
39,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Cuivres potin,Allemagne et la Pologne,86565,Livres,"0,75",64924,"0,25",
40,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Drap de laine,Alsace,195,Livres,10,1950,0,
41,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Drogues chimiques sel armoniaque,Etats de l'empereur,900,Livres,,1137,,Pas de prix unitaire
42,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Drogues metalique arcenic,Evechés,2420,Livres,"0,25",605,0,25 livres le quintal
43,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Drogues pour peinture et teinture garance,Alsace,2180,Livres,"0,5",1090,0,50 livres le quintal
44,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Eau de cologne,Allemagne et la Pologne,3030,Fioles,1,3030,0,
45,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Etoffes de laine ? ,Alsace,1009,Livres,"3,5",3531,"-0,5",Mot illisible
