numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price,doubleaccounts
1,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Acier,Suede,"21 746,00","72 487,00",Livre,,,,
2,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Agrès de navire,Russie,"102 800,00","282 000,00",Livre,,,,
3,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Baleine en fanon,Etats Unis,"90 350,00","39 650,00",Livre,,,,
4,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Beige,Angleterre,"800,00","150,00",Nombre,,,,
5,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Beurre,Angleterre,"5 600,00","8 700,00",Livre,Plus 50 Quinteaux à 25 Lt Le Quintal,"0,00","0,5000000",1
5,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Beurre,Angleterre,"5 600,00","50,00",quintaux,Plus 50 Quinteaux à 25 Lt Le Quintal,"0,00","25,0000000",2
6,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Beurre,Etats Unis,"875,00","1 750,00",Livre,,"0,00","0,5000000",
7,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bierre,Hollande,"23 224,00",,?,,,,
8,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bonnetterie; diverse,Angleterre,"2 400,00",,Valeur,,,,
9,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bonnetterie; en tricot de laine,Angleterre,"3 000,00",,Valeur,,,,
10,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; En mats et esparts,Etats du roi de Prusse,"6 432,00","268,00",Nombre,,,,
11,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; En mats et esparts,Russie,"2 880,00","48,00",Nombre,,,,
12,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de sapin,Allemagne,"11 865,00","675,00",Nombre,,,,
13,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de sapin,Russie,"29 464,00","9 340,00",Nombre,,,,
14,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de chêne,Allemagne,"23 700,00","914,00",Nombre,,,,
15,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Bordage de chêne,Etats Unis,"7 440,00","248,00",Nombre,,,,
16,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Mats et matériaux,Etats du roi de Prusse,"5 040,00","42,00",Nombre,,,,
17,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Mats et matériaux,Russie,"26 462,00","377,00",Nombre,,,,
18,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Espars,Danemark,"720,00","72,00",Nombre,,,,
19,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Espars,Russie,"8 004,00","427,00",Nombre,,,,
20,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Courbes de chêne,Etats Unis,"1 020,00","51,00",Nombre,,,,
21,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; plançons de chêne,Etats Unis,"10 290,00","147,00",Nombre,,,,
22,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Allemagne,"1 200,00","800,00",Nombre,,,,
23,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Danemark,"25 840,00","29 560,00",Nombre,,,,
24,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Suede,"4 786,00","4 505,00",Nombre,,,,
25,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Russie,"7 520,00","7 850,00",Nombre,,,,
