numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
1,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Acier,"Suisse, les alliés et Genève","58 800,00",Livres,"0,3600000","21 168,00","0,00",,
2,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en chevres,"Suisse, les alliés et Genève","173,00",Nombre,"12,0000000","2 076,00","0,00",,
3,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en moutons,"Suisse, les alliés et Genève","3 213,00",Nombre,"20,0000000","64 260,00","0,00",,
4,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en porcs,"Suisse, les alliés et Genève","5 428,00",Nombre,"30,0000000","162 840,00","0,00",,
5,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en vaches,"Suisse, les alliés et Genève","143,00",Nombre,"120,0000000","17 160,00","0,00",,
6,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bestiaux en veaux,"Suisse, les alliés et Genève","6,00",Nombre,"25,0000000","150,00","0,00",,
7,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Beurre,"Suisse, les alliés et Genève","280,00",Livres,"0,7500000","210,00","0,00",,
8,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Bierre,"Suisse, les alliés et Genève","25,00",Muids,,"1 200,00",,,"Pas de prix unitaire, Muids de Paris"
9,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Chairs salées en lard,"Suisse, les alliés et Genève","350,00",Livres,"0,6000000","210,00","0,00",,
10,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Lyon,Chapeaux poil et laine,"Suisse, les alliés et Genève","14,00",Douzaines,"72,0000000","1 008,00","0,00",,
