orthographic,nbr_occurences_ortho,simplification,note,nbr_occurences_simpl
???,195,???,,195
[vide],993,[vide],,993
3 évêchés,65,Trois Évêchés,,614
Afrique,21,Afrique,,24
Alexandrette,37,Alexandrette,,37
Alger,46,Alger,,46
Aligre de Marans ou Marennes,1,Aligre de Marans ou Marennes,,1
Allemagne,13723,Allemagne,,20030
Allemagne et Pologne - par terre,2,Allemagne et Pologne,,1109
Allemagne-Lorraine,125,Allemagne et Lorraine,,125
Allemagne-Lorraine-Pays de Liège,1787,"Allemagne, Lorraine et Pays de Liège",,1787
Allemagne-Pologne,1107,Allemagne et Pologne,,1109
Alsace,359,Alsace,,359
Alsace et les 3 évêchés,3,Alsace et les Trois Évêchés,,3
Alsace-Lorraine,4,Alsace et Lorraine,,4
Amérique,272,États-Unis d'Amérique,,6175
Amérique (Antilles ou Colonies Françaises),45,Antilles et Colonies Françaises,,45
Amériques,29,États-Unis d'Amérique,,6175
Amiens,2,Amiens,,2
Angleterre,23632,Angleterre,,25419
Angleterre en vertu de licences,444,Angleterre,,25419
Angleterre et Cologne,1,Angleterre et Cologne,,1
Angleterre et flotte anglaise,49,Angleterre et flotte anglaise,,49
Angleterre et Irlande,1,Angleterre et Irlande,,1
Angleterre et ses colonies,398,Angleterre,,25419
Angleterre et ses colonies de l'Inde,832,Angleterre,,25419
Angleterre par bâtiments licenciés ou autre autorisation spéciale,55,Angleterre,,25419
Angleterre y compris l'Écosse et l'Irlande,56,Angleterre,,25419
"Angleterre, Écosse et l'Irlande",2,Angleterre,,25419
Archipel,5,Archipel,,5
Asie,34,Asie,,34
Autriche,29,Autriche,,2035
"Baleine au Groënland, Brésil et Madagascar",2,Pêches à la Baleine,,2
Barbarie,327,Barbarie,,470
Barbarie dans l'Océan,1,Barbarie dans l'Océan,,1
Barbarie dans l'Océan et Îles françaises d'Amérique,1,Barbarie dans l'Océan et Îles françaises d'Amérique,,1
Bayonne,379,Bayonne,,379
Bayonne et ?,1,Bayonne et ?,,1
Bayonne et Dunkerque,2,Bayonne et Dunkerque,,3
Bayonne et Lorient,3,Bayonne et Lorient,,3
Bayonne et Marseille,3,Bayonne et Marseille,,3
Bayonne et Petites Îles,1,Bayonne et Petites Îles,,4
"Bayonne, Dunkerque, Lorient et Petites Îles",1,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
Belgique,67,Belgique,,67
Besançon,1,Besançon,,1
Bilbao,1,Bilbao,,1
Bilbao et Cadix,1,Bilbao et Cadix,,1
Bouillon,108,Duché de Bouillon,,108
Bourbon,50,Île Bourbon,,53
Bourbon-Cayenne,1,Cayenne et Île Bourbon,,1
Brême,2,Brême,,2
"Brême, Lubeck, Norvège et villes hanséatiques",1,"Brême, Lubeck, Norvège et villes hanséatiques",,1
Brésil,30,Brésil,,30
Bruges,1,Bruges,,1
Cadix,1,Cadix,,1
Canada,38,Canada,,38
Candie,5,Candie,,5
Cannée et Candie,3,Cannée et Candie,,3
Cayenne,11,Guyane,,11
Cayenne-Guyane,1065,Cayenne et Guyane,,1065
Chili,15,Chili,,15
Chine,42,Chine,,42
Chypre,17,Chypre,,17
Clermontois,71,Clermontois,,71
Colonie française de Bourbon,2,Île Bourbon,,53
Colonies,19,Colonies françaises,,1821
Colonies d'Amérique,110,Colonies françaises d'Amérique,,356
Colonies d'Amérique et de l'Inde,41,Colonies françaises,,1821
Colonies françaises,1470,Colonies françaises,,1821
Colonies françaises au-delà du Cap,2,Colonies françaises au-delà du Cap,,2
Colonies françaises d'Amérique,7,Colonies françaises d'Amérique,,356
Colonies françaises de l'Amérique,239,Colonies françaises d'Amérique,,356
Colonies françaises des deux Indes,18,Colonies françaises,,1821
"Colonies françaises en Amérique, Asie et Afrique",257,Colonies françaises,,1821
Colonies françaises en-deça du Cap,2,Colonies françaises en-deça du Cap,,2
Colonies françaises et pays hors d'Europe,1,Monde hors Europe,,24
Colonies françaises et Saint-Domingue,1,Colonies françaises et Saint-Domingue,,1
Colonies françaises hors Guyane et Sénégal,1,Colonies françaises hors Guyane et Sénégal,,2
Colonies françaises hors Sénégal et Cayenne,1,Colonies françaises hors Guyane et Sénégal,,2
