goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
,3136,,non,442903
???,90,,non,442903
??? blanc,2,,non,442903
??? brun,2,,non,442903
??? d'Anjou et de Touraine,1,,non,442903
??? d'argent,1,,non,442903
??? d'une valeur moindre de deux mille francs chacun,473,,non,442903
??? de boutard,1,,non,442903
??? de fer,2,,non,442903
??? de morue,1,,non,442903
??? de nacre de perle,1,,non,442903
??? des ci-devant provinces d'Alsace,1,,non,442903
??? des ci-devant provinces de Bourgogne,1,,non,442903
??? des ci-devant provinces de Provence,2,,non,442903
??? des ci-devant provinces du Languedoc,1,,non,442903
??? diverses,4,,non,442903
??? fer,1,,non,442903
??? forts de fer,1,,non,442903
??? gras,1,,non,442903
??? particulièrement en chevaux,6,,non,442903
??? pieds,1,,non,442903
??? pruneaux,1,,non,442903
??? raisins secs,1,,non,442903
???sse,1,,non,442903
?ufs,1,,non,442903
à jamis,276,,non,442903
abassis,4,,non,442903
abats,2,,non,442903
abattis de morue,1,,non,442903
abricots confits,1,,non,442903
absinthe,19,,non,442903
acacia,5,,non,442903
acacia germanica,1,,non,442903
acacia vera,1,,non,442903
acajou,1,,non,442903
acétate d'étain,0,,oui,442903
acétate de fer,0,,oui,442903
acétates d'étain,1,,non,442903
acétates de fer,3,Fer,non,9802
acétates de plomb,29,Plomb,non,3539
acétates de plomb sel de Saturne,2,Plomb,non,3539
acétates de potasse et de soude,2,Potasse,non,708
acétates de sel d'étain,1,,non,442903
achia,7,,non,442903
acide arsénieux,8,,non,442903
acide benzoïque,1,,non,442903
acide benzoïque et phosphorique,2,,non,442903
acide borique,3,,non,442903
acide borique et benzoïque,2,,non,442903
acide citrique,2,,non,442903
acide citrique et muriatique et phosphorique,2,,non,442903
acide citrique et oxalique et tartrique,2,,non,442903
acide de potasse crème de tartre,5,Tartre,non,1470
acide de potasse crème de tartre et tartrate,0,Tartre,oui,1470
acide de potasse lie de vin desséché et liquide,4,Potasse,non,708
acide de potasse lie de vin desséché et liquide et tartrate,0,Potasse,oui,708
acide de potasse lie de vin desséchée,3,Potasse,non,708
acide de potasse lie de vin desséchée et tartrate,0,Potasse,oui,708
acide de potasse lie de vin liquide,2,Potasse,non,708
acide de potasse lie de vin liquide et tartrate,0,Potasse,oui,708
acide de potasse tartre brut impur,2,Tartre,non,1470
acide de potasse tartre brut impur et tartrate,0,Potasse,oui,708
acide muriatique,1,,non,442903
acide muriatique et nitrique et phosphorique,3,,non,442903
acide muriatique et nitro-muriatique,2,,non,442903
acide nitrique,4,,non,442903
acide oxalique,2,,non,442903
acide phosphorique,2,,non,442903
acide succinique,1,,non,442903
acide tartrique,2,,non,442903
acide vitriolique,4,Vitriol ; blanc,non,1044
acide vitriolique et huile de vitriol,109,Vitriol ; blanc,non,1044
acide vitrioliques et huile de vitriol,0,Vitriol ; blanc,oui,1044
acier,1679,,non,442903
acier battu forgé ou laminé,1,,non,442903
acier battu forgé ou laminé et fer carbonaté,0,Fer,oui,9802
acier brun,1,,non,442903
acier brut,10,,non,442903
acier commun,1,,non,442903
acier en barres,6,,non,442903
acier en bottes pour la Compagnie des Indes,1,,non,442903
acier et clous,1,,non,442903
acier et fer,356,Fer,non,9802
acier filé et fer carburé,0,Fer,oui,9802
acier fondu en carreaux ou en tôle,5,,non,442903
acier fondu en carreaux ou en tôle et fer carburé,0,Fer,oui,9802
acier fondu forgé,1,,non,442903
acier fondu forgé et fer carbonaté,0,Fer,oui,9802
acier forgé,7,,non,442903
acier forgé et fer carburé,0,Fer,oui,9802
acons,1,,non,442903
acons démontés,20,,non,442903
acons démontés en gabare,2,,non,442903
acorus,5,,non,442903
acuirson,1,,non,442903
acume de cuivre,1,,non,442903
adatais,3,,non,442903
affûts,2,,non,442903
affûts de bois,1,,non,442903
affûts de canons,11,,non,442903
affûts de fer,1,,non,442903
affûts de fusils,1,,non,442903
affûts de fûts à canons,1,,non,442903
affûts et canons,1,,non,442903
agaric,138,,non,442903
agaric amadouvier,6,,non,442903
agaric amadouvier brut,4,,non,442903
agaric amadouvier brut et préparé,12,,non,442903
agaric amadouvier préparé,6,,non,442903
agaric brut et préparé,6,,non,442903
agaric de mélèze,4,,non,442903
agaric et amadouvier,0,,oui,442903
agaric fin,1,,non,442903
agaric gros,2,,non,442903
agate,11,,non,442903
agate autre que chique et ouvrages,2,,non,442903
agate autre que chique et ouvrée,0,,oui,442903
agate brute,4,,non,442903
agate chique et ouvrée,0,,oui,442903
agate en pierres,1,,non,442903
agate fine,1,,non,442903
agate montée,1,,non,442903
agate ouvrée,0,,oui,442903
agneaux,117,,non,442903
agneaux communs,8,,non,442903
agneaux en vie,5,,non,442903
agneaux et cabris,1,,non,442903
agneaux mérinos et métis,7,,non,442903
agnelines et crottelins,1,,non,442903
agobille,1,,non,442903
agoutals,4,,non,442903
agoutals de bois,5,,non,442903
agrément,15,,non,442903
agrément au quart,3,,non,442903
agrément d'argent,2,,non,442903
agrément d'or,1,,non,442903
agrément d'or et d'argent,5,,non,442903
agrément de fil,9,,non,442903
agrément de fil et de soie,3,,non,442903
agrément de fleur,1,,non,442903
agrément de soie,57,,non,442903
agrément de soie et d'argent,1,,non,442903
agrément de soie et fil,0,,oui,442903
agrément de soie or et argent faux,1,,non,442903
agréments de soie et milleret,1,,non,442903
agréments et milleret,1,,non,442903
agrès,12,,non,442903
agrès apparaux de navire et embarcations,6,,non,442903
agrès apparaux et embarcations,2,,non,442903
agrès de navire,0,,oui,442903
agrès de navire en voile,0,,oui,442903
agrès de navire et jeux de voile,10,,non,442903
agrès et apparaux,1,,non,442903
agrès et apparaux d'or navire,1,,non,442903
agrès et bâtiments de mer,10,,non,442903
agrès et embarcations,8,,non,442903
agrès et voile de navire,1,,non,442903
agrès et voiles de navire,0,,oui,442903
aigles,1,,non,442903
aigre de cèdre,9,,non,442903
aigre de cidre,5,,non,442903
aigre de vitriol,17,Vitriol ; blanc,non,1044
aigrettes,10,,non,442903
aigrettes de fil d'or et d'argent,1,,non,442903
aigrettes de soie,1,,non,442903
aigrettes de soie et argent,1,,non,442903
aigrettes et bavolets,1,,non,442903
aiguières d'étain,1,,non,442903
aiguilles,209,,non,442903
aiguilles à boîtes,1,,non,442903
aiguilles à coudre,61,,non,442903
aiguilles à coudre voiles,1,,non,442903
aiguilles à ralingue,1,,non,442903
aiguilles à tabac,1,,non,442903
aiguilles à toile,1,,non,442903
aiguilles d'emballage,2,,non,442903
aiguilles de mercerie fine,1,,non,442903
aiguilles epars de sapin,1,,non,442903
aiguilles et épingles,1,,non,442903
aiguilles et épingles de mercerie fine,3,,non,442903
aiguilles et mercerie fine,2,,non,442903
aiguilles grosses,1,,non,442903
aiguilles pour voile,37,,non,442903
aiguillettes,1,,non,442903
ail,2,,non,442903
ailes,4,,non,442903
ailes de fléaux,1,,non,442903
ailes de moulins,1,,non,442903
ailor,1,,non,442903
ails,204,,non,442903
ails à fauches,1,,non,442903
ails blancs à casser,1,,non,442903
aimant,1,,non,442903
ains à pêcher,43,,non,442903
ains et lignes à pêcher,2,,non,442903
airain,6,,non,442903
airain non ouvré,4,,non,442903
ajustements,37,,non,442903
ajustements de femme,5,,non,442903
ajustements de soie,2,,non,442903
alambics,17,,non,442903
alambics d'étain,16,,non,442903
alambics de cuivre,2,,non,442903
alambics de terre,1,,non,442903
alana,2,,non,442903
alazar,2,,non,442903
albâtre,5,,non,442903
albâtre brut,3,,non,442903
albâtre et marbre brut et poli,21,,non,442903
albâtre moulé poli ou sculpté,6,,non,442903
alcalis autre que natron et soude,2,,non,442903
alcalis salin,1,,non,442903
alènes,5,,non,442903
alibanies,97,,non,442903
alizari,16,,non,442903
alizari et garance,165,,non,442903
alizari sèche,7,,non,442903
alkermés,1,,non,442903
alkermès en grains,23,,non,442903
allaya,84,,non,442903
alleaux,1,,non,442903
allemande de poil,10,,non,442903
allumettes,54,,non,442903
allumettes à vin,29,,non,442903
allumettes de coton,1,,non,442903
allumettes de mêche soufrée,1,,non,442903
allumettes droguées,3,,non,442903
allumettes épicée,2,,non,442903
allumettes opérées et soufrées,1,,non,442903
allumettes soufrées,12,,non,442903
almagro ou crayon rouge,1,,non,442903
almanachs,1,,non,442903
almanachs brochés,2,,non,442903
almanachs en blancs,1,,non,442903
almanachs enjolivés,1,,non,442903
almanachs reliés,1,,non,442903
aloès,229,,non,442903
aloès cabalin,6,,non,442903
aloès commun,1,,non,442903
aloès et opium,2,,non,442903
aloès hépatique,1,,non,442903
aloès moyen,2,,non,442903
aloiset,1,,non,442903
alose,2,,non,442903
alose fumée,1,,non,442903
alose salée,5,,non,442903
aloues,1,,non,442903
alouettes,4,,non,442903
alpargate,37,,non,442903
alphabets,1,,non,442903
alpiste,20,,non,442903
alpiste et millet,9,,non,442903
alquifoux,479,,non,442903
alquifoux en galène,2,,non,442903
alquifoux et mine de plomb,36,Plomb,non,3539
alquifoux mine de plomb ou graphite,23,Plomb,non,3539
alquifoux ou mine de plomb,1,Plomb,non,3539
alquifoux sable plombifère,1,Plomb,non,3539
alquitra,3,,non,442903
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitare haut-bois serinettes serpent tambours trompettes et violons basses,2,,non,442903
alto basses chapeaux chinois clarinettes cors cymbales fifres et flageolets flûtes guitares haut-bois serinettes serpent tambours trompettes et violons basses,0,,oui,442903
alto basses contrebasses guitare lyres violes violons,2,,non,442903
alto basses contrebasses guitares lyres violes violons,0,,oui,442903
alto bassons guitare violons,3,,non,442903
alto bassons guitares violons,0,,oui,442903
aluchiabanis,2,,non,442903
alun,1872,Alun,non,1897
alun à cordonnier,1,Alun,non,1897
alun autre que brûlé ou calciné,2,Alun,non,1897
alun bon,2,Alun,non,1897
alun brûlé,1,Alun,non,1897
alun commun,1,Alun,non,1897
alun de glace,1,Alun,non,1897
alun de roche,5,Alun,non,1897
alun de Rome,3,Alun,non,1897
alun de Rome fin rosé,1,Alun,non,1897
alun de Rouen,2,Alun,non,1897
alun de Surde,2,Alun,non,1897
alun du Levant,1,Alun,non,1897
alun en dracy,1,Alun,non,1897
alun en rame,1,,non,442903
alun gâté,1,Alun,non,1897
alun ordinaire,1,Alun,non,1897
alvés,2,,non,442903
amadou,225,,non,442903
amadou et agaric amadouvier,7,,non,442903
amandes,1207,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes à la praline,4,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes amères,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes arachis noisettes noix noyaux,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes cassée,6,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes cassées,384,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes cassées ou en coque,3,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes courtes,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes douces,4,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes en coque,300,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et figue et raisin,24,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et pelures et prunes et raisin,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et pruneaux,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et raisin sec,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et raisin sec et savon,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et savon,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et sucre,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et verdet,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes et vert-de-gris,0,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui,12023
amandes fraîches,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes longues,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes mondées,2,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes sèches,64,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes sèches et figue sèche et ???,9,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amandes sèches et figue sèche et raisin sec,135,"Fruits ; divers ; amandes, pelures, raisins, prunes",non,12023
amaril,1,"Fruits ; divers ; amandes, pelures, raisins, prunes",oui,12023
amarine,1,,non,442903
ambrain à grande barrique,1,,non,442903
ambre,42,,non,442903
ambre blanc,1,,non,442903
ambre brut,1,,non,442903
ambre carabé,21,,non,442903
ambre carabé jaune,2,,non,442903
ambre en grains,1,,non,442903
ambre et corail,1,,non,442903
ambre gris,36,,non,442903
ambre gris castoréum civette musc,0,,oui,442903
ambre jaune,72,,non,442903
ambre moulu,2,,non,442903
ameny,1,,non,442903
amer,3,,non,442903
amer de laine,1,,non,442903
amertis,4,,non,442903
ameublement,2,,non,442903
ameublement de chitte,1,,non,442903
ami de toilé,1,,non,442903
amidon,1166,,non,442903
amidon alun,1,,non,442903
amidon en grains,1,,non,442903
amidon en poudre,1,,non,442903
amidon et poudre à poudrer,1,,non,442903
ammoniac,7,,non,442903
ammoniac et sel,21,,non,442903
ammonium,5,,non,442903
amomum,11,,non,442903
amomum et fèves de tonka et noix de ravensara,2,,non,442903
amomum verum,2,,non,442903
amurca,4,,non,442903
anabasse,121,,non,442903
anabasse ; bajutapau,3,,non,442903
anabasse ; corat ; nicaneas ; platille,2,,non,442903
anacardes,2,,non,442903
anacoste,3,,non,442903
ananas,1,,non,442903
ananas confit,2,,non,442903
ananas et pommes de grenade,1,,non,442903
ananas planté,1,,non,442903
anatomie,1,,non,442903
anatose,3,,non,442903
anches de tonneaux,2,,non,442903
anchois,851,,non,442903
anchois câpres et olives,10,,non,442903
anchois câpres etc.,1,,non,442903
anchois câpres olives,1,,non,442903
anchois et boutargue,13,,non,442903
anchois et câpres,5,,non,442903
anchois et sardes,1,,non,442903
anchois et sardines,5,,non,442903
anchois mariné,6,,non,442903
anchois mariné et salé,39,,non,442903
anchois salé et mariné,2,,non,442903
anchois salés,5,,non,442903
anchois salés et marinés,9,,non,442903
ancres,5,,non,442903
ancres de chaudon,1,,non,442903
ancres de fer,553,,non,442903
ancres de fer à chaudrons,1,,non,442903
ancres de fer au-dessus de 250 kilogrammes,1,,non,442903
ancres de fer de 250 kilogrammes et au-dessous,1,,non,442903
ancres de fer et embarcations,2,,non,442903
ancres et embarcations,5,,non,442903
ancres et grappins de fer,1,,non,442903
ancres gravelées,1,,non,442903
ancres neuves,3,,non,442903
ancres vides,4,,non,442903
ancres vieilles,1,,non,442903
ancres vieilles vides,1,,non,442903
andolium,2,,non,442903
andouilles,43,,non,442903
andouillette,1,,non,442903
ânes,174,,non,442903
ânes et ânesses,9,,non,442903
ânes et mulets,11,,non,442903
ânesses,1,,non,442903
angélique,28,,non,442903
angélique du Rozème,1,,non,442903
anguilles,23,,non,442903
anguilles et truites,1,,non,442903
anguilles fraîches,1,,non,442903
anguilles marinées,1,,non,442903
anguilles salées,22,,non,442903
anille,1,,non,442903
animaux,5,,non,442903
anis,520,,non,442903
anis et rac et rhum etc.,2,,non,442903
anis et sucre,1,Sucre ; cru blanc ; du Brésil,non,7167
anis étoilé,0,,oui,442903
anis vert,94,,non,442903
anis vert à distiller,2,,non,442903
anisette,113,,non,442903
anisette au fiasque,6,,non,442903
anisette de Bordeaux,2,,non,442903
anneau de cuivre,1,,non,442903
anneau de fer,2,,non,442903
anneaux de cuivre,1,,non,442903
anneaux de fer,1,,non,442903
ânon,2,,non,442903
anspects,124,,non,442903
anspects de 3 à 4 pieds,1,,non,442903
anspects de bois,27,,non,442903
anspects de sapin,1,,non,442903
antale,3,,non,442903
antale et cauris,1,,non,442903
antchibanis,9,,non,442903
antenelle,1,,non,442903
antennes,2,,non,442903
antennes et mâts de bateaux,1,,non,442903
antimoine,221,,non,442903
antimoine cru,27,,non,442903
antimoine métallique et sulfuré,2,,non,442903
antimoine préparé,2,,non,442903
antimoine vert,1,,non,442903
antofle,1,,non,442903
antofle de girofle,11,,non,442903
apasier,1,,non,442903
apier,3,,non,442903
apios,7,,non,442903
apparaux et bâtiments de mer,38,,non,442903
apprêtée à toiler les livres,1,,non,442903
apprêtée pour parchemins,1,,non,442903
arachis olives fraîches,1,,non,442903
arains,6,,non,442903
arak,17,,non,442903
arbalètes,1,,non,442903
arbalètrrie et cartes marines,1,,non,442903
arbres,7,,non,442903
arbres à fruits,2,,non,442903
arbres à planter,142,,non,442903
arbres châtaignier,4,,non,442903
arbres d' ???,1,,non,442903
arbres d'auban,1,,non,442903
arbres de sapin,1,,non,442903
arbres et arbrisseaux,25,,non,442903
arbres et arbrisseaux à fruits,1,,non,442903
arbres et arbrisseaux sauvages,1,,non,442903
arbres et arbustes,6,,non,442903
arbres et plants,1,,non,442903
arbres fruitiers,87,,non,442903
arbres marronniers à planter,1,,non,442903
arbres nains,1,,non,442903
arbres tilleul,3,,non,442903
arbrisseaux,9,,non,442903
arbustes,3,,non,442903
arcanette,1,,non,442903
arcanie,1,,non,442903
arcanson,4,,non,442903
arcanum duplicatum,2,,non,442903
archets de violons,1,,non,442903
archets et violon,1,,non,442903
archiabanis,2,,non,442903
arçons de bas de bois,1,,non,442903
arçons de bois,1,,non,442903
arçons de selles,14,,non,442903
arçons démontés,1,,non,442903
ardoise,365,,non,442903
ardoise à piler,1,,non,442903
ardoise commune,2,,non,442903
ardoise dite chérubin et à mortier,1,,non,442903
ardoise dite grande voisine,1,,non,442903
ardoise dite moyenne voisine,1,,non,442903
ardoise dite petite voisine,1,,non,442903
ardoise dite voisine grande moyenne et petite,2,,non,442903
ardoise en carreaux,1,,non,442903
ardoise en carreaux et d'1 pied carré,1,,non,442903
ardoise en carreaux ou en table,7,,non,442903
ardoise en livret,1,,non,442903
ardoise encadrée,1,,non,442903
ardoise encadrée et en livret,1,,non,442903
ardoise non travaillée,1,,non,442903
ardoise pour fenêtre,6,,non,442903
ardoise pour toiture,8,,non,442903
ardoise pour toiture au kilogramme,1,,non,442903
ardoise pour toiture au nombre,2,,non,442903
ardoise verte,1,,non,442903
ardoises,0,,oui,442903
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9,,non,442903
arelles de baleine,1,,non,442903
argent,11,,non,442903
argent battu,1,,non,442903
argent battu et en feuille,2,,non,442903
argent battu filé laminé et tiré,3,,non,442903
argent brisé et en lingots et en masses,1,,non,442903
argent brûlé,2,,non,442903
argent brut,1,,non,442903
argent brut en lingot et en masse ouvrages détruits,2,,non,442903
argent carragoux,2,,non,442903
argent en barils,1,,non,442903
argent en barres,3,,non,442903
argent en lingots,18,,non,442903
argent en lingots par Calais,1,,non,442903
argent et or,238,,non,442903
argent et or billon,1,,non,442903
argent faux,9,,non,442903
argent faux en fil cantilles etc.,2,,non,442903
argent faux et or faux,53,,non,442903
argent faux et or faux traits,1,,non,442903
argent fin,1,,non,442903
argent monnayé et nogat d'or,4,,non,442903
argent talari,0,,oui,442903
argent vif,3,,non,442903
argenterie,732,,non,442903
argenterie épée,7,,non,442903
argenterie et bijouterie,14,,non,442903
argenterie et bijouterie et orfèvrerie,1,,non,442903
argenterie et orfévrerie,0,,oui,442903
argenterie et orfèvrerie,122,,non,442903
argenterie et orfèvrerie vermeil,37,,non,442903
argenterie neuve,4,,non,442903
argenterie vieille,12,,non,442903
argile et terre pour engrais,15,,non,442903
arins,1,,non,442903
aristoloche,68,,non,442903
armement de tables,3,,non,442903
armes,251,,non,442903
armes à feu,367,,non,442903
armes à feu de guerre,2,,non,442903
armes à feu de guerre et de traite,1,,non,442903
armes à feu de guerre portatives,2,,non,442903
armes à feu de luxe,4,,non,442903
armes à feu de luxe ou de traite,3,,non,442903
armes à feu de munitions,2,,non,442903
armes à feu de munitions fines,4,,non,442903
armes à feu de traite,1,,non,442903
armes à feu et artillerie,1,,non,442903
armes à feu et de traite,1,,non,442903
armes à feu et fusils,1,,non,442903
armes armureries,1,,non,442903
armes autres que de guerre à feu,1,,non,442903
armes autres que de guerre blanches,1,,non,442903
armes blanches,201,,non,442903
armes blanches de guerre,1,,non,442903
armes blanches de guerre et de traite,1,,non,442903
armes blanches de luxe,2,,non,442903
armes blanches de luxe ou de traite,3,,non,442903
armes blanches de traite,1,,non,442903
armes de chasse ou de luxe à feu,2,,non,442903
armes de chasse ou de luxe blanches,2,,non,442903
armes de guerre,2,,non,442903
armes différentes,1,,non,442903
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,,non,442903
armes et munitions,9,,non,442903
armes lames,1,,non,442903
armes remontrances,1,,non,442903
armoires,57,,non,442903
armoires ayant servi,1,,non,442903
armoires d'acajou,12,,non,442903
armoires de bois,1,,non,442903
armoires de bois de noyer,1,,non,442903
armoires de bois de sapin peintes,1,,non,442903
armoires de bois des Indes,1,,non,442903
armoires de chêne,9,,non,442903
armoires de chêne ornée,1,,non,442903
armoires de noyer,9,,non,442903
armoires de sapin,3,,non,442903
armoires et commodes,1,,non,442903
armoires vieilles,2,,non,442903
