orthographic,nbr_occurences_ortho,simplification,note,nbr_occurences_simpl
???,196,???,,196
[vide],992,,,1028
3 évêchés,65,Trois Évêchés,,614
Afrique,43,Afrique,,46
Alexandrette,32,Alexandrette,,32
Alger,46,Alger,,46
Aligre de Marans ou Marennes,1,Aligre de Marans ou Marennes,,1
Allemagne,13763,Allemagne,,20070
Allemagne et Pologne - par terre,2,Allemagne et Pologne,,1208
Allemagne-Lorraine,125,Allemagne et Lorraine,,125
Allemagne-Lorraine-Pays de Liège,1554,"Allemagne, Lorraine et Pays de Liège",,1554
Allemagne-Pologne,1206,Allemagne et Pologne,,1208
Alsace,359,Alsace,,359
Alsace et les 3 évêchés,3,Alsace et les Trois Évêchés,,3
Alsace-Lorraine,4,Alsace et Lorraine,,4
Amérique,272,États-Unis d'Amérique,,6271
Amérique (Antilles ou Colonies Françaises),105,Antilles et Colonies Françaises,,105
Amériques,29,États-Unis d'Amérique,,6271
Amiens,2,Amiens,,2
Angleterre,23467,Angleterre,,25343
Angleterre en vertu de licences,444,Angleterre,,25343
Angleterre et Cologne,1,Angleterre et Cologne,,1
Angleterre et flotte anglaise,49,Angleterre et flotte anglaise,,49
Angleterre et Irlande,1,Angleterre et Irlande,,1
Angleterre et ses colonies,398,Angleterre,,25343
Angleterre et ses colonies de l'Inde,832,Angleterre,,25343
Angleterre par bâtiments licenciés ou autre autorisation spéciale,55,Angleterre,,25343
Angleterre y compris l'Écosse et l'Irlande,145,Angleterre,,25343
"Angleterre, Écosse et l'Irlande",2,Angleterre,,25343
Archipel,1,Archipel,,1
Asie,79,Asie,,79
Autriche,29,Autriche,,2035
"Baleine au Groënland, Brésil et Madagascar",2,Pêches à la Baleine,,2
Barbarie,322,Barbarie,,465
Barbarie dans l'Océan,4,Barbarie dans l'Océan,,4
Barbarie dans l'Océan et Îles françaises d'Amérique,28,Barbarie dans l'Océan et Îles françaises d'Amérique,,28
Bayonne,379,Bayonne,,379
Bayonne et ?,1,Bayonne et ?,,1
Bayonne et Dunkerque,2,Bayonne et Dunkerque,,3
Bayonne et Lorient,3,Bayonne et Lorient,,3
Bayonne et Marseille,3,Bayonne et Marseille,,3
Bayonne et Petites Îles,1,Bayonne et Petites Îles,,4
"Bayonne, Dunkerque, Lorient et Petites Îles",1,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
Belgique,67,Belgique,,67
Besançon,1,Besançon,,1
Bilbao,1,Bilbao,,1
Bilbao et Cadix,1,Bilbao et Cadix,,1
Bouillon,108,Duché de Bouillon,,108
Bourbon,50,Île Bourbon,,53
Bourbon-Cayenne,1,Cayenne et Île Bourbon,,1
Brême,2,Brême,,2
"Brême, Lubeck, Norvège et villes hanséatiques",1,"Brême, Lubeck, Norvège et villes hanséatiques",,1
Brésil,30,Brésil,,30
Bruges,1,Bruges,,1
Cadix,1,Cadix,,1
Candie,1,Candie,,1
Cannée et Candie,3,,,1028
Cayenne,11,Guyane,,11
Cayenne-Guyane,1065,Cayenne et Guyane,,1065
Chili,15,Chili,,15
Chine,5,Chine,,5
Chypre,12,Chypre,,12
Clermontois,71,Clermontois,,71
Colonie française de Bourbon,2,Île Bourbon,,53
Colonies,379,Colonies françaises,,2198
Colonies d'Amérique,111,Colonies françaises d'Amérique,,358
Colonies d'Amérique et de l'Inde,41,Colonies françaises,,2198
Colonies françaises,1487,Colonies françaises,,2198
Colonies françaises au-delà du Cap,4,Colonies françaises au-delà du Cap,,4
Colonies françaises d'Amérique,8,Colonies françaises d'Amérique,,358
Colonies françaises de l'Amérique,239,Colonies françaises d'Amérique,,358
Colonies françaises des deux Indes,18,Colonies françaises,,2198
"Colonies françaises en Amérique, Asie et Afrique",257,Colonies françaises,,2198
Colonies françaises en-deça du Cap,4,Colonies françaises en-deça du Cap,,4
Colonies françaises et pays hors d'Europe,1,Monde hors Europe,,52
Colonies françaises et Saint-Domingue,1,Colonies françaises et Saint-Domingue,,1
Colonies françaises hors Guyane et Sénégal,2,Colonies françaises hors Guyane et Sénégal,,3
Colonies françaises hors Sénégal et Cayenne,1,Colonies françaises hors Guyane et Sénégal,,3
Colonies françaises-hollandaises,20,Colonies françaises et colonies hollandaises,,20
Commerce de la Compagnie des Indes,133,Commerce de la Compagnie des Indes,,133
Comptoirs étrangers,1,Inde étrangère,,18
Comptoirs étrangers de l'Inde,17,Inde étrangère,,18
Comptoirs français,1,Indes françaises,,22
Comptoirs français et étrangers,1,Indes,,3429
Constantinople,17,Constantinople,,17
Corse,123,Corse,,123
Côtes d'Afrique,1,Afrique,,46
"Côtes occidentales d'Afrique, Sénégal, Guinée",34,Afrique occidentale,,34
Cube-Porto Rico,20,Cuba et Porto Rico,,20
Danemark,8673,Danemark,,12166
Danemark-Norvège,392,Danemark et Norvège,,392
destination inconnue,96,Inconnu,,209
Deux-Siciles,37,Naples et Sicile,,5018
Dunkerque,722,Dunkerque,,722
Dunkerque et Bayonne,1,Bayonne et Dunkerque,,3
Dunkerque et Lorient,2,Dunkerque et Lorient,,2
Dunkerque et Marseille,2,Dunkerque et Marseille,,2
Dunkerque et Petites Îles,4,Dunkerque et Petites Îles,,4
"Dunkerque, Bayonne et Marseille",11,"Bayonne, Dunkerque et Marseille",,11
"Dunkerque, Lorient et Petites Îles",1,"Dunkerque, Lorient et Petites Îles",,3
"Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace",1,"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",,1
Egypte,48,Égypte,,48
Empereur,629,États de l'Empereur,,4462
Empire d'Autriche,2006,Autriche,,2035
Empire de Russie,2035,Russie,,6533
Empire de Sardaigne,3,Royaume de Sardaigne,,5163
Empire du Portugal,15,Portugal,,14849
Empire Ottoman,1480,Empire Ottoman,,1480
Empire Ottoman et Barbarie,2217,Empire Ottoman et Barbarie,,2217
Empire Ottoman et Toscane,1,Levant et Toscane,,1
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",,1
Entrepôt,87,Entrepôt,,87
Entrepôt et port franc de Livourne,234,Livourne,,236
Épaves et échouements,56,Épaves et échouements,,56
Espagne,54731,Espagne,,59392
Espagne et Indes Occidentales,87,Espagne et ses colonies,,3395
Espagne et les état en dépendants,482,Espagne et ses colonies,,3395
Espagne par mer,2,Espagne par mer,,2
Espagne par terre,2,Espagne par terre,,2
Espagne-Portugal,1,Espagne et Portugal,,1
"Espagne, Canaries et Indes Occidentales",1743,Espagne et ses colonies,,3395
Établissements français de l'Inde,15,Indes françaises,,22
État de Naples,1,Naples,,5517
États ?,17,États ?,,17
États de Barbarie,143,Barbarie,,465
États de l'Allemagne,6307,Allemagne,,20070
États de l'Empereur,3370,États de l'Empereur,,4462
États de l'Empereur : Allemagne et Flandre,461,États de l'Empereur,,4462
États de l'Empereur : Allemagne et Flandre – par mer,2,États de l'Empereur par mer,,2
États de l'Empereur : Allemagne et Flandre – par terre,2,États de l'Empereur par terre,,2
États de l'Empereur et Flandre,2,États de l'Empereur,,4462
États de l'évêque de Rome et la république de Venise,52,États ecclésiastiques et Venise,,52
États de l'Inde,2,Indes,,3429
États de Rome,1184,États ecclésiastiques,,1620
États du roi,1,États du roi,,1
États du roi de Prusse,147,Prusse,,4643
États du roi de Sardaigne,1032,Royaume de Sardaigne,,5163
États du Roi de Sardaigne - par mer,2,Royaume de Sardaigne – par mer,,2
États du Roi de Sardaigne - par terre,2,Royaume de Sardaigne – par terre,,2
États du roi de Suède,58,Suède,,10944
États ecclésiastiques,435,États ecclésiastiques,,1620
États romains,64,États romains,,64
États Sardes,88,Royaume de Sardaigne,,5163
États-Unis,685,États-Unis d'Amérique,,6271
États-Unis ; colonies anglaises,14,États-Unis d'Amérique,,6271
États-Unis d'Amérique,5145,États-Unis d'Amérique,,6271
États-Unis de l'Amérique,126,États-Unis d'Amérique,,6271
Europe,15,Europe,,16
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",479,"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",,479
Europe et Piémont,1,Europe,,16
Évêchés,547,Trois Évêchés,,614
Flandre,14135,Flandre,,18664
Flandre Autrichienne,3859,Flandre,,18664
Flandre impériale,670,Flandre,,18664
France,16,France,,16
Franche Comté,8,Franche Comté,,8
Gênes,14504,Gênes,,15324
"Gênes, Milan, Toscane et Lucques",4,"Gênes, Milan, Toscane et Lucques",,4
Genève,3101,Genève,,3101
Genève et Suisse,2356,Genève et Suisse,,2510
Genève et Suisse et ses alliés,845,"Genève, Suisse et ses alliés",,949
Gex,13,Pays de Gex,,20
Gibraltar,1,Gibraltar,,1
Gothembourg,1,Gothembourg,,1
Grand-Duché de Toscane,288,Toscane,,636
Grèce,13,Toscane,,636
Guadeloupe,2190,Guadeloupe,,2190
Guatemala,2,Guatemala,,2
Guernesey,2,Guernesey,,2
Guernesey et Dumbarton,1,Guernesey et Dumbarton,,1
Guinée,10256,Guinée,,10256
Guyane anglaise,4,Guyane anglaise,,4
Guyane et Sénégal,2,Guyane et Sénégal,,2
Guyane française,2,Guyane française,,2
Haïti,10,Haïti,,10
Hambourg,1,Hambourg,,1
"Hambourg, Hollande et Livourne",1,"Hambourg, Hollande et Livourne",,1
Hollande,70275,Hollande,,73404
Île de Ré,1,Île de Ré,,1
Île Maurice,22,Île Maurice,,22
Îles,7104,Îles,,7104
Îles de France et de Bourbon,161,Îles de France et de Bourbon,,163
"Îles de France, de la Réunion et Mozambique",2,Îles de France et de Bourbon,,163
Îles de l'Amérique,134,Îles de l'Amérique,,134
Îles et colonies françaises,16,Colonies françaises,,2198
Îles et Guinée,2,Îles et Guinée,,2
Îles françaises,1967,Îles françaises,,1967
Îles françaises de l'Amérique,37251,Îles françaises de l'Amérique,,41047
Îles françaises de l'Amérique et de Terre-Neuve,290,Îles françaises de l'Amérique,,41047
Îles françaises de l'Amérique et du Canada,1412,Îles françaises de l'Amérique,,41047
Îles françaises de l'Amérique et Terre-Neuve,753,Îles françaises de l'Amérique,,41047
"Îles françaises de l'Amérique, du Canada et Terre-Neuve",1341,Îles françaises de l'Amérique,,41047
Inde Bourbon,1,Île Bourbon,,53
Inde et Amérique,1,Amérique et Inde,,1
Inde et Bourbon,3,Île Bourbon et Inde,,3
Inde et colonies françaises,1,Colonies françaises et Inde,,1
"Inde, colonies françaises et Amérique",1,"Amérique, colonies françaises et Inde",,1
Indes,1863,Indes,,3429
Indes anglaises,16,Indes anglaises,,16
Indes françaises,6,Indes françaises,,22
Indes hollandaises,6,Indes hollandaises,,6
Indes Occidentales,39,Amériques,,39
Indes Orientales,1563,Indes,,3429
Irlande,1,Irlande,,1
Italie,35203,Italie,,38456
Italie (Naple & Sicile),1,,,1028
"Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",519,Italie,,38456
Le ?,2,?,,12
Les 4 villes hanséatiques,566,Villes hanséatiques,,4750
Levant,20585,Levant,,20585
Levant et Barbarie,34,Barbarie et Levant,,34
Levant et Empire Ottoman,98,Empire Ottoman et Levant,,98
"Levant, empire Ottoman et états de Barbarie",123,"Barbarie, Empire Ottoman et Levant",,123
Lisbonne,1,Lisbonne,,1
Livourne,2,Livourne,,236
Lorient,227,Lorient,,227
Lorient et Marseille,1,Lorient et Marseille,,1
Lorient et Petites Îles,1,Lorient et Petites Îles,,2
Lorraine,555,Lorraine,,555
Lorraine et Évêchés,1,Lorraine et Trois Évêchés,,1
Louisiane,7,Louisiane,,7
Lübeck en Norvège,1,Lübeck en Norvège,,1
Marseille,2162,Marseille,,2576
Marseille et Petites Îles,1,Marseille et Petites Îles,,1
Martinique,2777,Martinique,,2777
Mecklembourg-Schwerin,4,Mecklembourg-Schwerin,,4
Mexique,9,Mexique,,9
Middlebourg,1,Milddelbourg,,1
Milanais,4,Milanais,,4
Milanais-Toscane,1108,"Milanais, Toscane et Lucques",,1108
"Milanais, Toscane et Lucques",602,Milanais et Toscane,,602
Monde,4400,Monde,,4400
Monde (hors Europe et Inde),3,Monde hors Europe,,52
Monde (hors Europe et Sénégal français),2,Monde hors Europe et hors Sénégal français,,2
"Monde (hors Europe, Inde et Colonies françaises)",1,Monde hors Europe et hors colonies françaises et hors Inde,,1
"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,"Monde (hors Amérique, colonies françaises, Europe et Inde)",,1
Monde (hors Inde et Amérique),5,Monde hors Amérique et hors Inde,,5
"Monde (hors Piémont, Inde et Amérique)",1,Monde hors Amérique et hors Inde et hors Piémont,,1
Monde hors Amérique,1,Monde hors Amérique,,1
Monde hors colonies,385,Monde hors colonies,,385
Monde hors Europe,48,Monde hors Europe,,52
Monde hors Europe et colonies,1,Monde hors Europe et hors colonies,,1
Monde hors Guyanne française,2,Monde hors Guyanne française,,2
Monde hors Pays de Gex,1,Monde hors Pays de Gex,,1
Monds hors Ports de la Baltique,1,Monds hors Ports de la Baltique,,1
Morée,7,Morée,,7
Morue à Terre-Neuve,2,Pêches à la Morue à Terre-Neuve,,2
Morue en Islande,1,Pêches à la Morue en Islande,,1
Nancy,1,Nancy,,1
Nantes,1,Nantes,,1
Naples,3251,Naples,,5517
Naples et Sicile,40,Naples et Sicile,,5018
Naples-Sicile,4941,Naples et Sicile,,5018
"Naples, Sicile et Palerme",52,"Naples, Sicile et Palerme",,52
"Naples, Sicile et Parme",315,"Naples, Sicile et Parme",,394
non renseigné,1,?,,12
Nord,21856,Nord,,21856
Nord ; dont hanséatiques et Russie,104,Nord (Hanse et Russie),,3881
Nord (Hanse et Russie),32,Nord (Hanse et Russie),,3881
Nord qui comprend les villes hanséatiques,2851,Nord (Hanse et Russie),,3881
Nord qui comprend les villes hanséatiques et la Moscovie,894,Nord (Hanse et Russie),,3881
Norvège,15,Norvège,,15
Nouvelle-Grenade,3,Nouvelle-Grenade,,3
origine inconnue,113,Inconnu,,209
Pays d'Aunis,1,Pays d'Aunis,,1
Pays de Gex,7,Pays de Gex,,20
Pays de Labour,31,Pays de Labour,,31
pays non indiqué,8,?,,12
Pays ou Région,1,?,,12
Pays-Bas,49,Pays-Bas,,1031
Pêche étrangère,4,Pêches étrangères,,17
Pêche française,5,Pêches françaises,,42
Pêches étrangères,13,Pêches étrangères,,17
Pêches françaises,37,Pêches françaises,,42
Pêches sur nos côtes Hareng (aperçu),2,Pêches côtières (Hareng),,2
Pêches sur nos côtes Maquereaux (aperçu),2,Pêches côtières (Maquereaux),,2
Pêches sur nos côtes Sardines (aperçu),1,Pêches côtières (Sardines),,1
Pérou,6,Pérou,,6
Petites Îles,464,Petites Îles,,464
Petites Îles et Bayonne,3,Bayonne et Petites Îles,,4
Petites îles et Lorient,1,Lorient et Petites Îles,,2
"Petites Îles, Bayonne et Lorient",1,"Bayonne, Lorient et Petites Îles",,1
"Petites Îles, Bayonne, Dunkerque et Lorient",2,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
"Petites Îles, Dunkerque et Lorient",2,"Dunkerque, Lorient et Petites Îles",,3
Philippines,1,Philippines,,1
Piémont,1590,Piémont,,1590
Piémont et Genève,604,Genève et Piémont,,604
Piémont et Savoie,340,Piémont et Savoie,,340
Piémont par mer,1,Piémont par mer,,1
Piémont par terre,1,Piémont par terre,,1
Poitou,1,Poitou,,1
Pologne,305,Pologne,,305
Pologne et Genève,1,Pologne-Genève,,1
Port de Marseille,414,Marseille,,2576
Ports de la Baltique,1,Ports de la Baltique,,1
Portugal,11775,Portugal,,14849
"Portugal, île de Madère, Terceres et Açores",353,Portugal,,14849
Possessions anglaises,132,Colonies anglaises,,132
Possessions danoises,90,Colonies danoises,,90
Possessions des États-Unis d'Amérique,143,Colonies des États-Unis d'Amérique,,143
Possessions espagnoles,153,Colonies espagnoles,,153
Possessions hollandaises,142,Colonies hollandaises,,142
Possessions portugaises,27,Colonies portugaises,,27
Possessions suédoises,57,Colonies suédoises,,57
Prises et saisies,1045,Prises et saisies,,1305
Prises et saisies et séquestres,260,Prises et saisies,,1305
Prusse,515,Prusse,,4643
Prusse – par mer,2,Prusse – par mer,,2
Quatre villes hanséatiques,40,Villes hanséatiques,,4750
République de Gênes,747,Gênes,,15324
République de Hollande,152,Hollande,,73404
République de Suisse,4088,Suisse,,13801
République de Venise,124,Venise,,1912
Riga,1,Riga,,1
Rio de la Plata,14,Rio de la Plata,,14
Rome et Venise,2,Rome et Venise,,2
Rotterdam,1,Rotterdam,,1
Rouen,1,Rouen,,1
Royaume d'Espagne,4661,Espagne,,59392
Royaume d'Espagne et ses colonies,1083,Espagne et ses colonies,,3395
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume d'Italie,2734,Italie,,38456
Royaume de Danemark,3293,Danemark,,12166
Royaume de Danemark et ses colonies,200,Danemark,,12166
Royaume de Gênes,73,Gênes,,15324
Royaume de Hollande,2977,Hollande,,73404
Royaume de Naples,2265,Naples,,5517
Royaume de Naples et de de Sicile et duché de Parme,79,"Naples, Sicile et Parme",,394
Royaume de Pays-Bas,982,Pays-Bas,,1031
Royaume de Pays-Bas et ses colonies,1408,Pays-Bas et ses colonies,,1408
Royaume de Prusse,3981,Prusse,,4643
Royaume de Sardaigne,4040,Royaume de Sardaigne,,5163
Royaume de Suède,1593,Suède,,10944
Royaume de Suède et ses colonies,173,Suède et ses colonies,,173
Royaume de Suisse,26,Suisse,,13801
Royaume du Portugal,1870,Portugal,,14849
Royaume du Portugal et ses colonies,836,Portugal,,14849
Russie,4498,Russie,,6533
Russie et Courlande,15,Courlande et Russie,,143
Russie-Courlande,128,Courlande et Russie,,143
Saint-Domingue,5564,Saint-Domingue,,5564
Saint-Jean de Luz,9,Saint-Jean de Luz,,9
Saint-Thomas,11,Saint-Thomas,,11
Salonique,1,Salonique,,1
"Salonique, Archipet et Satalis",17,,,1028
Sardaigne,2040,Sardaigne,,2040
Savoie,12043,Savoie,,12043
Savoie et Piémont,11303,Savoie et Piémont,,11303
Sénégal,229,Sénégal,,229
Sénégal et Cayenne,1,Sénégal français,,9
Sénégal et Guinée,2992,Guinée et Sénégal,,2992
Sénégal français,8,Sénégal français,,9
Sidon,1,Sidon,,1
Sidon et Acre,15,,,1028
Smyrne,30,Smyrne,,30
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",,2
Strasbourg,1,Strasbourg,,1
Sud ecclésiastique,1,États ecclésiastiques,,1620
Suède,9293,Suède,,10944
Suisse,9687,Suisse,,13801
Suisse et alliés et Genève,104,"Genève, Suisse et ses alliés",,949
Suisse et Genève,154,Genève et Suisse,,2510
Tobago,740,Tobago,,740
Tobago et Sainte-Lucie,2,Tobago et Sainte-Lucie,,2
Toscane,335,Toscane,,636
Traite des noirs et de la gomme,2,Afrique,,46
Tripoli de Syrie,10,Tripoli de Syrie,,10
Trois Évêchés,2,Trois Évêchés,,614
Turquie,34,Turquie,,34
"Turquie, Inde et Amérique",2,"Amérique, Inde et Turquie",,2
Vénézuela,14,Vénézuela,,14
Venise,1788,Venise,,1912
Villes ?,1,Villes hanséatiques,,4750
Villes hanséatiques,4143,Villes hanséatiques,,4750
Villes hanséatiques-Hollande,223,Hollande et Villes hanséatiques,,223
Voitures diverses,2,Voitures diverses,,2
Ypres,1,Ypres,,1
