marchandises_simplification,classification_hamburg_large,obsolete
???,,non
??? blanc,,non
??? brun,,non
??? d'Anjou et de Touraine,,non
??? d'une valeur moindre de deux mille francs chacun,,non
??? des ci-devant provinces d'Alsace,,non
??? des ci-devant provinces de Bourgogne,,non
??? des ci-devant provinces de Provence,,non
??? des ci-devant provinces du Languedoc,,non
??? diverses,,non
??? douzaines de,,oui
??? et lancespiquets,,oui
??? la douzaine,,oui
??? lin,,oui
??? Tanabare,,non
???? particulièrement en cheval,,non
abafine,,oui
abassis,,non
abats,,non
abattis de morue,,non
abricots confits,,non
absinthe,,non
acacia,,non
acacia germanica,,non
acétates de plomb,,non
achia,,non
acide vitrioliques et huile de vitriol,Vitriol ; blanc,non
acier,,non
acier brun,,non
acier brut,,non
acier de fer,,non
acier et clous,,non
acier et fer,Fer,non
acons,,non
acons démontés,,non
acons démontés en gabare,,non
acorus,,non
acuirson,,non
acume de cuivre,,non
affûts de canons,,non
affûts de fusils,,non
affûts de fûts à canons,,non
agaric,,non
agaric et amadouvier,,non
agaric gros,,non
agate,,non
agate fine,,non
agate montée,,non
agneaux,,non
agneaux et cabris,,non
agnelines et crottelins,,non
agoutals,,non
agoutals de bois,,non
agrément,,non
agrément au quart,,non
agrément d'argent,,non
agrément d'or,,non
agrément d'or et d'argent,,non
agrément de fil,,non
agrément de fil et de soie,,non
agrément de fleur,,non
agrément de soie,,non
agrément de soie et d'argent,,non
agrément de soie et fil,,non
agrément de soie or et argent faux,,non
agrès,,non
agrès de navire,,non
agrès de navire en voile,,non
agrès de navire et jeux de voile,,non
agrès et apparaux,,non
agrès et voiles de navire,,non
aigles,,non
aigre de cidre,,non
aigre de vitriol,Vitriol ; blanc,non
aigrettes,,non
aigrettes de fil d'or et d'argent,,non
aigrettes de soie,,non
aigrettes de soie et argent,,non
aigrettes et bavolets,,non
aiguières d'étain,,non
aiguilles,,non
aiguilles à boîtes,,non
aiguilles à coudre,,non
aiguilles à ralingue,,non
aiguilles à tabac,,non
aiguilles à toile,,non
aiguilles à voile,,non
aiguilles d'emballage,,non
aiguilles epars de sapin,,non
aiguilles et épingles,,non
aiguilles grosses,,non
ailes,,non
