marchandises_simplification,eden_classification
bière,Bière
bière forte,Bière
Nankin de coton,Coton de toute espèce
bas de coton,Coton de toute espèce
bas de coton et bas de fil,Coton de toute espèce
bonneterie commune de coton et bonneterie commune de laine,Coton de toute espèce
bonneterie de coton,Coton de toute espèce
bonneterie de coton et bonneterie de fil et bonneterie de laine,Coton de toute espèce
bonneterie de coton et bonneterie de laine,Coton de toute espèce
bonneterie fil et bonneterie de coton,Coton de toute espèce
bonnets de coton,Coton de toute espèce
coton,Coton de toute espèce
coton de laine,Coton de toute espèce
coton de laine du Brésil,Coton de toute espèce
coton de laine du Levant,Coton de toute espèce
coton des Indes,Coton de toute espèce
coton en ouatte,Coton de toute espèce
coton filé,Coton de toute espèce
coton filé des Indes,Coton de toute espèce
coton filé du Levant,Coton de toute espèce
cotonné de coton,Coton de toute espèce
cotonnée,Coton de toute espèce
couvertures de coton,Coton de toute espèce
drap de coton,Coton de toute espèce
futaine de coton,Coton de toute espèce
grannette de coton,Coton de toute espèce
mouchoirs de coton,Coton de toute espèce
mouchoirs de coton et de fil,Coton de toute espèce
mouchoirs des Indes de coton,Coton de toute espèce
mousselines et Nankin et toile de coton,Coton de toute espèce
satinette de coton,Coton de toute espèce
siamoise de coton et de fil,Coton de toute espèce
toile blanche et de coton,Coton de toute espèce
toile cotonnade,Coton de toute espèce
toile de coton,Coton de toute espèce
toile de coton ???,Coton de toute espèce
toile de coton antoine,Coton de toute espèce
toile de coton basin,Coton de toute espèce
toile de coton bisinette,Coton de toute espèce
toile de coton et de fil,Coton de toute espèce
toile de coton et imprimée,Coton de toute espèce
toile de coton façon de Nankin,Coton de toute espèce
toile de coton mousseline,Coton de toute espèce
toile de coton mousselines Nankin et des Indes,Coton de toute espèce
toile de coton peinte,Coton de toute espèce
toile de coton persiste,Coton de toute espèce
toile de coton piquée,Coton de toute espèce
toile indienne de coton,Coton de toute espèce
tricots de coton,Coton de toute espèce
tricots de coton et tricots de fil,Coton de toute espèce
velours de coton,Coton de toute espèce
étoffe de coton,Coton de toute espèce
étoffe de coton en drap,Coton de toute espèce
étoffe de coton et bonneterie,Coton de toute espèce
étoffe de coton et chapeaux,Coton de toute espèce
étoffe de coton et de fil,Coton de toute espèce
étoffe de coton et de laine,Coton de toute espèce
étoffe de coton et de mercerie,Coton de toute espèce
étoffe de coton et de pellerie,Coton de toute espèce
étoffe de coton et de tapisserie,Coton de toute espèce
étoffe de coton éternelle,Coton de toute espèce
eau de grain,Eau de vie de France
eau et huile spiritueuse,Eau de vie de France
eau spiritueuse,Eau de vie de France
eau spiritueuse et essence,Eau de vie de France
eau-de-vie,Eau de vie de France
eau-de-vie de genièvre,Eau de vie de France
eau-de-vie de grain,Eau de vie de France
eau-de-vie de vin,Eau de vie de France
eau-de-vie double,Eau de vie de France
eau-de-vie royale,Eau de vie de France
eau-de-vie simple,Eau de vie de France
gaze,Gazes
gaze de fil,Gazes
gaze en crêpe,Gazes
gaze et mouchoirs et ruban,Gazes
bouteilles de terre,Glaces et Verrerie
bouteilles de verre,Glaces et Verrerie
bouteilles de verre vides,Glaces et Verrerie
bouteilles de verres,Glaces et Verrerie
dame-jeannes de verres,Glaces et Verrerie
glaces,Glaces et Verrerie
glaces de miroirs,Glaces et Verrerie
glaces et meubles,Glaces et Verrerie
glaces et miroirs,Glaces et Verrerie
gobelets de verres,Glaces et Verrerie
gobelets et lampes de verre,Glaces et Verrerie
ouvrages de verre en rasade,Glaces et Verrerie
verrerie,Glaces et Verrerie
verrerie diverse,Glaces et Verrerie
verres,Glaces et Verrerie
verres communs,Glaces et Verrerie
verres cristallins et cuivrés,Glaces et Verrerie
verres de cristal,Glaces et Verrerie
verres de montre,Glaces et Verrerie
verres de vitre,Glaces et Verrerie
verres et verrerie,Glaces et Verrerie
verres ouvrés,Glaces et Verrerie
verres à boire,Glaces et Verrerie
verroterie,Glaces et Verrerie
ouvrages d'acier,Hardware
ouvrages d'airain,Hardware
ouvrages de bronze,Hardware
ouvrages de cuivre,Hardware
ouvrages de cuivre doré et argenté,Hardware
ouvrages de cuivre simples,Hardware
ouvrages de fer,Hardware
ouvrages de fer et ouvrages de jonc,Hardware
ouvrages de fer à nègre,Hardware
ouvrages de fer-blanc,Hardware
ouvrages de fonte,Hardware
ouvrages de tabletterie,Hardware
ouvrages en métal,Hardware
ouvrages en métal et fer,Hardware
quincaillerie,Hardware
quincaillerie commune,Hardware
quincaillerie d'acier,Hardware
quincaillerie d'acier et de cuivre,Hardware
quincaillerie d'acier et de fer,Hardware
quincaillerie de cuivre,Hardware
quincaillerie de cuivre clou,Hardware
quincaillerie de fer,Hardware
quincaillerie de fer clou,Hardware
quincaillerie de fer et acier ???,Hardware
quincaillerie de laiton filé,Hardware
quincaillerie diverse,Hardware
quincaillerie en ???,Hardware
quincaillerie et mercerie,Hardware
quincaillerie fine,Hardware
huile d'olive,Huile d'olive de France
huile d'olive fine,Huile d'olive de France
huile d'olive pour fabrique,Huile d'olive de France
Itaine de laine,Lainage
amer de laine,Lainage
bas de laine,Lainage
bonneterie de laine,Lainage
bonneterie de laine ???,Lainage
bonneterie de laine tricots,Lainage
bonnets de laine,Lainage
cadeligue de laine,Lainage
callemande de laine,Lainage
camelot de laine,Lainage
casimir de laine,Lainage
chapeaux de laine,Lainage
chapeaux de laine et chapeaux de poil,Lainage
couvertures de laine,Lainage
dareau de laine,Lainage
drap de laine,Lainage
drap de laine d'Elbeuf,Lainage
drap de laine de Van Robais,Lainage
droguet de laine,Lainage
duroil de laine,Lainage
flanelle de laine,Lainage
florentine de laine,Lainage
frisade de laine,Lainage
frisette de laine,Lainage
futaine de laine,Lainage
habits de laine,Lainage
