simplification,type_textile
Nankin,tissés
Pékin,tissés
Pékin uni,tissés
agrément de soie,passementerie
ajamis,tissés
alibanies,tissés
allaya,tissés
anabasse,tissés
armoisin,tissés
baffetas blanc,tissés
baffetas bleu,tissés
bajutapau,tissés
baracan,tissés
basin,tissés
basin des Indes,tissés
basin et Nankin,tissés
basin uni et Nankin uni,tissés
batanomes,tissés
batiste,tissés
batiste de fil,tissés
batiste de lin,tissés
batiste de lin et linon de lin,tissés
batiste et linon,tissés
bayette,tissés
blonde de soie,tissés
boucassin,tissés
boutanne,tissés
burat,tissés
bétilles,tissés
cadis,tissés
caladaris,tissés
callemande,tissés
callemande de laine,tissés
callemande de poil,tissés
calmande,tissés
camelot,tissés
camelot de laine,tissés
camelot de laine et de soie,tissés
camelot de poil,tissés
camelot de soie,tissés
camelot à peu de soie,tissés
carisel,tissés
casimir et mérinos fin de laine,tissés
casimir fin de laine,tissés
chillas,tissés
chitte,tissés
chuquelas,tissés
cirsaca,tissés
cordage,filés
cordage d'auf,filés
cordage d'espars,filés
cordage de chanvre,filés
cordage vieux,filés
cordeillat,tissés
cordes d'auf,filés
cordes d'emballage,filés
cordes de chanvre,filés
cotonille,tissés
cotonnades,tissés
cotonnine,tissés
cotonné de coton,tissés
cotonnée,tissés
coupis,tissés
coutil,tissés
crêpe de Reims,tissés
crêpe et gaze et tulle,tissés
crêpe et gaze et tulle de soie,tissés
crêpe et étoffe et gaze et passementerie et ruban de soie,passementerie
crêpe et étoffe et passementerie et ruban de soie,tissés
damas,tissés
damas des Indes,tissés
darins,tissés
dauphine,tissés
demitte,tissés
dentelle,passementerie
dentelle commune,passementerie
dentelle d'argent,passementerie
dentelle d'argent et d'or,passementerie
dentelle de Caen,passementerie
dentelle de coton et blonde de coton,passementerie
dentelle de fil,passementerie
dentelle de fil blanc,passementerie
dentelle de fil et soie,passementerie
dentelle de fil et tulle,passementerie
dentelle de soie,passementerie
dentelle de soie blonde,passementerie
dentelle du Puy,passementerie
dentelle et blonde,passementerie
dentelle et galon et passementerie,passementerie
dentelle et galon et passementerie et ruban,passementerie
dissouchaye,tissés
dorure,tissés
dorure fausse,tissés
dorure fine,tissés
drap,tissés
drap brodé de soie,tissés
drap commun,tissés
drap d'Abbeville,tissés
drap d'Amiens,tissés
drap d'Arnetal,tissés
drap d'Elbeuf,tissés
drap dauphine,tissés
drap de Carcassonne,tissés
drap de Darnétal,tissés
drap de France,tissés
drap de Languedoc,tissés
drap de Louviers,tissés
drap de Montauban,tissés
drap de Sedan,tissés
drap de Silésie,tissés
drap de coton,tissés
drap de coton et étoffe de coton,tissés
drap de julienne,tissés
drap de laine,tissés
drap de laine de Louviers,tissés
drap de laine de Saint-Robert,tissés
drap de laine de Van Robais,tissés
drap de laine et petits et étoffe,tissés
drap de laine fin,tissés
drap et petits et étoffe de laine,tissés
drap fin,tissés
drap fin du Languedoc,tissés
drap fins de laine,tissés
drap londrin,tissés
drap molleton,tissés
drap ordinaire,tissés
drap ordinaires de laine,tissés
drap petit,tissés
drap petit de Silésie,tissés
drap petit raze de Maroc,tissés
drap écarlate,tissés
drapeaux vieux,tissés
escamitte,tissés
espagnolette,tissés
espagnolette croisée,tissés
espagnolette simple,tissés
ficelle,filés
fil,filés
fil blanc,filés
fil blanc à coudre,filés
fil cru,filés
fil de Bourgogne,filés
fil de Bretagne,filés
fil de Niort,filés
fil de Rennes,filés
fil de chanvre,filés
fil de chanvre ou de lin,filés
fil de chanvre ou de lin à coudre retors et teint,filés
fil de chèvre,filés
fil de corailleur,filés
fil de coton,filés
fil de coton commun,filés
fil de coton du Levant,filés
fil de coton fin d'once,filés
fil de couleur,filés
fil de laine,filés
fil de laine commune,filés
fil de laine fine,filés
fil de laine fine et teinte,filés
fil de lin,filés
fil de palamard,filés
fil de poil de chèvre,filés
fil de tisserand,filés
fil du Piémont,filés
fil en masse,filés
fil à carder,filés
fil à coudre,filés
fil à dentelle,filés
fil à folle,filés
fil à rets,filés
fil à sennes,filés
fil à voile,filés
filasse,filés
filets d'espars,filés
filets à pêcher,filés
filets à sardineaux,filés
flanelle,tissés
flanelle imprimée,tissés
flanelle à fleurs,tissés
fottes,tissés
fourrure de soie,tissés
futaine,tissés
galon d'argent et d'or faux,passementerie
galon d'or faux,passementerie
galon de fil,passementerie
galon de filoselle,passementerie
galon de fleuret,passementerie
galon de laine,passementerie
galon de soie,passementerie
galon dorure d'argent,passementerie
galon dorure d'argent et d'or,passementerie
galon dorure d'or,passementerie
garas,tissés
garas blanc,tissés
garas bleu,tissés
gaze,tissés
gaze crêpe et mouchoirs de soie,tissés
gaze crêpe et ruban de soie,passementerie
gaze crêpe et tulle de soie,tissés
gaze de coton et crêpe de coton et tulle de coton,tissés
gaze de fil,tissés
gaze de soie,tissés
gaze de soie et crêpe de soie et mouchoirs de soie,tissés
gaze et mouchoirs et ruban de soie,tissés
gaze mi soie,tissés
